,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Vitaliy Reva,UKR,G,1.81,80,19-11-74,Dnipropetrovsk,Dynamo Kiev,Arsenal Kiev,2010,Ukrainian
3,3,Serhiy Matyukhin,UKR,D,1.85,77,21-03-80,Dachnoe,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
4,4,Serhiy Symonenko,UKR,M,1.86,82,12-06-81,Kiev,Chornomorets Odessa,Arsenal Kiev,2010,Ukrainian
5,5,Bohdan Shershun,UKR,D,1.91,83,14-05-81,Khmelnitsky,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
6,6,Florin  Şoavă,ROU,D,1.88,82,24-07-78,Gârla-Mare,Universitatea Craiova,Arsenal Kiev,2010,Ukrainian
7,7,Ionuţ Costinel Mazilu,ROU,F,1.82,70,09-02-82,Bucharest,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
8,8,Rolan Gusev,RUS,M,1.75,68,17-09-77,Ashgabat,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
9,9,Serhiy Zakarlyuka,UKR,M,1.85,76,17-08-76,Dnipropetrovsk,Metalurh Donetsk,Arsenal Kiev,2010,Ukrainian
10,10,Yehor Luhachov,UKR,M,1.84,73,24-12-88,Sumy,Spartak Moscow,Arsenal Kiev,2010,Ukrainian
11,11,Artem Starhorodskyy,UKR,M,1.80,76,17-01-82,Kiev,Krymteplytsya Molodizh,Arsenal Kiev,2010,Ukrainian
13,13,Saulius Mikoliūnas,LTU,F,1.78,72,02-05-84,viesa,FBK Kaunas,Arsenal Kiev,2010,Ukrainian
14,14,Vadym Rybalchenko,UKR,F,1.87,76,24-11-88,,Arsenal Kiev-2,Arsenal Kiev,2010,Ukrainian
15,15,Maksim Shatskikh,UZB,F,1.87,78,30-08-78,Tashkent,Lokomotiv Astana,Arsenal Kiev,2010,Ukrainian
16,16,Yevhen Yevsyeyev,UKR,D,1.82,74,16-04-87,Kyiv,Arsenal Kiev-2,Arsenal Kiev,2010,Ukrainian
17,17,Andriy Bohdanov,UKR,M,1.84,75,21-01-90,Kyiv,Arsenal Kiev-2,Arsenal Kiev,2010,Ukrainian
18,18,Alyaksandr Danilov,UKR,D,1.78,70,10-09-80,Gomel,Metalurh Donetsk,Arsenal Kiev,2010,Ukrainian
19,19,Aleksandr Kobakhidze,GEO,M,1.84,73,11-02-87,Tbilisi,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
20,20,Sergey Samodin,RUS,F,1.78,76,14-02-85,Stavropol,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
23,23,Serhiy Pohorilyy,UKR,G,1.90,85,28-07-86,Kyiv,Obolon Kiev,Arsenal Kiev,2010,Ukrainian
27,27,Volodymyr Arzhanov,UKR,M,1.81,77,29-11-85,Zaporozhye,Metalurh Zaporizhya,Arsenal Kiev,2010,Ukrainian
28,28,Volodymyr Polovyy,UKR,D,1.70,63,28-07-85,Zaporozhye,Metalurh Zaporizhya,Arsenal Kiev,2010,Ukrainian
33,33,Andriy Khomyn,UKR,D,1.80,71,02-01-82,Potsdam,Metalist Kharkiv,Arsenal Kiev,2010,Ukrainian
35,35,Oleksandr Hrytsay,UKR,D,1.82,75,30-09-77,Chernihiv,Dnipro Dnipropetrovsk,Arsenal Kiev,2010,Ukrainian
37,37,Vladyslav  Chanheliya,UKR,G,1.92,82,31-08-88,,Niva Vinnytsa,Arsenal Kiev,2010,Ukrainian
41,50,Ike Meporiya,UKR,M,1.74,69,26-01-89,Zugdidi,Arsenal Kiev-2,Arsenal Kiev,2010,Ukrainian
42,51,Andriy Komarnytskyy,UKR,G,1.85,85,02-02-82,Luhansk,Zorya Luhansk,Arsenal Kiev,2010,Ukrainian
43,77,Yaroslav Zakharevych,UKR,M,1.77,71,24-09-89,Kiev,Arsenal Kiev-2,Arsenal Kiev,2010,Ukrainian
44,88,Vytautas Luka,LTU,M,1.76,76,14-08-84,Alytus,Illichivets  Mariupol,Arsenal Kiev,2010,Ukrainian
45,90,Oleksandr Kovpak,UKR,F,1.80,69,02-02-83,Smela,Tavriya Simferopol,Arsenal Kiev,2010,Ukrainian
46,99,Andrei Yeschenko,RUS,D,1.76,74,09-02-84,Irkutsk,Dynamo Kiev,Arsenal Kiev,2010,Ukrainian
2,2,Samuel Inkoom,GHA,D,1.79,75,22-08-89,Sekondi-Takoradi,Basel,Dnipro Dnipropetrovsk,2010,Ukrainian
3,3,Ucha Lobjanidze,GEO,D,1.81,75,23-02-87,Tbilisi,Zestaponi,Dnipro Dnipropetrovsk,2010,Ukrainian
4,4,Serhiy Kravchenko,UKR,M,1.81,71,24-04-83,Donetsk,Dynamo Kiev,Dnipro Dnipropetrovsk,2010,Ukrainian
5,5,Vitaliy Mandzyuk,UKR,D,1.80,73,24-01-86,Vilino,Dynamo Kiev,Dnipro Dnipropetrovsk,2010,Ukrainian
6,6,Nelson Rivas,COL,D,1.81,84,25-03-83,Pradera,Internazionale,Dnipro Dnipropetrovsk,2010,Ukrainian
7,7,Oleksiy Byelik,UKR,F,1.84,79,15-02-81,Donetsk,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2010,Ukrainian
8,8,Giuliano,BRA,M,1.72,68,31-05-90,Curitiba,Internacional,Dnipro Dnipropetrovsk,2010,Ukrainian
9,9,Volodymyr Homenyuk,UKR,F,1.78,73,19-07-85,Simferopol,Tavriya Simferopol,Dnipro Dnipropetrovsk,2010,Ukrainian
10,10,Yevhen Konoplyanka,UKR,M,1.76,69,29-09-89,Kirovohrad,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
11,11,Yevhen Seleznev,UKR,F,1.85,77,20-07-85,Makiivka,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2010,Ukrainian
12,12,Denys Andrienko,UKR,M,1.81,70,12-04-80,Eupatoria,Kryvbas Kryvyi Rih,Dnipro Dnipropetrovsk,2010,Ukrainian
13,13,Beka Gotsiridze,GEO,F,1.70,67,17-08-88,Tbilisi,FC Zestaponi,Dnipro Dnipropetrovsk,2010,Ukrainian
14,14,Yevheniy Cheberyachko,UKR,D,1.80,75,19-06-83,Uzhgorod,FC Kharkiv,Dnipro Dnipropetrovsk,2010,Ukrainian
16,16,Andriy Rusol,UKR,D,1.82,75,16-01-83,Kirovohrad,Kryvbas Kryvyi Rih,Dnipro Dnipropetrovsk,2010,Ukrainian
17,17,Ivan  Strinić,CRO,D,1.86,77,17-07-87,Split,Hajduk Split,Dnipro Dnipropetrovsk,2010,Ukrainian
18,18,Osmar Daniel Ferreyra,ARG,M,1.76,67,09-01-83,Basavilbaso,CSKA Moscow,Dnipro Dnipropetrovsk,2010,Ukrainian
19,19,Vitaliy Denisov,UZB,D,1.78,75,23-02-87,Tashkent,CSKA Moscow,Dnipro Dnipropetrovsk,2010,Ukrainian
21,21,Alcides,BRA,D,1.86,78,13-03-85,São José do Rio Preto,Chelsea,Dnipro Dnipropetrovsk,2010,Ukrainian
22,22,Oleksandr Hladkyy,UKR,F,1.88,80,24-08-87,Kharkiv,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2010,Ukrainian
24,24,Pavlo Pashayev,UKR,D,1.75,62,04-01-88,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
25,25,Mario Holek,CZE,M,1.85,75,28-10-86,Brno,Brno,Dnipro Dnipropetrovsk,2010,Ukrainian
26,26,Maksym Kalynychenko,UKR,M,1.76,72,26-01-79,Kharkiv,Spartak Moscow,Dnipro Dnipropetrovsk,2010,Ukrainian
27,27,Jan Latuvka,CZE,G,1.91,87,07-07-82,Havirov,Shakhtar  Donetsk,Dnipro Dnipropetrovsk,2010,Ukrainian
28,28,Serhiy Nazarenko,UKR,M,1.76,69,16-02-80,Kirovohrad,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
29,29,Ruslan Rotan,UKR,M,1.74,67,29-10-81,Poltava,Dynamo Kiev,Dnipro Dnipropetrovsk,2010,Ukrainian
30,30,Yevhen Shakhov,UKR,F,1.75,62,30-11-90,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
31,31,Dmytro Tryhub,UKR,M,1.83,70,23-07-92,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
32,32,Anton Kanibolotskyy,UKR,G,1.91,80,16-05-88,Kiev,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
33,33,Yaroslav Rafalskyy,UKR,M,1.86,77,16-07-92,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
35,35,Oleksiy Razuvayev,UKR,M,1.70,61,14-01-93,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
36,36,Ruslan Babenko,UKR,M,1.70,65,08-07-92,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
38,38,Oleksandr Nasonov,UKR,D,1.78,67,28-04-92,Kyiv,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
39,39,Stanislav Morozov,UKR,D,1.81,72,09-11-91,,Kryvbas Kryvyi Rih,Dnipro Dnipropetrovsk,2010,Ukrainian
40,40,Serhiy Bihus,UKR,D,1.82,77,30-03-94,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
41,41,Yevhen Baryshnikov,UKR,D,1.90,81,01-08-88,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
42,43,Anatoliy Mudrak,UKR,M,1.83,65,14-11-90,,Tavriya Simferopol,Dnipro Dnipropetrovsk,2010,Ukrainian
43,45,Kyrylo Pasichnyk,UKR,D,1.90,80,24-05-93,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
44,49,Vitaliy Kaverin,UKR,F,1.80,75,04-09-90,Khmelnytskyi,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
45,65,Yevhen Neplyakh,UKR,D,1.84,74,11-05-92,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
46,71,Ihor Zahalskyi,UKR,M,1.72,67,19-05-91,Kirovohrad,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
47,77,Yevhen Bokhashvili,UKR,F,1.82,69,05-01-93,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
48,78,Ruslan Bilyayev,UKR,M,1.82,75,10-09-93,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
49,79,Oleksandr Lohinov,UKR,D,1.90,75,23-07-91,,Kryvbas-2,Dnipro Dnipropetrovsk,2010,Ukrainian
50,80,Levan Arveladze,UKR,M,1.82,72,06-04-93,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
51,81,Denys Maznyy,UKR,F,1.83,73,17-11-91,,Tavriya Simferopol,Dnipro Dnipropetrovsk,2010,Ukrainian
52,87,Vladyslav Voytsekhovskyy,UKR,F,1.78,69,19-04-93,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
53,88,Dmytro Lyopa,UKR,M,1.70,58,23-11-88,Kremenchuk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
54,89,Denys Shelikhov,UKR,G,1.88,83,23-06-89,Kherson,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
55,90,Oleksandr Mihunov,UKR,D,1.72,62,13-04-94,Donetsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
56,91,Ihor Vartsaba,UKR,G,1.86,76,28-01-91,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
57,92,Vitaliy Kanibolotskyy,UKR,G,1.91,79,30-10-92,,Dnipro-2,Dnipro Dnipropetrovsk,2010,Ukrainian
58,99,Matheus Nascimento,BRA,F,1.75,68,15-01-83,Itabaiana,Sporting Braga,Dnipro Dnipropetrovsk,2010,Ukrainian
1,1,Oleksandr Shovkovskiy,UKR,G,1.91,87,02-01-75,Kiev,Dynamo Kiev-2,Dynamo Kiev,2010,Ukrainian
2,2,Danilo Silva,BRA,D,1.85,69,24-11-86,Campinas,Internacional,Dynamo Kiev,2010,Ukrainian
3,3,Betão,BRA,D,1.81,78,11-11-83,São Paulo,Santos,Dynamo Kiev,2010,Ukrainian
4,4,Tiberiu Ghioane,ROU,M,1.81,72,18-06-81,Târgu-Secuiesc,Dynamo Kiev-2,Dynamo Kiev,2010,Ukrainian
5,5,Ognjen Vukojević,CRO,M,1.84,83,20-12-83,Bjelovar,Dinamo Zagreb,Dynamo Kiev,2010,Ukrainian
6,6,Goran Popov,MKD,D,1.89,89,02-10-84,Strumica,SC Heerenveen,Dynamo Kiev,2010,Ukrainian
7,7,Andriy Shevchenko,UKR,F,1.81,84,29-09-76,Dvirkivschyna,Chelsea,Dynamo Kiev,2010,Ukrainian
8,8,Oleksandr Aliyev,UKR,M,1.73,72,03-02-85,Khabarovsk,Lokomotiv Moscow,Dynamo Kiev,2010,Ukrainian
9,9,Andriy Yarmolenko,UKR,F,1.87,76,23-10-89,Kiev,Desna Chernihiv,Dynamo Kiev,2010,Ukrainian
10,10,Artem Milevskyi,UKR,F,1.90,83,12-01-85,Minsk,Borysfen Boryspil,Dynamo Kiev,2010,Ukrainian
14,14,Frank Temile,NGA,F,1.78,68,15-07-90,Lagos,Valletta,Dynamo Kiev,2010,Ukrainian
15,15,Serhiy Rybalka,UKR,M,1.80,74,01-04-90,Yamne,Arsenal Kharkiv,Dynamo Kiev,2010,Ukrainian
17,17,Taras Mykhalyk,UKR,D,1.85,77,28-10-83,Lyubeshiv,CSKA Kiev,Dynamo Kiev,2010,Ukrainian
