,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Tomi Maanoja,FIN,G,1.96,92,12-09-86,Espoo,FC Honka,AIK,2008,Swedish
2,2,Patrik Bojent,SWE,D,1.84,80,26-12-80,Hovmantorp,Gefle IF,AIK,2008,Swedish
3,3,Per Karlsson,SWE,D,1.84,81,02-01-86,Stockholm,Vasalunds IF,AIK,2008,Swedish
4,4,Nils-Eric Johansson,SWE,D,1.87,83,13-01-80,Stockholm,Leicester C,AIK,2008,Swedish
5,5,Jorge  Ortíz,ARG,M,1.80,69,20-06-84,Castelar,San Lorenzo,AIK,2008,Swedish
6,6,Walid Atta,SWE,D,1.87,81,28-08-86,Riyadh,Väsby United,AIK,2008,Swedish
7,7,Bojan  Djordjić,SWE,M,1.82,78,06-02-82,Belgrade,Plymouth Arg,AIK,2008,Swedish
8,8,Daniel Tjernström,SWE,M,1.81,83,19-02-74,Karlskoga,Örebro SK,AIK,2008,Swedish
9,9,Miran  Burgić,SVN,F,1.81,79,25-09-84,Zagorje ob Savi,Gorica,AIK,2008,Swedish
10,10,Iván  Óbolo,ARG,M,1.85,80,28-09-81,Arroyito,Arsenal [ARG],AIK,2008,Swedish
14,14,Kenny Pavey,ENG,M,1.78,72,23-08-79,London,Ljungskile SK,AIK,2008,Swedish
15,15,Kevin Walker,SWE,M,1.76,74,03-08-89,Örebro,Örebro SK,AIK,2008,Swedish
16,16,Pierre Bengtsson,SWE,D,1.76,72,12-04-88,Kumla,IFK  Kumla,AIK,2008,Swedish
17,17,Saihou Jagne,GAM,F,1.73,70,10-10-86,Banjul,Väsby United,AIK,2008,Swedish
18,18,Markus Jonsson,SWE,D,1.86,82,09-03-81,Växjö,Östers IF,AIK,2008,Swedish
19,19,Jorge Anchén,URU,D,1.76,73,17-08-80,Montevideo,Bella Vista,AIK,2008,Swedish
22,22,Niklas Bergh,SWE,G,1.96,95,06-09-82,Eskilstuna,Eskilstuna City FK,AIK,2008,Swedish
23,23,Mats Rubarth,SWE,M,1.78,73,25-01-77,Örebro,Örebro SK,AIK,2008,Swedish
