,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,Niklas Backman,SWE,D,1.86,80,13-11-88,Västerås,Väsby United,AIK,2009,Swedish
3,3,Per Karlsson,SWE,D,1.84,81,02-01-86,Stockholm,Vasalunds IF,AIK,2009,Swedish
4,4,Nils-Eric Johansson,SWE,D,1.87,83,13-01-80,Stockholm,Leicester C,AIK,2009,Swedish
5,5,Jorge  Ortíz,ARG,M,1.80,69,20-06-84,Castelar,San Lorenzo,AIK,2009,Swedish
6,6,Walid Atta,SWE,D,1.87,81,28-08-86,Riyadh,Väsby United,AIK,2009,Swedish
7,7,Bojan  Djordjić,SWE,M,1.82,78,06-02-82,Belgrade,Plymouth Arg,AIK,2009,Swedish
8,8,Daniel Tjernström,SWE,M,1.81,83,19-02-74,Karlskoga,Örebro SK,AIK,2009,Swedish
9,9,Miran  Burgić,SVN,F,1.81,79,25-09-84,Zagorje ob Savi,Gorica,AIK,2009,Swedish
10,10,Iván  Óbolo,ARG,M,1.85,80,28-09-81,Arroyito,Arsenal [ARG],AIK,2009,Swedish
11,11,Antônio Flávio,BRA,F,1.74,70,05-01-87,Brejinho de Nazaré,Santo André,AIK,2009,Swedish
12,12,Tomi Maanoja,FIN,G,1.96,92,12-09-86,Espoo,FC Honka,AIK,2009,Swedish
13,13,Niklas Rönn,SWE,G,1.89,84,23-06-89,Solna,None,AIK,2009,Swedish
14,14,Kenny Pavey,ENG,M,1.78,72,23-08-79,London,Ljungskile SK,AIK,2009,Swedish
15,15,Kevin Walker,SWE,M,1.76,74,03-08-89,Örebro,Örebro SK,AIK,2009,Swedish
17,17,Saihou Jagne,GAM,F,1.73,70,10-10-86,Banjul,Väsby United,AIK,2009,Swedish
18,18,Markus Jonsson,SWE,D,1.86,82,09-03-81,Växjö,Östers IF,AIK,2009,Swedish
19,19,Martin Kayongo-Mutumba,UGA,M,1.77,74,15-06-85,Solna,Väsby United,AIK,2009,Swedish
20,20,Jos Hooiveld,NED,D,1.91,75,22-04-83,Zeijen,Inter Turku,AIK,2009,Swedish
21,21,Mikael Thorstensson,SWE,F,1.88,82,24-01-85,Sollentuna,Väsby United,AIK,2009,Swedish
22,22,Niklas Bergh,SWE,G,1.96,95,06-09-82,Eskilstuna,Eskilstuna City FK,AIK,2009,Swedish
24,24,Daniel Gustavsson,SWE,M,1.77,75,29-08-90,Kungsör,Västerås SK,AIK,2009,Swedish
25,25,Yussuf Saleh,ETH,M,1.76,65,22-03-84,Solna,Vasalunds IF,AIK,2009,Swedish
26,26,Pontus Engblom,SWE,F,1.82,70,03-11-91,Sundsvall,IFK Sundsvall,AIK,2009,Swedish
27,27,Daniel Örlund,SWE,G,1.94,93,23-06-80,Stockholm,FC Café Opera,AIK,2009,Swedish
28,28,Viktor Lundberg,SWE,M,1.83,75,04-03-91,Solna,Väsby United,AIK,2009,Swedish
29,29,Gabriel Özkan,SWE,M,1.77,69,23-05-86,Stockholm,IF  Brommapojkarna,AIK,2009,Swedish
30,30,Dulee Johnson,LBR,M,1.75,68,07-11-84,Monrovia,Maccabi Tel Aviv,AIK,2009,Swedish
41,76,Lee Baxter,SWE,G,1.87,87,17-06-76,Helsingborg,Landskrona BoIS,AIK,2009,Swedish
1,1,Benny Lekström,SWE,G,1.91,88,19-02-81,Enskede,Hammarby IF,IF Brommapojkarna,2009,Swedish
2,2,Jon Persson,SWE,D,1.82,75,31-05-76,,Djurgårdens IF,IF Brommapojkarna,2009,Swedish
3,3,Markus Karlsson,SWE,D,1.85,80,30-08-72,,Stabæk,IF Brommapojkarna,2009,Swedish
4,4,Mauricio Albornoz,SWE,M,1.84,81,10-03-88,Bro,None,IF Brommapojkarna,2009,Swedish
5,5,Kim Odelius,SWE,D,1.81,69,20-06-85,,Älta IF,IF Brommapojkarna,2009,Swedish
6,6,Richard Henriksson,SWE,D,1.92,91,05-10-82,Stockholm,Djurgårdens IF,IF Brommapojkarna,2009,Swedish
7,7,Gabriel Petrović,BIH,M,1.82,84,25-05-84,Stockholm,Väsby United,IF Brommapojkarna,2009,Swedish
8,8,Joakim Runnemo,SWE,F,1.76,78,18-12-86,,Nacka FF,IF Brommapojkarna,2009,Swedish
9,9,Imad Chhadeh,SYR,M,1.80,79,12-10-79,,Løv-Ham,IF Brommapojkarna,2009,Swedish
10,10,Mikael Nilsson,SWE,F,1.75,72,19-08-85,,IFK Viksjö,IF Brommapojkarna,2009,Swedish
11,11,Olof Guterstam,SWE,F,1.88,83,04-01-83,Stockholm,Älvsjö AIK,IF Brommapojkarna,2009,Swedish
12,12,Labinot Kelmendi,SWE,M,1.69,68,26-12-83,,Karlskrona AIF,IF Brommapojkarna,2009,Swedish
13,13,Tim Björkström,SWE,D,1.80,76,08-01-91,Raksta,Hanvikens SK,IF Brommapojkarna,2009,Swedish
14,14,Nabil Bahoui,SWE,F,1.88,84,05-02-91,Stockholm,Mälarhöjdens IK,IF Brommapojkarna,2009,Swedish
15,15,Philip Haglund,SWE,M,1.89,82,22-03-87,Stockholm,None,IF Brommapojkarna,2009,Swedish
16,16,Pär Asp,SWE,D,1.81,76,14-08-82,,Kiruna FF,IF Brommapojkarna,2009,Swedish
17,17,Serge-Junior Martinsson Ngouali,GAB,M,1.73,72,23-01-92,Gunnilse,Gunnilse IS,IF Brommapojkarna,2009,Swedish
18,18,Miiko Albornoz,SWE,D,1.80,80,30-11-90,Stockholm,None,IF Brommapojkarna,2009,Swedish
19,19,David Carlsson,SWE,F,1.83,76,07-03-83,Stockholm,IFK Mariehamn,IF Brommapojkarna,2009,Swedish
20,20,Kristoffer Nordfeldt,SWE,G,1.90,85,23-06-89,Stockholm,None,IF Brommapojkarna,2009,Swedish
21,21,Andreas Eriksson,SWE,F,1.86,86,03-11-81,Stockholm,IK Sirius,IF Brommapojkarna,2009,Swedish
22,22,Max Clauss,SWE,M,1.78,71,31-03-89,,Hammarby IF,IF Brommapojkarna,2009,Swedish
23,23,Dalil Benyahia,SWE,M,1.75,67,21-04-90,Stockholm,Vejle,IF Brommapojkarna,2009,Swedish
24,24,Ted Fontér,SWE,D,1.85,78,06-06-88,,Bromstens IK,IF Brommapojkarna,2009,Swedish
25,25,Pablo Piñones-Arce,SWE,F,1.78,78,27-08-81,Tumba,Vejle,IF Brommapojkarna,2009,Swedish
26,26,Mikkel Jensen,DEN,M,1.82,77,06-01-77,Værløse,Hammarby IF,IF Brommapojkarna,2009,Swedish
27,27,Gustav Sandberg-Magnusson,SWE,M,1.81,72,03-02-92,,None,IF Brommapojkarna,2009,Swedish
2,2,Philip Hellquist,SWE,M,1.76,72,21-05-91,Stockholm,None,Djurgĺrdens IF,2009,Swedish
3,3,Yosif Ayuba,BEN,D,1.73,72,30-11-90,,Vasalunds IF,Djurgĺrdens IF,2009,Swedish
4,4,Patrik Haginge,SWE,D,1.83,74,02-04-85,Örebro,Örebro SK,Djurgĺrdens IF,2009,Swedish
5,5,Petter Gustafsson,SWE,M,1.75,73,16-09-85,,Skellefteå FF,Djurgĺrdens IF,2009,Swedish
6,6,Toni Kuivasto,FIN,D,1.87,83,31-12-75,Tampere,Viking,Djurgĺrdens IF,2009,Swedish
7,7,Prince Ikpe Ekong,NGA,M,1.79,76,25-10-78,Lagos,GAIS,Djurgĺrdens IF,2009,Swedish
8,8,Jan Tauer,GER,M,1.88,84,26-08-83,Düsseldorf,Eintracht Braunschweig,Djurgĺrdens IF,2009,Swedish
9,9,Johan Oremo,SWE,F,1.86,78,24-10-86,Söderhamn,Gefle IF,Djurgĺrdens IF,2009,Swedish
10,10,Christer Youssef,SWE,F,1.76,72,01-12-87,Stockholm,IF Brommapojkarna,Djurgĺrdens IF,2009,Swedish
11,11,Daniel Sjölund,FIN,M,1.78,80,22-04-83,Mariehamn,IFK  Mariehamn,Djurgĺrdens IF,2009,Swedish
12,12,Mattias  Jonson,SWE,F,1.79,78,16-01-74,Gothenburg,Norwich  C,Djurgĺrdens IF,2009,Swedish
14,14,Kebba Ceesay,SWE,D,1.77,76,14-11-87,Bakau,IK Brage,Djurgĺrdens IF,2009,Swedish
15,15,Pa Dembo Touray,GAM,G,1.98,105,31-03-80,Banjul,Vålerenga,Djurgĺrdens IF,2009,Swedish
16,16,Markus Johannesson,SWE,M,1.85,84,29-05-75,Rölanda,Örgryte IS,Djurgĺrdens IF,2009,Swedish
17,17,Boyd Mwila,ZAM,F,1.74,72,28-07-84,,Örgryte IS,Djurgĺrdens IF,2009,Swedish
18,18,Mikael Dahlberg,SWE,F,1.92,87,16-03-85,Umeå,GIF Sundsvall,Djurgĺrdens IF,2009,Swedish
19,19,Hrvoje Milić,CRO,D,1.83,74,10-05-89,Osijek,Hajduk Split,Djurgĺrdens IF,2009,Swedish
23,23,Leandro Ortíz,ARG,M,,,12-02-90,,River Plate,Djurgĺrdens IF,2009,Swedish
24,24,Peter Magnusson,SWE,D,1.91,83,16-07-84,,Vasalunds IF,Djurgĺrdens IF,2009,Swedish
25,25,Sebastian Rajalakso,SWE,M,1.86,81,23-09-88,Enköping,Enköpings SK,Djurgĺrdens IF,2009,Swedish
27,27,Dan Burlin,SWE,M,1.79,78,13-08-80,,Skellefteå FF,Djurgĺrdens IF,2009,Swedish
28,28,Trimi Makolli,SWE,M,1.77,70,02-01-92,Stockholm,None,Djurgĺrdens IF,2009,Swedish
30,30,Oskar Wahlström,SWE,G,1.98,95,16-08-76,Bie,Västerås SK,Djurgĺrdens IF,2009,Swedish
2,2,Mathias Florén,SWE,D,1.79,80,11-08-76,Söderhamn,FC Groningen,IF Elfsborg,2009,Swedish
