Cruzeiro (Brazilian),Náutico (Brazilian)
Cruzeiro (Brazilian),Kawasaki Frontale (Japanese)
Cruzeiro (Brazilian),Manchester City (English)
Cruzeiro (Brazilian),Sporting CP (Portuguese)
Cruzeiro (Brazilian),Goiás (Brazilian)
Cruzeiro (Brazilian),Náutico (Brazilian)
Cruzeiro (Brazilian),Fluminense (Brazilian)
Cruzeiro (Brazilian),Palmeiras (Brazilian)
Cruzeiro (Brazilian),Palmeiras (Brazilian)
Cruzeiro (Brazilian),Sport Recife (Brazilian)
Cruzeiro (Brazilian),Gręmio (Brazilian)
Figueirense (Brazilian),Belenenses (Portuguese)
Figueirense (Brazilian),Asteras Tripolis (Greek)
Figueirense (Brazilian),Corinthians (Brazilian)
Figueirense (Brazilian),Fluminense (Brazilian)
Figueirense (Brazilian),Júbilo Iwata (Japanese)
Figueirense (Brazilian),Júbilo Iwata (Japanese)
Figueirense (Brazilian),Santos (Brazilian)
Figueirense (Brazilian),Fluminense (Brazilian)
Flamengo (Brazilian),Botafogo (Brazilian)
Flamengo (Brazilian),Nacional (Portuguese)
Flamengo (Brazilian),Nacional (Portuguese)
Flamengo (Brazilian),Goiás (Brazilian)
Flamengo (Brazilian),Atlético Paranaense (Brazilian)
Flamengo (Brazilian),Paraná (Brazilian)
Fluminense (Brazilian),Asteras Tripolis (Greek)
Fluminense (Brazilian),Aris (Greek)
Fluminense (Brazilian),Kasımpaşa (Turkish)
Fluminense (Brazilian),São Paulo (Brazilian)
Fluminense (Brazilian),Náutico (Brazilian)
Fluminense (Brazilian),Nacional (Portuguese)
Fluminense (Brazilian),Juventude (Brazilian)
Fluminense (Brazilian),Santos (Brazilian)
Fluminense (Brazilian),Santos (Brazilian)
Fluminense (Brazilian),Náutico (Brazilian)
Fluminense (Brazilian),Gręmio (Brazilian)
Fortaleza (Brazilian),Atlético Mineiro (Brazilian)
Fortaleza (Brazilian),LASK Linz (Austrian)
Fortaleza (Brazilian),Corinthians (Brazilian)
Fortaleza (Brazilian),Palmeiras (Brazilian)
Fortaleza (Brazilian),Goiás (Brazilian)
Goiás (Brazilian),São Paulo (Brazilian)
Goiás (Brazilian),Vasco da Gama (Brazilian)
Goiás (Brazilian),Botafogo (Brazilian)
Goiás (Brazilian),Atlético Paranaense (Brazilian)
Goiás (Brazilian),Sport Recife (Brazilian)
Goiás (Brazilian),Flamengo (Brazilian)
Goiás (Brazilian),Spartak Moscow (Russian)
Gręmio (Brazilian),Santos (Brazilian)
Gręmio (Brazilian),FC Tokyo (Japanese)
Gręmio (Brazilian),Jagiellonia Białystok (Polish)
Gręmio (Brazilian),São Paulo (Brazilian)
Gręmio (Brazilian),Liverpool (English)
Gręmio (Brazilian),Omiya Ardija (Japanese)
Internacional (Brazilian),Marítimo (Portuguese)
Internacional (Brazilian),Paris Saint-Germain (French)
Internacional (Brazilian),Marítimo (Portuguese)
Internacional (Brazilian),Gręmio (Brazilian)
Internacional (Brazilian),Sport Recife (Brazilian)
Internacional (Brazilian),Spartak Nalchik (Russian)
Internacional (Brazilian),Eintracht Frankfurt (German)
Internacional (Brazilian),Palmeiras (Brazilian)
Internacional (Brazilian),Boca Juniors (Argentinian)
Internacional (Brazilian),Fluminense (Brazilian)
Internacional (Brazilian),Marítimo (Portuguese)
Internacional (Brazilian),Marítimo (Portuguese)
Internacional (Brazilian),Vasco da Gama (Brazilian)
Internacional (Brazilian),Milan (Italian)
Internacional (Brazilian),Figueirense (Brazilian)
Internacional (Brazilian),Shakhtar Donetsk (Ukrainian)
Internacional (Brazilian),Spartak Nalchik (Russian)
Juventude (Brazilian),Santos (Brazilian)
Juventude (Brazilian),Germinal Beerschot (Belgian)
Juventude (Brazilian),Sport Recife (Brazilian)
Juventude (Brazilian),Internacional (Brazilian)
Palmeiras (Brazilian),Corinthians (Brazilian)
Palmeiras (Brazilian),Goiás (Brazilian)
Palmeiras (Brazilian),Dynamo Kiev (Ukrainian)
Palmeiras (Brazilian),Goiás (Brazilian)
Palmeiras (Brazilian),Kashiwa Reysol (Japanese)
Palmeiras (Brazilian),Sydney FC (Australian)
Palmeiras (Brazilian),Juventude (Brazilian)
Palmeiras (Brazilian),Cruzeiro (Brazilian)
Palmeiras (Brazilian),Nacional (Portuguese)
Palmeiras (Brazilian),América de Natal (Brazilian)
Palmeiras (Brazilian),Sport Recife (Brazilian)
Palmeiras (Brazilian),Vasco da Gama (Brazilian)
Paraná (Brazilian),Botafogo (Brazilian)
Paraná (Brazilian),Cruzeiro (Brazilian)
Paraná (Brazilian),Iraklis (Greek)
Paraná (Brazilian),Palmeiras (Brazilian)
Paraná (Brazilian),Yokohama F Marinos (Japanese)
Paraná (Brazilian),Atlético Mineiro (Brazilian)
Paraná (Brazilian),Cruzeiro (Brazilian)
Paraná (Brazilian),Palmeiras (Brazilian)
Paraná (Brazilian),Gençlerbirliği OFTAŞ (Turkish)
Gençlerbirliği (Turkish),Gençlerbirliği OFTAŞ (Turkish)
Paraná (Brazilian),Atlético Mineiro (Brazilian)
Paraná (Brazilian),Goiás (Brazilian)
Paraná (Brazilian),Flamengo (Brazilian)
Ponte Preta (Brazilian),Corinthians (Brazilian)
Ponte Preta (Brazilian),Juventude (Brazilian)
Ponte Preta (Brazilian),Atlético Paranaense (Brazilian)
Ponte Preta (Brazilian),Genoa (Italian)
Ponte Preta (Brazilian),Paraná (Brazilian)
Santa Cruz (Brazilian),Paraná (Brazilian)
Santa Cruz (Brazilian),Wuhan Guanggu (Chinese)
Santa Cruz (Brazilian),Sport Recife (Brazilian)
Santa Cruz (Brazilian),América de Natal (Brazilian)
Santa Cruz (Brazilian),Botafogo (Brazilian)
Santa Cruz (Brazilian),Cruzeiro (Brazilian)
Santos (Brazilian),Real Madrid (Spanish)
Santos (Brazilian),Botafogo (Brazilian)
Santos (Brazilian),Fluminense (Brazilian)
Santos (Brazilian),Aris (Greek)
Santos (Brazilian),Fenerbahçe (Turkish)
Santos (Brazilian),Atlético Madrid (Spanish)
Santos (Brazilian),Bayern Munich (German)
Santos (Brazilian),Gręmio (Brazilian)
Santos (Brazilian),JEF United (Japanese)
São Caetano (Brazilian),Botafogo (Brazilian)
São Caetano (Brazilian),Sport Recife (Brazilian)
São Caetano (Brazilian),Cruzeiro (Brazilian)
São Caetano (Brazilian),Corinthians (Brazilian)
São Caetano (Brazilian),Estrela da Amadora (Portuguese)
São Caetano (Brazilian),FC Porto (Portuguese)
São Caetano (Brazilian),Juventude (Brazilian)
São Caetano (Brazilian),Paraná (Brazilian)
São Paulo (Brazilian),Kashima Antlers (Japanese)
São Paulo (Brazilian),Benfica (Portuguese)
São Paulo (Brazilian),VfL Wolfsburg (German)
São Paulo (Brazilian),Kashima Antlers (Japanese)
São Paulo (Brazilian),Fluminense (Brazilian)
São Paulo (Brazilian),Shakhtar Donetsk (Ukrainian)
São Paulo (Brazilian),Paris Saint-Germain (French)
São Paulo (Brazilian),Botafogo (Brazilian)
São Paulo (Brazilian),Hertha Berlin (German)
São Paulo (Brazilian),Juventude (Brazilian)
Vasco da Gama (Brazilian),Goiás (Brazilian)
Vasco da Gama (Brazilian),Corinthians (Brazilian)
Vasco da Gama (Brazilian),Botafogo (Brazilian)
Vasco da Gama (Brazilian),Botafogo (Brazilian)
Vasco da Gama (Brazilian),Atlético Paranaense (Brazilian)
Vasco da Gama (Brazilian),Start (Norwegian)
Vasco da Gama (Brazilian),Fluminense (Brazilian)
AEK (Greek),Reggina (Italian)
AEK (Greek),Larissa (Greek)
AEK (Greek),Skoda Xanthi (Greek)
AEK (Greek),Aris (Greek)
AEK (Greek),PAOK (Greek)
AEK (Greek),Recreativo Huelva (Spanish)
AEK (Greek),Apollon Kalamarias (Greek)
AEK (Greek),Arminia Bielefeld (German)
Aris (Greek),Asteras Tripolis (Greek)
Aris (Greek),Levadiakos (Greek)
Aris (Greek),Heart of Midlothian (Scottish)
Atromitos Athens (Greek),New York Red Bulls (USA)
Atromitos Athens (Greek),Iraklis (Greek)
Egaleo (Greek),Levadiakos (Greek)
Egaleo (Greek),Panionios (Greek)
Egaleo (Greek),Apollon Kalamarias (Greek)
Egaleo (Greek),Atromitos Athens (Greek)
Egaleo (Greek),Widzew Łódź (Polish)
Egaleo (Greek),Panionios (Greek)
Egaleo (Greek),Atromitos Athens (Greek)
Egaleo (Greek),Asteras Tripolis (Greek)
Egaleo (Greek),Lille (French)
Egaleo (Greek),Asteras Tripolis (Greek)
Egaleo (Greek),OFI (Greek)
Egaleo (Greek),Panionios (Greek)
Ergotelis (Greek),OFI (Greek)
Ergotelis (Greek),Cercle Brugge (Belgian)
Ionikos (Greek),Veria (Greek)
Ionikos (Greek),Levadiakos (Greek)
Iraklis (Greek),Asteras Tripolis (Greek)
Iraklis (Greek),PAOK (Greek)
Iraklis (Greek),Veria (Greek)
Iraklis (Greek),Panionios (Greek)
Iraklis (Greek),Olympiakos (Greek)
Iraklis (Greek),Aris (Greek)
Apollon Kalamarias (Greek),Asteras Tripolis (Greek)
Apollon Kalamarias (Greek),PAOK (Greek)
Apollon Kalamarias (Greek),Atromitos Athens (Greek)
Kerkyra (Greek),Apollon Kalamarias (Greek)
Kerkyra (Greek),Asteras Tripolis (Greek)
Kerkyra (Greek),Panionios (Greek)
Kerkyra (Greek),Panionios (Greek)
Larissa (Greek),Energie Cottbus (German)
Larissa (Greek),Energie Cottbus (German)
Larissa (Greek),Skoda Xanthi (Greek)
OFI (Greek),Panathinaikos (Greek)
OFI (Greek),Olympiakos (Greek)
Olympiakos (Greek),KAA Gent (Belgian)
Olympiakos (Greek),AEK (Greek)
Olympiakos (Greek),OFI (Greek)
Olympiakos (Greek),Metalurh Donetsk (Ukrainian)
Olympiakos (Greek),Atromitos Athens (Greek)
Olympiakos (Greek),Panionios (Greek)
Olympiakos (Greek),AEK (Greek)
Panathinaikos (Greek),FC København (Danish)
Panathinaikos (Greek),Larissa (Greek)
Panathinaikos (Greek),Metz (French)
Panathinaikos (Greek),OFI (Greek)
Panathinaikos (Greek),Atromitos Athens (Greek)
Panathinaikos (Greek),Eintracht Frankfurt (German)
Panionios (Greek),AEK (Greek)
Panionios (Greek),Panathinaikos (Greek)
PAOK (Greek),OFI (Greek)
Skoda Xanthi (Greek),Panathinaikos (Greek)
Skoda Xanthi (Greek),LASK Linz (Austrian)
Skoda Xanthi (Greek),Apollon Kalamarias (Greek)
Skoda Xanthi (Greek),Rosario Central (Argentinian)
Skoda Xanthi (Greek),Apollon Kalamarias (Greek)
Skoda Xanthi (Greek),Asteras Tripolis (Greek)
Skoda Xanthi (Greek),Olympiakos (Greek)
Brann (Norwegian),Tromsø (Norwegian)
Brann (Norwegian),Tromsø (Norwegian)
Brann (Norwegian),Fredrikstad (Norwegian)
Brann (Norwegian),Strømsgodset (Norwegian)
Brann (Norwegian),GAIS (Swedish)
Fredrikstad (Norwegian),Viking (Norwegian)
Fredrikstad (Norwegian),Lillestrøm (Norwegian)
HamKam (Norwegian),Stabæk (Norwegian)
HamKam (Norwegian),Brann (Norwegian)
HamKam (Norwegian),Viborg (Danish)
HamKam (Norwegian),Győr (Hungarian)
Lillestrøm (Norwegian),Viborg (Danish)
Lillestrøm (Norwegian),Fredrikstad (Norwegian)
Lyn (Norwegian),Lyngby (Danish)
Lyn (Norwegian),GAIS (Swedish)
Lyn (Norwegian),Aalesund (Norwegian)
Lyn (Norwegian),Malmö FF (Swedish)
Molde (Norwegian),Strømsgodset (Norwegian)
Molde (Norwegian),Lillestrøm (Norwegian)
Rosenborg (Norwegian),Strømsgodset (Norwegian)
Rosenborg (Norwegian),Brann (Norwegian)
Rosenborg (Norwegian),Lillestrøm (Norwegian)
IFK Göteborg (Swedish),Rosenborg (Norwegian)
Rosenborg (Norwegian),Lyn (Norwegian)
Rosenborg (Norwegian),Bolton Wanderers (English)
Sandefjord (Norwegian),Fredrikstad (Norwegian)
Sandefjord (Norwegian),Vålerenga (Norwegian)
Stabæk (Norwegian),IF Brommapojkarna (Swedish)
Stabæk (Norwegian),Start (Norwegian)
Start (Norwegian),Aarhus (Danish)
Start (Norwegian),Odense (Danish)
Start (Norwegian),Lillestrøm (Norwegian)
Start (Norwegian),Odd (Norwegian)
Start (Norwegian),Levadiakos (Greek)
Tromsø (Norwegian),Aalesund (Norwegian)
Tromsø (Norwegian),IF Brommapojkarna (Swedish)
Tromsø (Norwegian),Toronto FC (USA)
Tromsø (Norwegian),Start (Norwegian)
Vålerenga (Norwegian),Odd (Norwegian)
Vålerenga (Norwegian),SC Heerenveen (Dutch)
Viking (Norwegian),Sandefjord (Norwegian)
Viking (Norwegian),Randers (Danish)
Viking (Norwegian),IF Brommapojkarna (Swedish)
AIK (Swedish),Trelleborgs FF (Swedish)
AIK (Swedish),Viborg (Danish)
Djurgårdens IF (Swedish),VfL Bochum (German)
Djurgårdens IF (Swedish),Örebro SK (Swedish)
IF Elfsborg (Swedish),Fredrikstad (Norwegian)
IF Elfsborg (Swedish),Brøndby (Danish)
IF Elfsborg (Swedish),Brann (Norwegian)
IF Elfsborg (Swedish),Toulouse (French)
GAIS (Swedish),AIK (Swedish)
GAIS (Swedish),IF Elfsborg (Swedish)
GAIS (Swedish),Trelleborgs FF (Swedish)
Gefle IF (Swedish),AIK (Swedish)
Gefle IF (Swedish),Örebro SK (Swedish)
Gefle IF (Swedish),Helsingborgs IF (Swedish)
IFK Göteborg (Swedish),Aalesund (Norwegian)
IFK Göteborg (Swedish),Willem II (Dutch)
IFK Göteborg (Swedish),FC Groningen (Dutch)
BK Häcken (Swedish),Malmö FF (Swedish)
BK Häcken (Swedish),Aarhus (Danish)
BK Häcken (Swedish),Tromsø (Norwegian)
Halmstads BK (Swedish),Trelleborgs FF (Swedish)
Halmstads BK (Swedish),Kalmar FF (Swedish)
Halmstads BK (Swedish),Trelleborgs FF (Swedish)
Hammarby IF (Swedish),Newcastle United Jets (Australian)
Hammarby IF (Swedish),Rosenborg (Norwegian)
Hammarby IF (Swedish),FC Midtjylland (Danish)
Hammarby IF (Swedish),Aalesund (Norwegian)
Hammarby IF (Swedish),Villarreal (Spanish)
Hammarby IF (Swedish),Sandefjord (Norwegian)
Helsingborgs IF (Swedish),FC Nordsjælland (Danish)
Helsingborgs IF (Swedish),Parma (Italian)
Helsingborgs IF (Swedish),St Mirren (Scottish)
Helsingborgs IF (Swedish),Malmö FF (Swedish)
Helsingborgs IF (Swedish),IFK Göteborg (Swedish)
Helsingborgs IF (Swedish),Esbjerg (Danish)
Helsingborgs IF (Swedish),IF Elfsborg (Swedish)
Helsingborgs IF (Swedish),GAIS (Swedish)
Kalmar FF (Swedish),AZ Alkmaar (Dutch)
Malmö FF (Swedish),Aarhus (Danish)
Malmö FF (Swedish),Stabæk (Norwegian)
Malmö FF (Swedish),FC København (Danish)
Malmö FF (Swedish),Fulham (English)
Malmö FF (Swedish),Reggina (Italian)
Malmö FF (Swedish),FC Nordsjælland (Danish)
Örgryte IS (Swedish),Fredrikstad (Norwegian)
Örgryte IS (Swedish),Malmö FF (Swedish)
Örgryte IS (Swedish),Naval (Portuguese)
Örgryte IS (Swedish),GAIS (Swedish)
Östers IF (Swedish),Viborg (Danish)
Östers IF (Swedish),Tigre (Argentinian)
Debrecen (Hungarian),Diósgyőr (Hungarian)
Debrecen (Hungarian),Honvéd (Hungarian)
Debrecen (Hungarian),PSV Eindhoven (Dutch)
Debrecen (Hungarian),Vasas (Hungarian)
Debrecen (Hungarian),Sint-Truiden (Belgian)
Diósgyőr (Hungarian),Debrecen (Hungarian)
Diósgyőr (Hungarian),Újpest (Hungarian)
Diósgyőr (Hungarian),Újpest (Hungarian)
Diósgyőr (Hungarian),Tatabánya (Hungarian)
Diósgyőr (Hungarian),Debrecen (Hungarian)
Diósgyőr (Hungarian),Debrecen (Hungarian)
Győr (Hungarian),Spartak Moscow (Russian)
Honvéd (Hungarian),Diósgyőr (Hungarian)
Honvéd (Hungarian),BFC Siófok (Hungarian)
Honvéd (Hungarian),Kaposvár (Hungarian)
Honvéd (Hungarian),REAC (Hungarian)
Honvéd (Hungarian),Debrecen (Hungarian)
Kaposvár (Hungarian),Debrecen (Hungarian)
MTK (Hungarian),Paks (Hungarian)
MTK (Hungarian),Debrecen (Hungarian)
MTK (Hungarian),REAC (Hungarian)
MTK (Hungarian),BFC Siófok (Hungarian)
MTK (Hungarian),BFC Siófok (Hungarian)
Paks (Hungarian),BFC Siófok (Hungarian)
Pécs (Hungarian),Tatabánya (Hungarian)
Pécs (Hungarian),MTK (Hungarian)
Pécs (Hungarian),Vasas (Hungarian)
Pécs (Hungarian),REAC (Hungarian)
Pécs (Hungarian),Tatabánya (Hungarian)
Pécs (Hungarian),Kaposvár (Hungarian)
REAC (Hungarian),Nyíregyháza Spartacus (Hungarian)
REAC (Hungarian),Újpest (Hungarian)
REAC (Hungarian),Fehérvár (Hungarian)
Sopron (Hungarian),Fehérvár (Hungarian)
Sopron (Hungarian),BFC Siófok (Hungarian)
Sopron (Hungarian),Debrecen (Hungarian)
Sopron (Hungarian),REAC (Hungarian)
Sopron (Hungarian),Fehérvár (Hungarian)
Tatabánya (Hungarian),Újpest (Hungarian)
Tatabánya (Hungarian),Honvéd (Hungarian)
Tatabánya (Hungarian),Debrecen (Hungarian)
Tatabánya (Hungarian),Újpest (Hungarian)
Tatabánya (Hungarian),Debrecen (Hungarian)
Tatabánya (Hungarian),Fehérvár (Hungarian)
Újpest (Hungarian),Nyíregyháza Spartacus (Hungarian)
Újpest (Hungarian),REAC (Hungarian)
Újpest (Hungarian),Győr (Hungarian)
Újpest (Hungarian),REAC (Hungarian)
Újpest (Hungarian),Vasas (Hungarian)
Újpest (Hungarian),Diósgyőr (Hungarian)
Vác (Hungarian),Diósgyőr (Hungarian)
Vác (Hungarian),Honvéd (Hungarian)
Vác (Hungarian),MTK (Hungarian)
Vác (Hungarian),Tatabánya (Hungarian)
Vác (Hungarian),BFC Siófok (Hungarian)
Vasas (Hungarian),Diósgyőr (Hungarian)
Vasas (Hungarian),Cracovia Kraków (Polish)
Vasas (Hungarian),Bolton Wanderers (English)
Vasas (Hungarian),Diósgyőr (Hungarian)
Zalaegerszeg (Hungarian),Győr (Hungarian)
Zalaegerszeg (Hungarian),Diósgyőr (Hungarian)
Zalaegerszeg (Hungarian),BFC Siófok (Hungarian)
Zalaegerszeg (Hungarian),Esbjerg (Danish)
Zalaegerszeg (Hungarian),BFC Siófok (Hungarian)
Zalaegerszeg (Hungarian),Győr (Hungarian)
Arka Gdynia (Polish),Odra Wodzisław (Polish)
Arka Gdynia (Polish),GKS Bełchatów (Polish)
GKS Bełchatów (Polish),Ruch Chorzów (Polish)
GKS Bełchatów (Polish),Odra Wodzisław (Polish)
GKS Bełchatów (Polish),Wisła Kraków (Polish)
GKS Bełchatów (Polish),Odra Wodzisław (Polish)
GKS Bełchatów (Polish),Zagłębie Sosnowiec (Polish)
GKS Bełchatów (Polish),Widzew Łódź (Polish)
GKS Bełchatów (Polish),Zagłębie Sosnowiec (Polish)
Cracovia Kraków (Polish),Legia Warszawa (Polish)
Cracovia Kraków (Polish),Polonia Bytom (Polish)
Górnik Łęczna (Polish),Roda JC (Dutch)
Górnik Łęczna (Polish),Cracovia Kraków (Polish)
Górnik Łęczna (Polish),Jagiellonia Białystok (Polish)
Górnik Łęczna (Polish),Górnik Zabrze (Polish)
Górnik Łęczna (Polish),Widzew Łódź (Polish)
Górnik Łęczna (Polish),Ruch Chorzów (Polish)
Górnik Łęczna (Polish),Górnik Zabrze (Polish)
Górnik Łęczna (Polish),Jagiellonia Białystok (Polish)
Górnik Łęczna (Polish),Widzew Łódź (Polish)
Górnik Zabrze (Polish),Zagłębie Sosnowiec (Polish)
Górnik Zabrze (Polish),Odra Wodzisław (Polish)
Górnik Zabrze (Polish),Odra Wodzisław (Polish)
Groclin Dyskobolia (Polish),Zagłębie Lubin (Polish)
Groclin Dyskobolia (Polish),Metalist Kharkiv (Ukrainian)
Groclin Dyskobolia (Polish),Zagłębie Lubin (Polish)
Groclin Dyskobolia (Polish),Cracovia Kraków (Polish)
Groclin Dyskobolia (Polish),Legia Warszawa (Polish)
Groclin Dyskobolia (Polish),Zagłębie Lubin (Polish)
Korona Kielce (Polish),Ruch Chorzów (Polish)
Korona Kielce (Polish),Widzew Łódź (Polish)
Korona Kielce (Polish),Dundee United (Scottish)
Lech Poznań (Polish),Odra Wodzisław (Polish)
Lech Poznań (Polish),Odra Wodzisław (Polish)
Lech Poznań (Polish),Korona Kielce (Polish)
Legia Warszawa (Polish),Arsenal (English)
Legia Warszawa (Polish),Belenenses (Portuguese)
Legia Warszawa (Polish),Zagłębie Lubin (Polish)
Legia Warszawa (Polish),CSKA Moscow (Russian)
ŁKS Łódź (Polish),Górnik Zabrze (Polish)
ŁKS Łódź (Polish),Górnik Zabrze (Polish)
ŁKS Łódź (Polish),Górnik Zabrze (Polish)
ŁKS Łódź (Polish),Korona Kielce (Polish)
ŁKS Łódź (Polish),Wisła Kraków (Polish)
Odra Wodzisław (Polish),Legia Warszawa (Polish)
Odra Wodzisław (Polish),Polonia Bytom (Polish)
Odra Wodzisław (Polish),Groclin Dyskobolia (Polish)
Odra Wodzisław (Polish),Lech Poznań (Polish)
Odra Wodzisław (Polish),Ruch Chorzów (Polish)
Odra Wodzisław (Polish),Ruch Chorzów (Polish)
Pogoń Szczecin (Polish),Korona Kielce (Polish)
Pogoń Szczecin (Polish),Korona Kielce (Polish)
Widzew Łódź (Polish),Odra Wodzisław (Polish)
Widzew Łódź (Polish),Legia Warszawa (Polish)
Widzew Łódź (Polish),Legia Warszawa (Polish)
Wisła Kraków (Polish),GKS Bełchatów (Polish)
Wisła Kraków (Polish),Górnik Zabrze (Polish)
Wisła Kraków (Polish),Borussia Dortmund (German)
Wisła Kraków (Polish),Zagłębie Sosnowiec (Polish)
Wisła Kraków (Polish),Lech Poznań (Polish)
Wisła Płock (Polish),GKS Bełchatów (Polish)
Zagłębie Lubin (Polish),Wisła Kraków (Polish)
Zagłębie Lubin (Polish),Widzew Łódź (Polish)
Zagłębie Lubin (Polish),Hertha Berlin (German)
Ankaragücü (Turkish),Galatasaray (Turkish)
Ankaragücü (Turkish),Sivasspor (Turkish)
Ankaragücü (Turkish),Kuban Krasnodar (Russian)
Ankaragücü (Turkish),Ankaraspor (Turkish)
Ankaragücü (Turkish),Sivasspor (Turkish)
Ankaragücü (Turkish),Sivasspor (Turkish)
Ankaraspor (Turkish),Fenerbahçe (Turkish)
Ankaraspor (Turkish),Ankaragücü (Turkish)
Ankaraspor (Turkish),Gaziantepspor (Turkish)
Ankaraspor (Turkish),Beşiktaş (Turkish)
Ankaraspor (Turkish),Fehérvár (Hungarian)
Antalyaspor (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Antalyaspor (Turkish),Fenerbahçe (Turkish)
Antalyaspor (Turkish),Ankaragücü (Turkish)
Antalyaspor (Turkish),Galatasaray (Turkish)
Antalyaspor (Turkish),Gaziantepspor (Turkish)
Beşiktaş (Turkish),Lens (French)
Beşiktaş (Turkish),Manisaspor (Turkish)
Beşiktaş (Turkish),Denizlispor (Turkish)
Beşiktaş (Turkish),Gaziantepspor (Turkish)
Beşiktaş (Turkish),Manisaspor (Turkish)
Beşiktaş (Turkish),Rizespor (Turkish)
Beşiktaş (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Bursaspor (Turkish),Gaziantepspor (Turkish)
Bursaspor (Turkish),Rizespor (Turkish)
Denizlispor (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Erciyesspor (Turkish),Rizespor (Turkish)
Erciyesspor (Turkish),Bursaspor (Turkish)
Erciyesspor (Turkish),Trabzonspor (Turkish)
Erciyesspor (Turkish),Rizespor (Turkish)
Erciyesspor (Turkish),Kayserispor (Turkish)
Erciyesspor (Turkish),Gaziantepspor (Turkish)
Erciyesspor (Turkish),Kayserispor (Turkish)
Erciyesspor (Turkish),Ankaragücü (Turkish)
Erciyesspor (Turkish),Galatasaray (Turkish)
Erciyesspor (Turkish),KRC Genk (Belgian)
Erciyesspor (Turkish),Gaziantepspor (Turkish)
Fenerbahçe (Turkish),Beşiktaş (Turkish)
Fenerbahçe (Turkish),Middlesbrough (English)
Fenerbahçe (Turkish),Larissa (Greek)
Fenerbahçe (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Fenerbahçe (Turkish),Trabzonspor (Turkish)
Fenerbahçe (Turkish),Beşiktaş (Turkish)
Galatasaray (Turkish),Rubin Kazan (Russian)
Galatasaray (Turkish),Ankaraspor (Turkish)
Galatasaray (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Galatasaray (Turkish),Bursaspor (Turkish)
Galatasaray (Turkish),Ankaraspor (Turkish)
Galatasaray (Turkish),Austria Salzburg (Austrian)
Galatasaray (Turkish),Eintracht Frankfurt (German)
Galatasaray (Turkish),Manisaspor (Turkish)
Galatasaray (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Galatasaray (Turkish),Manisaspor (Turkish)
Galatasaray (Turkish),Rubin Kazan (Russian)
Galatasaray (Turkish),Gaziantepspor (Turkish)
Gaziantepspor (Turkish),İstanbul Büyükşehir Belediyespor (Turkish)
Gaziantepspor (Turkish),Ankaragücü (Turkish)
Gaziantepspor (Turkish),Ankaraspor (Turkish)
Gaziantepspor (Turkish),Ankaragücü (Turkish)
Gaziantepspor (Turkish),Kasımpaşa (Turkish)
Gaziantepspor (Turkish),Konyaspor (Turkish)
Gaziantepspor (Turkish),Kasımpaşa (Turkish)
Gençlerbirliği (Turkish),Kasımpaşa (Turkish)
Gençlerbirliği (Turkish),Gençlerbirliği OFTAŞ (Turkish)
Gençlerbirliği (Turkish),Gençlerbirliği OFTAŞ (Turkish)
Gençlerbirliği (Turkish),Ankaraspor (Turkish)
Gençlerbirliği (Turkish),Ankaraspor (Turkish)
Kayserispor (Turkish),Gaziantepspor (Turkish)
Kayserispor (Turkish),Gaziantepspor (Turkish)
Kayserispor (Turkish),Bursaspor (Turkish)
Kayserispor (Turkish),Fenerbahçe (Turkish)
Kayserispor (Turkish),Trabzonspor (Turkish)
Kayserispor (Turkish),Galatasaray (Turkish)
Kayserispor (Turkish),Gaziantepspor (Turkish)
Konyaspor (Turkish),Rizespor (Turkish)
Konyaspor (Turkish),Gençlerbirliği (Turkish)
Konyaspor (Turkish),Ankaraspor (Turkish)
Konyaspor (Turkish),Ankaraspor (Turkish)
Manisaspor (Turkish),Konyaspor (Turkish)
Manisaspor (Turkish),Beşiktaş (Turkish)
Rizespor (Turkish),Ankaragücü (Turkish)
Rizespor (Turkish),Fenerbahçe (Turkish)
Rizespor (Turkish),Ankaraspor (Turkish)
Rizespor (Turkish),Ankaragücü (Turkish)
Rizespor (Turkish),Ankaraspor (Turkish)
Rizespor (Turkish),Sivasspor (Turkish)
Sakaryaspor (Turkish),Denizlispor (Turkish)
Sakaryaspor (Turkish),Sivasspor (Turkish)
Sakaryaspor (Turkish),Kayserispor (Turkish)
Sakaryaspor (Turkish),Colón (Santa Fe) (Argentinian)
Sakaryaspor (Turkish),Ankaragücü (Turkish)
Sakaryaspor (Turkish),Manisaspor (Turkish)
Sakaryaspor (Turkish),Rizespor (Turkish)
Sivasspor (Turkish),Perth Glory (Australian)
Sivasspor (Turkish),Kasımpaşa (Turkish)
Sivasspor (Turkish),Fenerbahçe (Turkish)
Sivasspor (Turkish),Gaziantepspor (Turkish)
Sivasspor (Turkish),Ankaragücü (Turkish)
Sivasspor (Turkish),Denizlispor (Turkish)
Sivasspor (Turkish),Galatasaray (Turkish)
Trabzonspor (Turkish),Konyaspor (Turkish)
Trabzonspor (Turkish),Recreativo Huelva (Spanish)
Trabzonspor (Turkish),Ankaraspor (Turkish)
Trabzonspor (Turkish),FC Porto (Portuguese)
