Drogheda United (Irish),St Patrick's Athletic (Irish)
Drogheda United (Irish),Bohemians (Irish)
Drogheda United (Irish),Longford Town (Irish)
Drogheda United (Irish),St Patrick's Athletic (Irish)
Finn Harps (Irish),Derry City (Irish)
Longford Town (Irish),Bohemians (Irish)
Longford Town (Irish),Shelbourne (Irish)
Longford Town (Irish),Dundee United (Scottish)
Longford Town (Irish),Bohemians (Irish)
Longford Town (Irish),Waterford United (Irish)
Longford Town (Irish),Drogheda United (Irish)
Longford Town (Irish),St Patrick's Athletic (Irish)
Longford Town (Irish),Motherwell (Scottish)
St Patrick's Athletic (Irish),Bohemians (Irish)
Shamrock Rovers (Irish),Bohemians (Irish)
Shamrock Rovers (Irish),Drogheda United (Irish)
Shamrock Rovers (Irish),St Patrick's Athletic (Irish)
Shamrock Rovers (Irish),St Patrick's Athletic (Irish)
Shamrock Rovers (Irish),Motherwell (Scottish)
Shamrock Rovers (Irish),St Patrick's Athletic (Irish)
Shelbourne (Irish),Dunfermline Athletic (Scottish)
Shelbourne (Irish),Waterford United (Irish)
Shelbourne (Irish),Waterford United (Irish)
Shelbourne (Irish),Dunfermline Athletic (Scottish)
Shelbourne (Irish),Bray Wanderers (Irish)
Shelbourne (Irish),Drogheda United (Irish)
U.C.D. (Irish),St Patrick's Athletic (Irish)
Waterford United (Irish),Longford Town (Irish)
Waterford United (Irish),St Patrick's Athletic (Irish)
Waterford United (Irish),U.C.D. (Irish)
Académica (Portuguese),Beira-Mar (Portuguese)
Académica (Portuguese),Legia Warszawa (Polish)
Académica (Portuguese),Nacional (Portuguese)
Académica (Portuguese),Atlético Madrid (Spanish)
Académica (Portuguese),Belenenses (Portuguese)
Belenenses (Portuguese),Desportivo das Aves (Portuguese)
Belenenses (Portuguese),Levante (Spanish)
Belenenses (Portuguese),Estrela da Amadora (Portuguese)
Belenenses (Portuguese),Santa Cruz (Brazilian)
Benfica (Portuguese),Cruzeiro (Brazilian)
Benfica (Portuguese),PSV Eindhoven (Dutch)
Benfica (Portuguese),Everton (English)
Benfica (Portuguese),AEK (Greek)
Benfica (Portuguese),Tottenham Hotspur (English)
Benfica (Portuguese),Levante (Spanish)
Boavista (Portuguese),Estrela da Amadora (Portuguese)
Boavista (Portuguese),Celta Vigo (Spanish)
Boavista (Portuguese),Marítimo (Portuguese)
Boavista (Portuguese),Sporting Braga (Portuguese)
Boavista (Portuguese),Benfica (Portuguese)
Estrela da Amadora (Portuguese),União de Leiria (Portuguese)
Estrela da Amadora (Portuguese),Beira-Mar (Portuguese)
Estrela da Amadora (Portuguese),Vitória Setúbal (Portuguese)
Estrela da Amadora (Portuguese),Benfica (Portuguese)
Estrela da Amadora (Portuguese),Naval (Portuguese)
Estrela da Amadora (Portuguese),União de Leiria (Portuguese)
Gil Vicente (Portuguese),Santa Cruz (Brazilian)
Gil Vicente (Portuguese),Belenenses (Portuguese)
Gil Vicente (Portuguese),Paços de Ferreira (Portuguese)
Gil Vicente (Portuguese),Panionios (Greek)
Gil Vicente (Portuguese),Marítimo (Portuguese)
Gil Vicente (Portuguese),União de Leiria (Portuguese)
Gil Vicente (Portuguese),Paços de Ferreira (Portuguese)
Marítimo (Portuguese),Chelsea (English)
Marítimo (Portuguese),Paços de Ferreira (Portuguese)
Marítimo (Portuguese),Belenenses (Portuguese)
Marítimo (Portuguese),Sporting Braga (Portuguese)
Juventude (Brazilian),Sporting Braga (Portuguese)
Nacional (Portuguese),Chelsea (English)
Nacional (Portuguese),Benfica (Portuguese)
Nacional (Portuguese),Kyoto Purple Sanga (Japanese)
Nacional (Portuguese),Shimizu S-Pulse (Japanese)
Naval (Portuguese),Zagłębie Lubin (Polish)
Naval (Portuguese),Boavista (Portuguese)
Paços de Ferreira (Portuguese),Ergotelis (Greek)
Paços de Ferreira (Portuguese),Vitória Setúbal (Portuguese)
Penafiel (Portuguese),Nacional (Portuguese)
Penafiel (Portuguese),Nacional (Portuguese)
Penafiel (Portuguese),Desportivo das Aves (Portuguese)
FC Porto (Portuguese),Blackburn Rovers (English)
FC Porto (Portuguese),Werder Bremen (German)
FC Porto (Portuguese),Académica (Portuguese)
FC Porto (Portuguese),União de Leiria (Portuguese)
FC Porto (Portuguese),Werder Bremen (German)
Rio Ave (Portuguese),Estrela da Amadora (Portuguese)
Rio Ave (Portuguese),Marítimo (Portuguese)
Sporting Braga (Portuguese),Belenenses (Portuguese)
Sporting Braga (Portuguese),Rubin Kazan (Russian)
Sporting Braga (Portuguese),Beira-Mar (Portuguese)
Sporting CP (Portuguese),Vitória Setúbal (Portuguese)
Sporting CP (Portuguese),Estrela da Amadora (Portuguese)
Sporting CP (Portuguese),Standard Liège (Belgian)
Sporting CP (Portuguese),Aris (Greek)
Sporting CP (Portuguese),Portsmouth (English)
União de Leiria (Portuguese),Sporting Braga (Portuguese)
União de Leiria (Portuguese),Panionios (Greek)
União de Leiria (Portuguese),FC Porto (Portuguese)
União de Leiria (Portuguese),Cruzeiro (Brazilian)
União de Leiria (Portuguese),Rubin Kazan (Russian)
União de Leiria (Portuguese),Lens (French)
União de Leiria (Portuguese),Estrela da Amadora (Portuguese)
Vitória Guimarães (Portuguese),Naval (Portuguese)
Vitória Guimarães (Portuguese),Konyaspor (Turkish)
Vitória Guimarães (Portuguese),Académica (Portuguese)
Vitória Guimarães (Portuguese),Sporting Braga (Portuguese)
Vitória Guimarães (Portuguese),Iraklis (Greek)
Vitória Guimarães (Portuguese),Wisła Kraków (Polish)
Vitória Guimarães (Portuguese),Estrela da Amadora (Portuguese)
Vitória Guimarães (Portuguese),Larissa (Greek)
Vitória Guimarães (Portuguese),Rubin Kazan (Russian)
Vitória Setúbal (Portuguese),Standard Liège (Belgian)
Vitória Setúbal (Portuguese),Sporting Braga (Portuguese)
Vitória Setúbal (Portuguese),União de Leiria (Portuguese)
Arsenal Kiev (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Arsenal Kiev (Ukrainian),Tavriya Simferopol (Ukrainian)
Arsenal Kiev (Ukrainian),Tavriya Simferopol (Ukrainian)
Arsenal Kiev (Ukrainian),Illichivets Mariupol (Ukrainian)
Arsenal Kiev (Ukrainian),Zorya Luhansk (Ukrainian)
Chernomorets Odessa (Ukrainian),FC Kharkiv (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Zorya Luhansk (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Vorskla Poltava (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Dynamo Kiev (Ukrainian),Monaco (French)
Dynamo Kiev (Ukrainian),Dynamo Moscow (Russian)
Illichivets Mariupol (Ukrainian),Zorya Luhansk (Ukrainian)
Illichivets Mariupol (Ukrainian),Vorskla Poltava (Ukrainian)
FC Kharkiv (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
FC Kharkiv (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
FC Kharkiv (Ukrainian),Illichivets Mariupol (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Tavriya Simferopol (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Shinnik (Russian)
Kryvbas Kryvyi Rih (Ukrainian),Zorya Luhansk (Ukrainian)
Metalist Kharkiv (Ukrainian),Shakhtar Donetsk (Ukrainian)
Metalist Kharkiv (Ukrainian),Arsenal Kiev (Ukrainian)
Metalist Kharkiv (Ukrainian),Illichivets Mariupol (Ukrainian)
Metalurh Donetsk (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Metalurh Donetsk (Ukrainian),Chernomorets Odessa (Ukrainian)
Metalurh Donetsk (Ukrainian),Chernomorets Odessa (Ukrainian)
Metalurh Donetsk (Ukrainian),Illichivets Mariupol (Ukrainian)
Metalurh Donetsk (Ukrainian),Arsenal Kiev (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Luch-Energia Vladivostok (Russian)
Metalurh Zaporizhya (Ukrainian),Dynamo Kiev (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Arsenal Kiev (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Shakhtar Donetsk (Ukrainian)
Shakhtar Donetsk (Ukrainian),PAOK (Greek)
Shakhtar Donetsk (Ukrainian),Metalist Kharkiv (Ukrainian)
Shakhtar Donetsk (Ukrainian),Fulham (English)
Shakhtar Donetsk (Ukrainian),Wigan Athletic (English)
Shakhtar Donetsk (Ukrainian),Galatasaray (Turkish)
Stal Alchevsk (Ukrainian),Illichivets Mariupol (Ukrainian)
Stal Alchevsk (Ukrainian),Vorskla Poltava (Ukrainian)
Stal Alchevsk (Ukrainian),Zorya Luhansk (Ukrainian)
Tavriya Simferopol (Ukrainian),Arsenal Kiev (Ukrainian)
Volyn Lutsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Volyn Lutsk (Ukrainian),Metalist Kharkiv (Ukrainian)
Volyn Lutsk (Ukrainian),Metalist Kharkiv (Ukrainian)
Volyn Lutsk (Ukrainian),Tavriya Simferopol (Ukrainian)
Volyn Lutsk (Ukrainian),Zorya Luhansk (Ukrainian)
Vorskla Poltava (Ukrainian),Tom Tomsk (Russian)
Vorskla Poltava (Ukrainian),Illichivets Mariupol (Ukrainian)
Zakarpattya Uzhgorod (Ukrainian),Karpaty Lviv (Ukrainian)
Central Coast Mariners (Australian),1.FC Nürnberg (German)
