,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,Aleksandar Miljković,SRB,D,1.84,75,26-02-90,Belgrade,Split,Amkar Perm,2016,Russian
3,3,Petar Zanev,BUL,D,1.80,70,18-10-85,Blagoevgrad,Volyn Lutsk,Amkar Perm,2016,Russian
4,4,Nikolay Zaytsev,RUS,D,1.91,89,01-06-89,Novorossiysk,FC Tosno,Amkar Perm,2016,Russian
5,5,Janusz Gol,POL,M,1.82,77,11-11-85,Świdnica,Legia Warszawa,Amkar Perm,2016,Russian
6,6,Sekou Condé,GUI,D,1.92,90,09-06-93,Conakry,Olimpik Donetsk,Amkar Perm,2016,Russian
7,7,Anton Shynder,UKR,F,1.90,88,13-06-87,Sumy,Shakhtar Donetsk,Amkar Perm,2016,Russian
8,8,Fegor Ogude,NGA,M,1.80,78,29-07-87,Lagos,Vålerenga,Amkar Perm,2016,Russian
9,9,Darko Bodul,CRO,F,1.84,78,11-01-89,Sarajevo,Dundee U,Amkar Perm,2016,Russian
10,10,Alikhan Shavaev,RUS,M,1.76,70,05-01-93,,Spartak Nalchik,Amkar Perm,2016,Russian
13,13,Roland Gigolaev,RUS,D,1.76,73,04-01-90,Tbilisi,Ruch Chorzów,Amkar Perm,2016,Russian
15,15,Dmitriy Khomich,RUS,G,1.83,75,04-10-84,Vladikavkaz,Kairat Almaty,Amkar Perm,2016,Russian
16,16,Syarhey Balanovich,BLR,M,1.76,70,29-08-87,Pinsk,Shakhtyor Salihorsk,Amkar Perm,2016,Russian
17,17,Aleksey Gasilin,RUS,F,1.83,71,01-03-96,St. Petersburg,Zenit-2,Amkar Perm,2016,Russian
19,19,Brian Idowu,RUS,D,1.80,75,18-05-92,St. Petersburg,Zenit-2,Amkar Perm,2016,Russian
20,20,Pavel Komolov,RUS,M,1.75,67,10-03-89,St. Petersburg,algiris Vilnius,Amkar Perm,2016,Russian
23,23,Ivan Cherenchikov,RUS,D,1.86,81,25-08-84,Ozyorsk,Amkar-2,Amkar Perm,2016,Russian
25,25,David Khurtsidze,GEO,M,1.85,73,04-07-93,Kutaisi,Torpedo Armavir,Amkar Perm,2016,Russian
27,27,Mikhail Kostyukov,RUS,M,1.82,76,09-08-91,Nizhny Novgorod,Volga Nizhny Novgorod,Amkar Perm,2016,Russian
28,28,Stanislav Prokofyev,RUS,F,1.87,85,15-02-87,Tyumen,SKA-Energia,Amkar Perm,2016,Russian
33,33,Branko Jovićić,SRB,M,1.79,74,18-03-93,Čačak,Borac Čačak,Amkar Perm,2016,Russian
37,37,Nikolay Tarasov,RUS,D,1.87,80,25-02-98,Otradnoye,Zenit-2,Amkar Perm,2016,Russian
41,77,Aleksandr Salugin,RUS,F,1.85,75,23-10-88,Moscow,Torpedo Moscow,Amkar Perm,2016,Russian
42,95,Denis Vambolt,RUS,G,1.90,73,24-03-95,Baltiysk,Baltika Kaliningrad,Amkar Perm,2016,Russian
43,98,Aleksandr Budakov,RUS,G,1.86,79,10-02-85,Magnitogorsk,Isloch,Amkar Perm,2016,Russian
44,99,Oleh Mishchenko,UKR,F,1.80,74,10-10-89,Kyiv,Vorskla Poltava,Amkar Perm,2016,Russian
1,1,David Yurchenko,BLR,G,1.86,71,27-03-86,Ashgabat,FC Ufa,Anzhi Makhachkala,2016,Russian
2,2,Guram Tetrashvili,RUS,D,1.78,75,02-08-88,Vladikavkaz,FC Tosno,Anzhi Makhachkala,2016,Russian
4,4,Makysm Bilyy,UKR,D,1.84,76,21-06-90,Vasylkivka,Hajduk Split,Anzhi Makhachkala,2016,Russian
5,5,Aleksandr Zhirov,RUS,D,1.93,88,24-01-91,Barnaul,FC Krasnodar,Anzhi Makhachkala,2016,Russian
