,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Roman Gerus,RUS,G,1.93,86,14-09-80,Krasnodar,Dynamo Bryansk,Amkar Perm,2014,Russian
3,3,Petar Zanev,BUL,D,1.80,70,18-10-85,Blagoevgrad,Volyn Lutsk,Amkar Perm,2014,Russian
4,4,Maksim Batov,RUS,M,1.76,66,05-06-92,Perm,Zenit St. Petersburg,Amkar Perm,2014,Russian
5,5,Janusz Gol,POL,M,1.82,77,11-11-85,Świdnica,Legia Warszawa,Amkar Perm,2014,Russian
6,6,Aleksey Nikitin,RUS,D,1.87,87,27-01-92,Moscow,Yenisey Krasnoyarsk,Amkar Perm,2014,Russian
7,7,Georgi Peev,BUL,M,1.81,80,11-03-79,Sofia,Dynamo Kyiv,Amkar Perm,2014,Russian
8,8,Igor Kireyev,RUS,M,1.78,67,17-02-92,Zheleznogorsk,FC Rostov,Amkar Perm,2014,Russian
9,9,Aleksandr Prudnikov,RUS,F,1.85,78,26-02-89,Smolensk,Dynamo Moscow,Amkar Perm,2014,Russian
10,10,Igor Picuşceac,MDA,F,1.84,76,27-03-83,Tiraspol,FC Krasnodar,Amkar Perm,2014,Russian
11,11,Marko Simonovski,MKD,F,1.85,78,02-01-92,Skopje,Metalurg Skopje,Amkar Perm,2014,Russian
13,13,Syarhey Balanovich,BLR,M,1.76,70,29-08-87,Pinsk,Shakhtyor Salihorsk,Amkar Perm,2014,Russian
14,14,Zahari Sirakov,BUL,D,1.81,82,08-10-77,Smolyan,Rodopa Smolyan,Amkar Perm,2014,Russian
15,15,Dmitriy Khomich,RUS,G,1.83,75,04-10-84,Vladikavkaz,Kairat Almaty,Amkar Perm,2014,Russian
16,16,Brian Idowu,RUS,D,1.80,75,18-05-92,St. Petersburg,Zenit-2,Amkar Perm,2014,Russian
17,17,David Dzakhov,RUS,M,1.84,79,06-10-88,Vladikavkaz,Neftekhimik Nizhnekamsk,Amkar Perm,2014,Russian
18,18,Aleksey Kurzenev,RUS,F,1.86,76,09-01-95,Kazan,CSKA Moscow-2,Amkar Perm,2014,Russian
19,19,Aleksandr Kolomeytsev,RUS,M,1.82,78,21-02-89,Surgut,FC Moscow,Amkar Perm,2014,Russian
21,21,Dmitriy Belorukov,RUS,D,1.92,87,24-03-83,St. Petersburg,Anzhi Makhachkala,Amkar Perm,2014,Russian
22,22,Alikhan Shavaev,RUS,M,1.76,70,05-01-93,,Spartak Nalchik,Amkar Perm,2014,Russian
23,23,Ivan Cherenchikov,RUS,D,1.86,81,25-08-84,Ozyorsk,Amkar-2,Amkar Perm,2014,Russian
26,26,Martin Jakubko,SVK,F,1.94,95,26-02-80,Preov,Dukla Banská Bystrica,Amkar Perm,2014,Russian
30,30,Soslan Takazov,RUS,D,1.86,75,28-02-93,Vladikavkaz,Alania Vladikavkaz,Amkar Perm,2014,Russian
33,33,Branko Jovićić,SRB,M,1.79,74,18-03-93,Čačak,Borac Čačak,Amkar Perm,2014,Russian
41,43,Evgeniy Tyukalov,RUS,F,1.76,68,07-08-92,Perm,Amkar-2,Amkar Perm,2014,Russian
42,50,Robert Arzumanyan,ARM,D,1.83,69,24-07-85,Yerevan,Aktobe,Amkar Perm,2014,Russian
43,57,Aleksandr Selikhov,RUS,G,1.90,80,07-04-94,Orel,FC Orel,Amkar Perm,2014,Russian
44,87,Fegor Ogude,NGA,M,1.80,78,29-07-87,Lagos,Vålerenga,Amkar Perm,2014,Russian
45,88,Pavel Solomatin,RUS,M,1.76,73,04-04-93,Tolyatti,Dynamo Moscow,Amkar Perm,2014,Russian
46,91,Bohdan Butko,UKR,D,1.80,68,13-01-91,Donetsk,Shakhtar Donetsk-2,Amkar Perm,2014,Russian
1,1,Aleksandr Filimonov,RUS,G,1.93,90,15-10-73,Yoshkar-Ola,Lokomotiv Tashkent,Arsenal Tula,2014,Russian
2,2,Ivan Yershov,RUS,D,1.72,70,22-05-79,Polyarnye Zori,Chernomorets Novorossiysk,Arsenal Tula,2014,Russian
3,3,Ivan Lozenkov,RUS,D,1.84,74,14-04-84,,Dnepr Smolensk,Arsenal Tula,2014,Russian
4,4,Andrey Vasilyev,RUS,D,1.84,77,11-02-92,St. Petersburg,FC Rostov,Arsenal Tula,2014,Russian
5,5,Anri Khagush,RUS,D,1.77,74,23-09-86,Gagra,BATE,Arsenal Tula,2014,Russian
7,7,Aleksandr Zotov,RUS,M,1.72,64,27-08-90,Askiz,Spartak Moscow,Arsenal Tula,2014,Russian
8,8,Sergey Sukharev,RUS,D,1.83,83,29-01-87,Stary Oskol,Metallurg-Oskol,Arsenal Tula,2014,Russian
9,9,Vladimir Korytko,BLR,M,1.77,73,06-07-79,Minsk,Shinnik,Arsenal Tula,2014,Russian
10,10,Sergey Kuznetsov,RUS,M,1.80,73,07-05-86,Oryol,Mordovia Saransk,Arsenal Tula,2014,Russian
11,11,Florin Costea,ROU,F,1.84,77,16-05-85,Drăgăşani,CFR Cluj,Arsenal Tula,2014,Russian
14,14,Sergey Maslov,RUS,F,1.76,72,03-09-90,Moscow,FC Khimki,Arsenal Tula,2014,Russian
16,16,Sergey Kotov,RUS,G,1.86,83,17-03-82,Kamyshin,FC Khimki,Arsenal Tula,2014,Russian
18,18,Mladen Kaćelan,MNE,M,1.78,70,13-02-83,Kotor,Panthrakikos,Arsenal Tula,2014,Russian
19,19,Yevgeniy Osipov,RUS,D,1.89,87,29-10-86,Temryuk,FC Ufa,Arsenal Tula,2014,Russian
20,20,Rinat Timokhin,RUS,F,1.92,89,28-02-88,Yelets,Metallurg Lipetsk,Arsenal Tula,2014,Russian
21,21,Pavel Sergeev,RUS,M,1.76,70,20-06-93,Kamyshin,Spartak Moscow-2,Arsenal Tula,2014,Russian
22,22,Luká Tesák,SVK,D,1.75,72,08-03-85,iar nad Hronom,Torpedo Moscow,Arsenal Tula,2014,Russian
23,23,Igor Kaleshin,RUS,D,1.89,82,29-05-83,Maykop,Volgar Astrakhan,Arsenal Tula,2014,Russian
24,24,Dmitriy Smirnov,RUS,M,1.97,87,13-08-80,Moscow,Volyn Lutsk,Arsenal Tula,2014,Russian
28,28,Vladislav Rizhkov,RUS,M,1.68,67,28-02-90,Voronezh,Sibir Novosibirsk,Arsenal Tula,2014,Russian
30,30,Maksim Klikin,RUS,G,1.92,85,30-04-81,Moscow,Fakel Voronezh,Arsenal Tula,2014,Russian
38,38,Artur Maloyan,RUS,M,1.80,73,04-02-89,Krasnodar,Shinnik,Arsenal Tula,2014,Russian
41,42,Evgeniy Ezhov,RUS,D,1.79,73,11-02-95,Rzhanitsa,Spartak Moscow-2,Arsenal Tula,2014,Russian
42,44,Yuriy Medvedev,RUS,D,1.88,82,03-01-90,,FC Plavsk,Arsenal Tula,2014,Russian
43,48,Aleksandr Kutyin,RUS,F,1.88,80,13-02-86,Yelets,Metallurg Lipetsk,Arsenal Tula,2014,Russian
44,54,Aleksandr Zakarlyuka,RUS,F,1.78,71,24-06-95,Kohtla-Järve,Volga Nizhny Novgorod,Arsenal Tula,2014,Russian
45,55,Artur Farion,RUS,D,1.83,78,27-01-95,Tula,FC Kaluga,Arsenal Tula,2014,Russian
46,57,Aleksey Skornyakov,RUS,G,1.86,73,16-03-93,Dubna,Sokol Saratov,Arsenal Tula,2014,Russian
47,63,Aleksandr Chibirov,RUS,D,1.85,79,28-02-92,Moscow,FC Kolomna,Arsenal Tula,2014,Russian
48,75,Evgeniy Alferov,RUS,D,1.73,70,31-01-95,Taldykorgan,Zenit St Petersburg,Arsenal Tula,2014,Russian
49,77,Maksim Lepskiy,RUS,M,1.80,74,07-12-85,,FC Ufa,Arsenal Tula,2014,Russian
50,81,Roman Salimov,RUS,M,1.69,60,24-03-95,Novyi Rozdil,Kuban Krasnodar-2,Arsenal Tula,2014,Russian
51,85,Aleksandr Kryuchkov,RUS,M,1.75,68,20-07-85,Dubovka,Mostovik-Primorye Ussuriysk,Arsenal Tula,2014,Russian
52,86,Leonid Boev,RUS,F,1.84,83,19-01-86,Tula,Titan Klin,Arsenal Tula,2014,Russian
53,89,Dimitiry Starodub,RUS,M,1.81,71,19-05-95,Vladivostok,Dynamo Moscow-2,Arsenal Tula,2014,Russian
54,90,Andrey Lyakh,RUS,M,1.90,80,24-09-90,Rostov-on-Don,Spartak Kostroma,Arsenal Tula,2014,Russian
55,92,Andrey Naletov,RUS,D,1.88,82,31-03-96,Domodedovo,Volga Nizhny Novgorod,Arsenal Tula,2014,Russian
56,99,Ján Mucha,SVK,G,1.89,87,05-12-82,Belá nad Cirochou,Krylia Sovetov,Arsenal Tula,2014,Russian
1,1,Sergey Chepchugov,RUS,G,1.85,82,15-07-85,Krasnoyarsk,Sibir Novosibirsk,CSKA Moscow,2014,Russian
2,2,Mário Fernandes,BRA,D,1.89,77,19-09-90,São Caetano,Grêmio,CSKA Moscow,2014,Russian
3,3,Pontus Wernbloom,SWE,M,1.87,87,25-06-86,Kungälv,AZ Alkmaar,CSKA Moscow,2014,Russian
4,4,Sergey Ignashevich,RUS,D,1.86,75,14-07-79,Moscow,Lokomotiv Moscow,CSKA Moscow,2014,Russian
6,6,Aleksey Berezutskiy,RUS,D,1.90,82,20-06-82,Moscow,Chernomorets,CSKA Moscow,2014,Russian
7,7,Zoran Toić,SRB,M,1.71,69,28-04-87,Zrenjanin,Manchester U,CSKA Moscow,2014,Russian
8,8,Kirill Panchenko,RUS,F,1.85,80,16-10-89,Stavropol,Tom Tomsk,CSKA Moscow,2014,Russian
10,10,Alan Dzagoev,RUS,M,1.79,70,17-06-90,Beslan,CSKA-2,CSKA Moscow,2014,Russian
14,14,Kirill Nababkin,RUS,D,1.76,71,08-09-86,Moscow,FC Moscow,CSKA Moscow,2014,Russian
15,15,Dmitriy Efremov,RUS,M,1.80,70,01-04-95,Ulyanovsk,Akademiya Tolyatti,CSKA Moscow,2014,Russian
17,17,Alibek Aliev,SWE,F,1.89,83,16-08-96,Makhachkala,IF Elfsborg,CSKA Moscow,2014,Russian
18,18,Ahmed Musa,NGA,F,1.70,62,14-10-92,Bukuru,VVV Venlo,CSKA Moscow,2014,Russian
19,19,Aleksandrs Cauņa,LVA,M,1.74,66,19-01-88,Daugavpils,Skonto,CSKA Moscow,2014,Russian
23,23,Georgi Milanov,BUL,M,1.84,69,19-02-92,Levski,Litex Lovech,CSKA Moscow,2014,Russian
24,24,Vasiliy Berezutskiy,RUS,D,1.89,83,20-06-82,Moscow,Torpedo-ZIL,CSKA Moscow,2014,Russian
25,25,Roman Eremenko,FIN,M,1.80,67,19-03-87,Moscow,Rubin Kazan,CSKA Moscow,2014,Russian
35,35,Igor Akinfeev,RUS,G,1.85,81,08-04-86,Vidnoye,CSKA-2,CSKA Moscow,2014,Russian
41,42,Georgi Schennikov,RUS,D,1.78,69,27-04-91,Moscow,CSKA-2,CSKA Moscow,2014,Russian
42,60,Aleksandr Golovin,RUS,M,1.80,69,30-05-96,Kaltan,CSKA-2,CSKA Moscow,2014,Russian
43,66,Bibras Natkho,ISR,M,1.75,73,18-02-88,Kfar Kama,PAOK,CSKA Moscow,2014,Russian
44,91,Nikita Chernov,RUS,D,1.88,79,14-01-96,Volzhsky,CSKA-2,CSKA Moscow,2014,Russian
45,97,Carlos Strandberg,SWE,F,1.87,90,14-04-96,Gothenburg,BK Häcken,CSKA Moscow,2014,Russian
1,1,Anton Shunin,RUS,G,1.91,81,27-01-87,Moscow,Dynamo Moscow-2,Dynamo Moscow,2014,Russian
3,3,Alexander Büttner,NED,D,1.76,72,11-02-89,Doetinchem,Manchester U,Dynamo Moscow,2014,Russian
4,4,Christopher Samba,CGO,D,1.93,91,28-03-84,Créteil,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
5,5,Douglas,NED,D,1.92,80,12-01-88,São Paulo,FC Twente,Dynamo Moscow,2014,Russian
6,6,William Vainqueur,FRA,M,1.79,73,19-11-88,Neuilly-sur-Marne,Standard Liège,Dynamo Moscow,2014,Russian
7,7,Balázs Dzsudzsák,HUN,M,1.79,72,23-12-86,Nyírlugos,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
8,8,Artur Yusupov,RUS,M,1.79,71,01-09-89,Samara,FC Togliatti,Dynamo Moscow,2014,Russian
9,9,Aleksandr Kokorin,RUS,F,1.82,72,19-03-91,Moscow,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
11,11,Aleksey Ionov,RUS,M,1.77,68,18-02-89,Kingisepp,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
14,14,Mathieu Valbuena,FRA,M,1.67,58,28-09-84,Bordeaux,Marseille,Dynamo Moscow,2014,Russian
15,15,Tomá Hubočan,SVK,D,1.83,74,17-09-85,ilina,Zenit St Petersburg,Dynamo Moscow,2014,Russian
18,18,Yuriy Zhirkov,RUS,M,1.80,75,20-08-83,Tambov,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
21,21,Roman Berezovskiy,ARM,G,1.88,78,05-08-74,Yerevan,FC Khimki,Dynamo Moscow,2014,Russian
22,22,Kevin Kuranyi,GER,F,1.90,80,02-03-82,Rio de Janeiro,Schalke,Dynamo Moscow,2014,Russian
25,25,Aleksey Kozlov,RUS,D,1.86,78,25-12-86,Petrozavodsk,Kuban Krasnodar,Dynamo Moscow,2014,Russian
27,27,Igor Denisov,RUS,M,1.76,75,17-05-84,St. Petersburg,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
28,28,Boris Rotenberg,FIN,D,1.89,83,19-05-86,St. Petersburg,Zenit St Petersburg,Dynamo Moscow,2014,Russian
30,30,Vladimir Gabulov,RUS,G,1.90,81,19-10-83,Mozdok,Anzhi Makhachkala,Dynamo Moscow,2014,Russian
41,47,Roman Zobnin,RUS,M,1.84,74,11-02-94,Irkutsk,Akademiya Tolyatti,Dynamo Moscow,2014,Russian
