,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,Ibrahim Gnanou,BFA,D,1.86,80,08-11-86,Ouagadougou,FC Midtjylland,Alania Vladikavkaz,2010,Russian
3,3,Valeriy Tskhovrebov,RUS,D,1.87,75,29-05-89,,Alania-2,Alania Vladikavkaz,2010,Russian
4,4,Boris Rotenberg,FIN,D,1.89,83,19-05-86,St. Petersburg,Zenit St Petersburg,Alania Vladikavkaz,2010,Russian
5,5,Gheorghe Florescu,ROU,M,1.79,77,21-05-84,Cluj-Napoca,FC Midtjylland,Alania Vladikavkaz,2010,Russian
7,7,Karen Oganyan,RUS,F,1.74,75,25-06-82,Moscow,KamAZ,Alania Vladikavkaz,2010,Russian
8,8,Georgiy Gabulov,RUS,M,1.90,74,04-09-88,Mozdok,Lokomotiv Moscow-2,Alania Vladikavkaz,2010,Russian
9,9,Arsen Khubulov,RUS,M,1.81,74,13-12-90,Vladikavkaz,Avtodor Vladikavkaz,Alania Vladikavkaz,2010,Russian
11,11,Serghei Dadu,MDA,F,1.88,84,23-01-81,Chişinău,FC Midtjylland,Alania Vladikavkaz,2010,Russian
13,13,Simeon Bulgaru,MDA,D,1.86,80,26-05-85,Chişinău,Viborg,Alania Vladikavkaz,2010,Russian
14,14,Aleksandr Marenich,RUS,F,1.78,71,29-04-89,Zernograd,FC Moscow,Alania Vladikavkaz,2010,Russian
15,15,Aslan Mashukov,RUS,M,1.80,75,04-11-84,Nalchik,Spartak Nalchik,Alania Vladikavkaz,2010,Russian
16,16,Dmitriy Khomich,RUS,G,1.83,75,04-10-84,Vladikavkaz,Spartak Moscow,Alania Vladikavkaz,2010,Russian
17,17,Taras Tsarikaev,RUS,F,1.85,77,17-06-89,Vladikavkaz,Lokomotiv Moscow,Alania Vladikavkaz,2010,Russian
18,18,Dzhambulat Bazaev,RUS,M,1.81,80,18-08-79,Rustavi,Rubin Kazan,Alania Vladikavkaz,2010,Russian
20,20,Dacosta Goore,CIV,D,1.87,74,31-12-84,,FC Moscow,Alania Vladikavkaz,2010,Russian
21,21,Inal Pukhaev,RUS,M,1.81,72,28-01-92,,Amkar Perm,Alania Vladikavkaz,2010,Russian
22,22,David Gigolaev,RUS,G,1.90,81,31-03-89,Vladikavkaz,Alania-2,Alania Vladikavkaz,2010,Russian
23,23,Alan Dzutsev,RUS,M,1.85,78,24-11-91,Vladikavkaz,Alania-2,Alania Vladikavkaz,2010,Russian
24,24,Abdoul-Gafar Mamah,TOG,D,1.74,67,24-08-85,Lomé,Sheriff Tiraspol,Alania Vladikavkaz,2010,Russian
25,25,Ivan Ivanov,BUL,M,1.86,77,25-02-88,Zlatitsa,CSKA Sofia,Alania Vladikavkaz,2010,Russian
29,29,Shota Bibilov,RUS,M,1.79,68,06-08-90,Vladikavkaz,Alania-2,Alania Vladikavkaz,2010,Russian
30,30,Baba Collins,NGA,F,1.75,75,02-12-88,,FC Midtjylland,Alania Vladikavkaz,2010,Russian
31,31,Eldar Nizamutdinov,RUS,M,1.73,72,31-05-81,Kostroma,FC Khimki,Alania Vladikavkaz,2010,Russian
34,34,Nariman Gusalov,RUS,D,1.92,86,22-05-90,,Alania-2,Alania Vladikavkaz,2010,Russian
35,35,Aslan Doguzov,RUS,D,1.81,79,13-01-91,,Avtodor Vladikavkaz,Alania Vladikavkaz,2010,Russian
36,36,Alan Soltanov,RUS,D,1.85,78,11-06-91,,Alania-2,Alania Vladikavkaz,2010,Russian
38,38,Omar Tsopanov,RUS,G,1.88,70,04-07-90,,Alania-2,Alania Vladikavkaz,2010,Russian
39,39,Soslan Kachmazov,RUS,D,1.81,71,14-07-91,,Alania-2,Alania Vladikavkaz,2010,Russian
40,40,Atsamaz Kumalagov,RUS,M,1.82,74,13-09-90,,Alania-2,Alania Vladikavkaz,2010,Russian
41,41,Mikhail Kerzhakov,RUS,G,1.89,84,28-01-87,Kingisepp,Zenit St Petersburg,Alania Vladikavkaz,2010,Russian
42,42,Yuriy Kirillov,RUS,M,1.80,71,19-01-90,Ufa,Dynamo Moscow,Alania Vladikavkaz,2010,Russian
43,43,David Bugulov,RUS,D,1.81,78,14-07-92,,Alania-2,Alania Vladikavkaz,2010,Russian
44,44,Georgiy Dzantiev,RUS,M,1.76,65,14-12-93,,Alania-2,Alania Vladikavkaz,2010,Russian
45,45,Georgiy Bulatsev,RUS,M,1.82,68,18-02-92,,Alania-2,Alania Vladikavkaz,2010,Russian
46,46,Albert Tskhovrebov,RUS,D,1.90,78,01-05-93,,Alania-2,Alania Vladikavkaz,2010,Russian
