,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Roman Gerus,RUS,G,1.93,86,14-09-80,Krasnodar,Dynamo Bryansk,Amkar Perm,2011,Russian
3,3,Nikola Mijailović,SRB,D,1.85,75,15-02-82,Zemun,Korona Kielce,Amkar Perm,2011,Russian
5,5,Vitaliy Grishin,RUS,M,1.80,77,09-09-80,Moscow,FC Khimki,Amkar Perm,2011,Russian
6,6,Marko Blaić,SRB,D,1.78,72,02-08-85,Mladenovac,MFK Ruomberok,Amkar Perm,2011,Russian
7,7,Georgi Peev,BUL,M,1.81,80,11-03-79,Sofia,Dynamo Kyiv,Amkar Perm,2011,Russian
8,8,Sergey Volkov,RUS,F,1.75,75,27-09-80,Kaluga,Lokomotiv Kaluga,Amkar Perm,2011,Russian
10,10,Andrey Topchu,RUS,M,1.81,79,17-04-80,Krasnodar,Kuban Krasnodar,Amkar Perm,2011,Russian
11,11,Radomir Djalović,MNE,F,1.86,84,29-10-82,Bijelo Polje,Rijeka,Amkar Perm,2011,Russian
13,13,Mitar Novaković,MNE,M,1.88,76,27-09-81,Bar,OFK Belgrade,Amkar Perm,2011,Russian
14,14,Zahari Sirakov,BUL,D,1.81,82,08-10-77,Smolyan,Rodopa Smolyan,Amkar Perm,2011,Russian
15,15,Predrag Mijić,SRB,M,1.78,72,05-11-84,abalj,Partizan Belgrade,Amkar Perm,2011,Russian
17,17,Konstantin Vassiljev,EST,M,1.73,69,16-08-84,Tallinn,Koper,Amkar Perm,2011,Russian
18,18,Nikita Burmistrov,RUS,F,1.81,75,06-07-89,Moscow,CSKA Moscow-2,Amkar Perm,2011,Russian
19,19,Aleksandr Kolomeytsev,RUS,M,1.82,78,21-02-89,Surgut,FC Moscow,Amkar Perm,2011,Russian
20,20,Artem Molodtsov,RUS,D,1.74,70,08-10-90,Saratov,Saturn,Amkar Perm,2011,Russian
21,21,Dmitriy Belorukov,RUS,D,1.92,87,24-03-83,St. Petersburg,Anzhi Makhachkala,Amkar Perm,2011,Russian
23,23,Ivan Cherenchikov,RUS,M,1.86,81,25-08-84,Ozyorsk,Amkar-2,Amkar Perm,2011,Russian
24,24,Aleksey Popov,RUS,D,1.88,83,07-07-78,Perm,Rubin Kazan,Amkar Perm,2011,Russian
25,25,Serhiy Harashchenkov,UKR,D,1.84,80,16-05-90,Novohrodivka,Shakhtar Donetsk,Amkar Perm,2011,Russian
26,26,Martin Jakubko,SVK,F,1.94,95,26-02-80,Preov,Dukla Banská Bystrica,Amkar Perm,2011,Russian
35,35,Andrey Danilov,RUS,G,1.88,85,19-09-91,,Amkar-2,Amkar Perm,2011,Russian
41,42,Sergey Narubin,RUS,G,1.95,87,05-12-81,Moskovskaya Oblast,Dynamo Bryansk,Amkar Perm,2011,Russian
42,43,Evgeniy Tyukalov,RUS,F,1.76,68,07-08-92,Perm,Amkar-2,Amkar Perm,2011,Russian
43,46,Aleksandr Subbotin,RUS,F,1.75,66,20-10-91,Perm,Amkar-2,Amkar Perm,2011,Russian
44,50,Mikhail Smirnov,RUS,D,1.88,80,03-06-90,St. Petersburg,Zenit St Petersburg,Amkar Perm,2011,Russian
45,66,Artur Ryabokobilenko,RUS,M,1.73,60,05-04-91,Kstovo,Amkar-2,Amkar Perm,2011,Russian
46,73,Brian Idowu,RUS,D,1.80,75,18-05-92,St. Petersburg,Zenit-2,Amkar Perm,2011,Russian
47,77,Zourab Tsiskaridze,GEO,D,1.85,84,08-12-86,Tbilisi,Montreal Impact,Amkar Perm,2011,Russian
48,83,Georgiy Dzhioev,RUS,D,1.92,85,13-06-86,Vladikavkaz,Zhemchuzhina-Sochi,Amkar Perm,2011,Russian
1,1,Vladimir Gabulov,RUS,G,1.90,81,19-10-83,Mozdok,Dynamo Moscow,Anzhi Makhachkala,2011,Russian
3,3,Roberto Carlos,BRA,D,1.68,73,10-04-73,Garca,Corinthians,Anzhi Makhachkala,2011,Russian
4,4,Aleksey Igonin,RUS,D,1.81,82,18-03-76,St. Petersburg,Saturn,Anzhi Makhachkala,2011,Russian
5,5,Georgiy Gabulov,RUS,M,1.90,74,04-09-88,Mozdok,Alania Vladikavkaz,Anzhi Makhachkala,2011,Russian
6,6,Mbark Boussoufa,MAR,M,1.68,58,15-08-84,Amsterdam,Anderlecht,Anzhi Makhachkala,2011,Russian
7,7,Kamil Agalarov,RUS,M,1.78,70,11-06-88,Makhachkala,Dagdizel Kaspiysk,Anzhi Makhachkala,2011,Russian
8,8,Jucilei,BRA,M,1.85,76,06-04-88,São Gonçalo,Corinthians,Anzhi Makhachkala,2011,Russian
10,10,Shamil Lakhiyalov,RUS,F,1.75,69,28-10-79,Makhachkala,FC Krasnodar,Anzhi Makhachkala,2011,Russian
13,13,Rasim Tagirbekov,RUS,D,1.83,81,04-05-84,Makhachkala,Anzhi-2,Anzhi Makhachkala,2011,Russian
15,15,Arseniy Logashov,RUS,D,1.83,68,20-08-91,Kursk,FC Khimki,Anzhi Makhachkala,2011,Russian
16,16,Viktor Kuzmichev,RUS,M,1.80,71,19-03-92,Makhachkala,Saturn,Anzhi Makhachkala,2011,Russian
17,17,Jan Holenda,CZE,F,1.86,82,22-08-85,Prague,Sparta Prague,Anzhi Makhachkala,2011,Russian
18,18,Benoît Angbwa,CMR,D,1.76,76,01-01-82,Garoua,Saturn,Anzhi Makhachkala,2011,Russian
20,20,Mehdi Carcela-Gonzalez,MAR,M,1.76,67,01-07-89,Liège,Standard Liège,Anzhi Makhachkala,2011,Russian
21,21,Sharif Mukhammad,RUS,M,1.84,72,21-03-90,Makhachkala,Anzhi-2,Anzhi Makhachkala,2011,Russian
22,22,Christopher Samba,CGO,D,1.93,91,28-03-84,Créteil,Blackburn R,Anzhi Makhachkala,2011,Russian
25,25,Odil Ahmedov,UZB,M,1.82,70,25-11-87,Namangan,Pakhtakor,Anzhi Makhachkala,2011,Russian
27,27,Oleg Shatov,RUS,M,1.73,64,29-07-90,Nizhny Tagil,FC Ural,Anzhi Makhachkala,2011,Russian
30,30,João Carlos,BRA,D,1.89,85,01-01-82,Realengo,KRC Genk,Anzhi Makhachkala,2011,Russian
31,31,Evgeniy Pomazan,RUS,G,1.93,85,31-01-89,Angren,CSKA Moscow,Anzhi Makhachkala,2011,Russian
41,48,Anvar Ibragimgadzhiev,RUS,D,1.72,65,27-09-91,,Anzhi-2,Anzhi Makhachkala,2011,Russian
42,61,Magomed Mirzabekov,RUS,M,1.68,73,16-11-90,,Anzhi-2,Anzhi Makhachkala,2011,Russian
43,63,Ali Gadzhibekov,RUS,D,1.80,72,06-08-89,Makhachkala,Anzhi-2,Anzhi Makhachkala,2011,Russian
44,77,Aleksandr Makarov,RUS,G,1.98,99,23-08-78,Morshansk,Saturn,Anzhi Makhachkala,2011,Russian
45,81,Yuriy Zhirkov,RUS,M,1.80,75,20-08-83,Tambov,Chelsea,Anzhi Makhachkala,2011,Russian
46,88,Aleksey Ivanov,RUS,M,1.78,73,01-09-81,Saratov,Saturn,Anzhi Makhachkala,2011,Russian
47,89,Aleksandr Prudnikov,RUS,F,1.85,78,26-02-89,Smolensk,Spartak Moscow,Anzhi Makhachkala,2011,Russian
48,90,Makhach Gadzhiev,RUS,M,1.81,73,18-10-87,Kizilyurt,Saturn,Anzhi Makhachkala,2011,Russian
49,91,Azamat Dzhioev,RUS,G,1.93,79,06-01-91,Vladikavkaz,Spartak Moscow,Anzhi Makhachkala,2011,Russian
50,99,Samuel Eto'o,CMR,F,1.80,75,10-03-81,Nkon,Internazionale,Anzhi Makhachkala,2011,Russian
1,1,Sergey Chepchugov,RUS,G,1.85,82,15-07-85,Krasnoyarsk,Sibir Novosibirsk,CSKA Moscow,2011,Russian
2,2,Deividas emberas,LTU,D,1.87,72,02-08-78,Vilnius,Dynamo Moscow,CSKA Moscow,2011,Russian
3,3,Pontus Wernbloom,SWE,M,1.87,87,25-06-86,Kungälv,AZ Alkmaar,CSKA Moscow,2011,Russian
4,4,Sergey Ignashevich,RUS,D,1.86,75,14-07-79,Moscow,Lokomotiv Moscow,CSKA Moscow,2011,Russian
5,5,Viktor Vasin,RUS,D,1.92,80,06-10-88,St. Petersburg,Spartak Nalchik,CSKA Moscow,2011,Russian
6,6,Aleksey Berezutskiy,RUS,D,1.90,82,20-06-82,Moscow,Chernomorets,CSKA Moscow,2011,Russian
7,7,Keisuke Honda,JPN,M,1.82,75,13-06-86,Osaka,VVV Venlo,CSKA Moscow,2011,Russian
8,8,Seydou Doumbia,CIV,F,1.78,70,31-12-87,Yamoussoukro,Young Boys,CSKA Moscow,2011,Russian
10,10,Alan Dzagoev,RUS,M,1.79,70,17-06-90,Beslan,CSKA-2,CSKA Moscow,2011,Russian
11,11,Mark González,CHI,M,1.75,70,10-07-84,Durban,Betis,CSKA Moscow,2011,Russian
14,14,Kirill Nababkin,RUS,D,1.76,71,08-09-86,Moscow,FC Moscow,CSKA Moscow,2011,Russian
17,17,Pavel Mamaev,RUS,M,1.78,70,17-09-88,Moscow,Torpedo Moscow,CSKA Moscow,2011,Russian
18,18,Ahmed Musa,NGA,F,1.70,62,14-10-92,Bukuru,VVV Venlo,CSKA Moscow,2011,Russian
19,19,Aleksandrs Cauņa,LVA,M,1.74,66,19-01-88,Daugavpils,Skonto,CSKA Moscow,2011,Russian
21,21,Zoran Toić,SRB,M,1.71,69,28-04-87,Zrenjanin,Manchester U,CSKA Moscow,2011,Russian
22,22,Evgeniy Aldonin,RUS,M,1.79,72,22-01-80,Alupka,Rotor Volgograd,CSKA Moscow,2011,Russian
24,24,Vasiliy Berezutskiy,RUS,D,1.89,83,20-06-82,Moscow,Torpedo-ZIL,CSKA Moscow,2011,Russian
25,25,Elvir Rahimić,BIH,M,1.91,80,04-04-76,ivinice,Anzhi Makhachkala,CSKA Moscow,2011,Russian
26,26,Sekou Oliseh,LBR,M,1.87,70,05-06-90,Monrovia,FC Midtjylland,CSKA Moscow,2011,Russian
29,29,Kim In-Sung,KOR,M,1.80,75,09-09-89,,Gangneung C,CSKA Moscow,2011,Russian
35,35,Igor Akinfeev,RUS,G,1.85,81,08-04-86,Vidnoye,CSKA-2,CSKA Moscow,2011,Russian
36,36,Egor Ivanov,RUS,M,1.83,84,19-06-92,,CSKA-2,CSKA Moscow,2011,Russian
38,38,Vyacheslav Isupov,RUS,G,1.90,80,16-01-93,,CSKA-2,CSKA Moscow,2011,Russian
41,42,Georgi Schennikov,RUS,D,1.78,69,27-04-91,Moscow,CSKA-2,CSKA Moscow,2011,Russian
42,45,Ilya Pomazun,RUS,G,1.89,84,16-08-96,Kaliningrad,CSKA-2,CSKA Moscow,2011,Russian
43,48,Artem Popov,RUS,M,1.76,66,30-08-92,Lipetsk,CSKA-2,CSKA Moscow,2011,Russian
44,49,Aleksandr Vasilyev,RUS,M,1.82,74,23-01-92,Nizhegorodka,CSKA-2,CSKA Moscow,2011,Russian
45,59,Semen Fedotov,RUS,D,1.78,71,02-03-92,,CSKA-2,CSKA Moscow,2011,Russian
46,61,Serder Serderov,RUS,F,1.76,69,10-03-94,Makhachkala,CSKA-2,CSKA Moscow,2011,Russian
47,89,Tomá Necid,CZE,F,1.90,81,13-08-89,Prague,Slavia Prague,CSKA Moscow,2011,Russian
48,92,Petr Ten,RUS,D,1.75,67,12-07-92,Moscow,CSKA-2,CSKA Moscow,2011,Russian
49,95,Sergey Revyakin,RUS,G,1.89,82,02-04-95,Kronstadt,CSKA-2,CSKA Moscow,2011,Russian
50,99,Yevgeniy Kobzar,RUS,M,1.70,65,09-08-92,,CSKA-2,CSKA Moscow,2011,Russian
1,1,Anton Shunin,RUS,G,1.91,81,27-01-87,Moscow,Dynamo Moscow-2,Dynamo Moscow,2011,Russian
4,4,Igor Shitov,BLR,D,1.85,80,24-10-86,Polotsk,BATE,Dynamo Moscow,2011,Russian
5,5,Alexandru Epureanu,MDA,D,1.86,80,27-09-86,Chişinău,FC Moscow,Dynamo Moscow,2011,Russian
