,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,James Langfield,G,"6'04""",13 00,22-12-79,Paisley,Dunfermline Ath,Aberdeen,2007,Scottish
3,3,Richie Byrne,D,"6'01""",12  05,24-09-81,Dublin,Dunfermline Ath,Aberdeen,2007,Scottish
5,5,Zander Diamond,D,6'01'',11  00,03-12-85,Alexandria,None,Aberdeen,2007,Scottish
6,6,Scott Severin,M,"5'11""",12 07,15-02-79,Stirling,Hearts,Aberdeen,2007,Scottish
7,7,Jamie Smith,F,"5'06""",10  12,20-11-80,Alexandria,ADO Den Haag,Aberdeen,2007,Scottish
8,8,Barry Nicholson,M,"5'08""",11 03,24-08-78,Dumfries,Dunfermline  Ath,Aberdeen,2007,Scottish
9,9,Steve Lovell,F,"5'11""",11 08,06-12-80,Amersham,Dundee,Aberdeen,2007,Scottish
10,10,Darren Mackie,F,"5'09""",10 00,05-01-82,Inverurie,Colony Boys Club,Aberdeen,2007,Scottish
11,11,Stuart Duff,M,"5'11""",10  03,23-01-82,Aberdeen,Dundee U,Aberdeen,2007,Scottish
14,14,Richard  Foster,M,"5'09""",10  08,31-07-85,Aberdeen,Elgin BC,Aberdeen,2007,Scottish
15,15,Karim Touzani,D,"6'00""",11 11,11-09-80,Amsterdam,FC Twente,Aberdeen,2007,Scottish
16,16,Lee Miller,F,"6'02""",11  07,18-05-83,Lanark,Dundee U,Aberdeen,2007,Scottish
17,17,Dan Smith,D,"5'10""",10  08,05-10-86,Sunderland,Sunderland,Aberdeen,2007,Scottish
18,18,Lee Mair,D,"6'00""",11  03,09-12-80,Aberdeen,Dundee U,Aberdeen,2007,Scottish
19,19,Derek  Young,F,"5'09""",09  12,27-05-80,Glasgow,Partick Thistle,Aberdeen,2007,Scottish
20,20,Derek Soutar,G,"6'01""",12  00,04-06-81,Dundee,Dundee,Aberdeen,2007,Scottish
21,21,Andrew Considine,D,"6'05""",11  02,01-04-87,Aberdeen,None,Aberdeen,2007,Scottish
22,22,Chris Maguire,F,"5'07""",10 06,16-01-89,Bellshill,None,Aberdeen,2007,Scottish
23,23,Dave Bus,D,"6'00""",11 11,19-05-78,Lichtenvoorde,De Graafschap,Aberdeen,2007,Scottish
24,24,Jeffrey de Visscher,F,"5'09""",11 09,05-05-81,Almelo,De Graafschap,Aberdeen,2007,Scottish
25,25,Jonathan  Smith,F,,,31-10-88,Wigan,Southport,Aberdeen,2007,Scottish
26,26,Sone Aluko,F,"5'08""",09  11,19-02-89,Birmingham,Birmingham C,Aberdeen,2007,Scottish
27,27,Josh  Walker,M,"5'11""",12  00,21-02-89,Newcastle upon Tyne,Middlesbrough,Aberdeen,2007,Scottish
28,28,Alan Maybury,D,"5'09""",10 04,08-08-78,Dublin,Leicester C,Aberdeen,2007,Scottish
30,30,Greg Kelly,G,,,28-04-87,,None,Aberdeen,2007,Scottish
34,34,Greig Lamberty,M,,,09-08-90,,None,Aberdeen,2007,Scottish
35,35,Ryan Strachan,D,,,01-08-90,,None,Aberdeen,2007,Scottish
36,36,Jonathan Crawford,D,,,12-03-90,,None,Aberdeen,2007,Scottish
38,38,Gary Carroll,F,,,,,None,Aberdeen,2007,Scottish
39,39,Peter Pawlett,M,,,,,None,Aberdeen,2007,Scottish
40,40,John Bateman,G,,,,,WBA,Aberdeen,2007,Scottish
41,42,Scott Ross,D,,,05-08-91,,None,Aberdeen,2007,Scottish
42,44,Ryan Jack,M,,,,,None,Aberdeen,2007,Scottish
1,1,Artur Boruc,G,"6'04""",13  12,20-02-80,Siedlce,Legia  Warszawa,Celtic,2007,Scottish
2,2,Andreas Hinkel,D,6'00'',11 09,26-03-82,Backnang,Sevilla,Celtic,2007,Scottish
3,3,Lee Naylor,D,"5'08""",11 08,19-03-80,Bloxwich,Wolverhampton  W,Celtic,2007,Scottish
