,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
5,5,Gary Caldwell,D,"5'11""",11 10,12-04-82,Stirling,Hibernian,Celtic,2007,Scottish
6,6,Bobo Balde,D,"6'03""",13 06,13-10-75,Marseille,Toulouse,Celtic,2007,Scottish
8,8,Scott  Brown,M,"5'09""",11  04,26-06-85,Dunfermline,Hibernian,Celtic,2007,Scottish
9,9,Georgios Samaras,F,"6'04""",12 13,21-02-85,Heraklion,Manchester C,Celtic,2007,Scottish
10,10,Jan Vennegoor of Hesselink,F,"6'02""",13 05,07-11-78,Oldenzaal,PSV Eindhoven,Celtic,2007,Scottish
11,11,Paul Hartley,M,"5'08""",10  00,19-10-76,Glasgow,Hearts,Celtic,2007,Scottish
12,12,Mark  Wilson,D,"5'11""",11  13,05-06-84,Glasgow,Dundee U,Celtic,2007,Scottish
14,14,Derek Riordan,F,5'11'',10 04,16-01-83,Edinburgh,Hibernian,Celtic,2007,Scottish
15,15,Evander  Sno,D,"6'02""",12 08,09-04-87,Dordrecht,Feyenoord,Celtic,2007,Scottish
17,17,Steven Pressley,D,"6'00""",12 06,11-10-73,Elgin,Hearts,Celtic,2007,Scottish
18,18,Massimo Donati,M,"6'01""",11 11,26-03-81,Sedegliano,Milan,Celtic,2007,Scottish
19,19,Barry Robson,M,"6'00""",12 00,07-11-78,Aberdeen,Dundee U,Celtic,2007,Scottish
21,21,Mark Brown,G,"6'01""",13 02,28-02-81,Motherwell,Inverness CT,Celtic,2007,Scottish
23,23,Ben Hutchinson,F,"5'11""",12 07,27-11-87,Nottingham,Middlesbrough,Celtic,2007,Scottish
24,24,Jean-Joël  Perrier Doumbe,D,"5'10""",11  09,27-09-78,Paris,Rennes,Celtic,2007,Scottish
25,25,Shunsuke Nakamura,M,"5'10""",10  12,24-06-78,Kanagawa,Reggina,Celtic,2007,Scottish
26,26,Cillian Sheridan,F,,,23-02-89,Bailieborough,None,Celtic,2007,Scottish
27,27,Scott McDonald,F,"5'08""",12 04,21-08-83,Melbourne,Motherwell,Celtic,2007,Scottish
29,29,Koki Mizuno,M,"5'08""",09 02,06-09-85,Shizuoka,JEF United,Celtic,2007,Scottish
33,33,Chris Killen,F,"5'11""",11 03,08-10-81,Wellington,Hibernian,Celtic,2007,Scottish
38,38,Rocco  Quinn,D,"5'11""",12  00,07-09-86,Glasgow,None,Celtic,2007,Scottish
41,41,John Kennedy,D,"6'01""",12 06,18-08-83,Bellshill,Celtic BC,Celtic,2007,Scottish
42,42,Michael  McGlinchey,F,"5'08""",09  06,07-01-86,Glasgow,None,Celtic,2007,Scottish
43,43,Diarmuid  O'Carroll,F,"5'11""",11  11,16-03-87,Killarney,None,Celtic,2007,Scottish
44,44,Stephen  McManus,D,"6'02""",13  00,10-09-82,Lanark,None,Celtic,2007,Scottish
45,46,Aidan  McGeady,M,"5'10""",11  04,04-04-86,Glasgow,None,Celtic,2007,Scottish
46,47,Michael  McGovern,G,"6'02""",14  00,12-07-84,Enniskillen,Celtic  BC,Celtic,2007,Scottish
47,48,Darren  O'Dea,D,"6'01""",13  00,04-02-87,Dublin,Home  Farm,Celtic,2007,Scottish
48,49,Scott  Cuthbert,D,"6'02""",14  00,15-06-87,Alexandria,None,Celtic,2007,Scottish
49,50,Luca Santonocito,D,,,11-02-91,Mariano Comense,Internazionale,Celtic,2007,Scottish
50,51,Nicholas  Riley,F,"5'10""",09  11,10-05-86,Edinburgh,None,Celtic,2007,Scottish
51,52,Paul Caddis,D,,,19-04-88,Irvine,None,Celtic,2007,Scottish
52,53,Simon  Ferry,M,"5'08""",11  00,11-01-88,Dundee,None,Celtic,2007,Scottish
53,54,Ryan  Conroy,M,"5'10""",10  09,28-04-87,Vale of  Leven,None,Celtic,2007,Scottish
54,55,Paul McGowan,F,"5'07""",10 02,07-10-87,Bellshill,None,Celtic,2007,Scottish
1,1,Łukasz Załuska,G,"6'03""",13 12,16-06-82,Wysokie Mazowieckie,Korona Kielce,Dundee United,2007,Scottish
2,2,Sean Dillon,D,"6'00""",12 06,30-07-83,Dublin,Shelbourne,Dundee United,2007,Scottish
3,3,Christian Kalvenes,D,"5'11""",11  11,08-03-77,Bergen,Brann,Dundee United,2007,Scottish
4,4,Lee Wilkie,D,"6'04""",13 00,02-04-80,Dundee,Dundee,Dundee United,2007,Scottish
5,5,Darren Dods,D,"6'01""",13 02,07-06-75,Edinburgh,Inverness CT,Dundee United,2007,Scottish
6,6,Willo  Flood,M,"5'06""",09  11,10-04-85,Dublin,Cardiff C,Dundee United,2007,Scottish
7,7,Mark Kerr,M,"6'00""",10  03,02-03-82,Bellshill,Falkirk,Dundee United,2007,Scottish
8,8,Danny Grainger,D,"6'00""",12 00,28-07-86,Carlisle,Gretna,Dundee United,2007,Scottish
9,9,Jonathan Daly,F,"6'03""",12 00,08-01-83,Dublin,Hartlepool U,Dundee United,2007,Scottish
10,10,Noel  Hunt,F,"5'08""",11  05,26-12-82,Waterford,Dunfermline  Ath,Dundee United,2007,Scottish
11,11,James  O'Brien,F,"6'00""",11  11,28-09-87,Glasgow,Celtic,Dundee United,2007,Scottish
12,12,David Robertson,M,"5'10""",10  00,23-09-86,Bangour,None,Dundee United,2007,Scottish
13,13,Euan McLean,G,"6'03""",13  07,09-01-86,Kilmarnock,Sunderland,Dundee United,2007,Scottish
14,14,Steven Robb,M,"5'06""",09 04,08-03-82,Perth,Dundee,Dundee United,2007,Scottish
15,15,Craig Conway,M,"5'09""",12 00,02-05-85,Irvine,Ayr U,Dundee United,2007,Scottish
16,16,Morgaro Gomis,M,"5'07""",,14-07-85,Paris,Cowdenbeath,Dundee United,2007,Scottish
18,18,Garry Kenneth,D,"6'04""",13  02,21-06-87,Dundee,None,Dundee United,2007,Scottish
20,20,Prince Bauben,M,"6'00""",,23-04-88,Akosombo,Ajax,Dundee United,2007,Scottish
21,21,Kémoko Camara,G,"6'01""",12 01,05-04-75,,AmaZulu,Dundee United,2007,Scottish
22,22,Mark de Vries,F,6'03'',12  01,24-08-75,Paramaribo,Leicester C,Dundee United,2007,Scottish
23,23,Danny Swanson,M,"5'06""",,28-12-86,Edinburgh,Berwick Rangers,Dundee United,2007,Scottish
24,24,Mihael Kovačevič,D,"6'04""",,03-03-88,,Koper,Dundee United,2007,Scottish
25,25,Eric Odhiambo-Anaclet,F,"5'09""",11 03,12-05-89,Oxford,Leicester C,Dundee United,2007,Scottish
26,26,David Goodwillie,F,"5'09""",11  03,28-03-89,Stirling,Carse Thistle,Dundee United,2007,Scottish
27,27,Keith Watson,D,"6'00""",,14-11-89,Livingston,Livingston Star BC,Dundee United,2007,Scottish
28,28,Marco Andreoni,M,"5'10""",09  08,12-08-88,Bellshill,None,Dundee United,2007,Scottish
29,29,Ryan McCord,M,"5'08""",,21-03-89,Dundee,Fairmuir BC,Dundee United,2007,Scottish
30,30,Johnny Russell,F,,,08-04-90,Glasgow,None,Dundee United,2007,Scottish
31,31,John Gibson,G,"6'03""",,29-05-89,Glasgow,None,Dundee United,2007,Scottish
32,32,Fraser Milligan,D,"5'09""",,19-04-89,Dundee,None,Dundee United,2007,Scottish
33,33,Phil McGrath,D,"6'01""",,10-04-89,Edinburgh,Livingston Star BC,Dundee United,2007,Scottish
34,34,Gordon Pope,D,"6'01""",,02-04-89,Irvine,Shankley BC,Dundee United,2007,Scottish
35,35,Billy Russell,M,"5'11""",,28-02-89,Bellsfield,None,Dundee United,2007,Scottish
36,36,Scott Mathieson,M,"5'11""",,05-01-89,Lanark,Mill U,Dundee United,2007,Scottish
37,37,Sean Fleming,M,"5'09""",,29-05-89,Perth,Fairmuir BC,Dundee United,2007,Scottish
38,38,Scott Paterson,M,"5'08""",,16-04-89,Bangour,Livingston Star BC,Dundee United,2007,Scottish
40,40,John Travers,D,"5'11""",,03-04-90,Bellshill,Hamilton Academical,Dundee United,2007,Scottish
41,42,Ross McCord,M,"5'08""",,18-02-90,Dundee,Celtic BC,Dundee United,2007,Scottish
42,43,Kieron Colgan,M,"5'07""",,05-02-91,Bellshill,None,Dundee United,2007,Scottish
43,45,Ryan Dow,F,"5'09""",,07-06-91,Dundee,Dundee,Dundee United,2007,Scottish
44,46,David Brophy,M,"5'11""",,09-06-90,Bellshill,Airdrie BC,Dundee United,2007,Scottish
45,50,Kevin Smith,F,"5'11""",11 02,20-03-87,Edinburgh,Arthurlie,Dundee United,2007,Scottish
46,94,Jordon Love,F,"5'11""",,07-05-90,Bellshill,None,Dundee United,2007,Scottish
1,1,Tim  Krul,G,"6'02""",11  08,03-04-88,Den  Haag,Newcastle U,Falkirk,2007,Scottish
3,3,Dean Holden,D,"6'00""",11 00,15-09-79,Salford,Peterborough U,Falkirk,2007,Scottish
4,4,Patrick  Cregg,M,"5'09""",10  04,21-02-86,Dublin,Arsenal,Falkirk,2007,Scottish
5,5,Jack Ross,M,"6'01""",11  05,05-06-76,Falkirk,Hartlepool U,Falkirk,2007,Scottish
6,6,Kevin  McBride,M,"5'10""",10  05,14-06-81,Bellshill,Darlington,Falkirk,2007,Scottish
7,7,Pedro Moutinho,F,"5'11""",12 08,09-09-79,Oporto,Penafiel,Falkirk,2007,Scottish
8,8,Billy Clarke,F,"5'07""",10  01,13-12-87,Cork,Ipswich T,Falkirk,2007,Scottish
9,9,Graham Barrett,F,5'10'',11 07,06-10-81,Dublin,Coventry  C,Falkirk,2007,Scottish
10,10,Russell Latapy,M,"5'07""",11 04,02-08-68,Laventille,Dundee United,Falkirk,2007,Scottish
11,11,Michael  Higdon,M,6'01'',12  08,02-09-83,Liverpool,Crewe Alex,Falkirk,2007,Scottish
12,12,Stephen Bradley,M,"5'07""",09 09,19-11-84,Dublin,Drogheda U,Falkirk,2007,Scottish
14,14,Gerard Aafjes,M,,,27-01-85,Mijdrecht,FC Volendam,Falkirk,2007,Scottish
15,15,Kenny Milne,M,"6'02""",12 08,26-08-79,Stirling,Partick  Thistle,Falkirk,2007,Scottish
16,16,Scott  Arfield,M,"5'10""",10  00,01-11-88,Dechmont,None,Falkirk,2007,Scottish
17,17,Robert  Olejnik,G,"6'00""",15  06,26-11-86,Vienna,Aston Villa,Falkirk,2007,Scottish
18,18,Brian  Allison,D,"5'10""",11  07,23-06-88,Edinburgh,None,Falkirk,2007,Scottish
19,19,Arnau,M,"5'09""",11  07,01-10-81,Manacor,Sunderland,Falkirk,2007,Scottish
20,20,Darren Barr,M,"5'10""",10 04,17-03-85,Glasgow,Falkirk Youth,Falkirk,2007,Scottish
21,21,Carl Finnigan,F,,,01-10-86,Jarrow,Newcastle U,Falkirk,2007,Scottish
22,22,Chris Mitchell,D,"5'09""",10 10,21-07-88,Stirling,Livingston,Falkirk,2007,Scottish
23,23,Kevin Moffat,F,"5'05""",09 07,06-08-88,Edinburgh,None,Falkirk,2007,Scottish
24,24,Mark  Stewart,F,"5'07""",10  06,22-06-88,Glasgow,None,Falkirk,2007,Scottish
27,27,Dayne  Robertson,F,"5'08""",10  10,21-06-88,Edinburgh,None,Falkirk,2007,Scottish
30,30,Jamie Barclay,G,"5'10""",11 11,29-09-89,,None,Falkirk,2007,Scottish
31,31,Scott Gibb,D,,,16-09-88,Craigavon,Glenavon,Falkirk,2007,Scottish
33,33,Thomas  Scobbie,D,"6'00""",11  00,31-03-88,Falkirk,None,Falkirk,2007,Scottish
34,34,Mark Staunton,D,"5'10""",11 08,30-01-89,Alexandria,None,Falkirk,2007,Scottish
35,35,Stewart Murdoch,M,,,,,None,Falkirk,2007,Scottish
40,40,Shane Supple,G,"6'00""",11  05,04-05-87,Dublin,Ipswich T,Falkirk,2007,Scottish
41,41,Michael Andrews,G,,,,,None,Falkirk,2007,Scottish
42,42,Allan Galbraith,D,,,,,None,Falkirk,2007,Scottish
43,43,Peter McMahon,D,,,,,None,Falkirk,2007,Scottish
44,44,Kieran Stallard,D,,,,,None,Falkirk,2007,Scottish
45,45,Calum McLean,D,,,09-09-91,,None,Falkirk,2007,Scottish
46,47,Lee Nichol,M,,,,,None,Falkirk,2007,Scottish
47,48,Craig McLeish,M,,,,,None,Falkirk,2007,Scottish
48,49,Paul Sludden,M,,,,,None,Falkirk,2007,Scottish
2,2,Craig Barr,D,,,29-03-87,Edinburgh,Blackburn  R,Gretna,2007,Scottish
11,11,Gavin Skelton,M,"5'09""",11  00,27-03-81,Carlisle,Workington,Gretna,2007,Scottish
12,12,Brendan McGill,M,"5'08""",09 02,22-03-81,Dublin,Carlisle U,Gretna,2007,Scottish
17,17,Steven Hogg,M,"6'04""",11  11,01-10-85,Bury,Shrewsbury T,Gretna,2007,Scottish
20,20,Nicky Deverdics,M,"5'11""",,24-11-87,Gateshead,Bedlington Terriers,Gretna,2007,Scottish
24,24,Greg  Fleming,G,"6'02""",10  07,27-09-86,Dunfermline,Livingston,Gretna,2007,Scottish
26,26,Paul Murray,M,"5'08""",10  05,31-08-76,Carlisle,Carlisle U,Gretna,2007,Scottish
27,27,Abdul Osman,M,"6'00""",11 00,27-02-87,Accra,Maidenhead U,Gretna,2007,Scottish
34,34,Dan Robinson,M,"5'10""",10 10,21-05-89,Penrith,None,Gretna,2007,Scottish
36,36,Danny Hall,D,"6'02""",12 01,14-11-83,Ashton-u-Lyne,Shrewsbury T,Gretna,2007,Scottish
37,37,Kyle Naughton,D,,,11-11-88,Sheffield,Sheffield U,Gretna,2007,Scottish
38,38,John Paul Kissock,M,,,02-12-89,Liverpool,Everton,Gretna,2007,Scottish
39,39,Ben  Wilkinson,M,"5'09""",10 06,25-04-87,Sheffield,Hull C,Gretna,2007,Scottish
40,40,Artur Krysiak,G,"6'04""",13 01,11-08-89,Łódź,Birmingham C,Gretna,2007,Scottish
41,41,Rhys Meynell,D,"5'11""",12 03,17-08-88,Barnsley,Barnsley,Gretna,2007,Scottish
42,42,Rostyn Griffiths,M,"6'01""",13 05,10-03-88,Perth [AUS],Blackburn R,Gretna,2007,Scottish
43,43,Eric Shultz-Eklund,D,,,14-08-90,Avesta,None,Gretna,2007,Scottish
44,45,Nathan Fisher,M,,,,,None,Gretna,2007,Scottish
45,46,Nathan Taylor,F,"6'00""",10 03,02-04-90,,None,Gretna,2007,Scottish
46,47,Jack Sharples,D,,,,,None,Gretna,2007,Scottish
2,2,Robbie Neilson,D,"5'08""",11 00,19-06-80,Paisley,Rangers BC,Heart of Midlothian,2007,Scottish
3,3,Lee Wallace,M,"5'11""",11  12,01-08-87,Edinburgh,None,Heart of Midlothian,2007,Scottish
4,4,Christophe Berra,D,"6'01""",12  10,31-01-85,Edinburgh,None,Heart of Midlothian,2007,Scottish
5,5,Ibrahim Tall,D,"6'00""",11 09,23-06-81,Aubervilliers,Sochaux,Heart of Midlothian,2007,Scottish
6,6,José  Gonçalves,D,"6'03""",12  10,17-09-85,Lisbon,FBK  Kaunas,Heart of Midlothian,2007,Scottish
7,7,Neil  McCann,M,"5'11""",10  04,11-08-74,Greenock,Southampton,Heart of Midlothian,2007,Scottish
8,8,Bruno Aguiar,M,"5'10""",11 11,24-02-81,Lisbon,FBK  Kaunas,Heart of Midlothian,2007,Scottish
10,10,Laryea Kingston,M,"5'10""",11 05,07-11-80,Accra,Terek Grozny,Heart of Midlothian,2007,Scottish
11,11,Andrew Driver,M,"5'09""",10  10,12-11-87,Oldham,None,Heart of Midlothian,2007,Scottish
13,13,Steve Banks,G,6'00'',13 02,09-02-72,Hillingdon,Gillingham,Heart of Midlothian,2007,Scottish
14,14,Christian  Nadé,F,6'00'',12 08,18-09-84,Montmorency,Sheffield U,Heart of Midlothian,2007,Scottish
16,16,Saulius Mikoliūnas,F,"5'10""",12  00,02-05-84,viesa,FBK Kaunas,Heart of Midlothian,2007,Scottish
18,18,Deividas Česnauskis,M,"5'11""",12  02,30-06-81,Kurėnai,FBK Kaunas,Heart of Midlothian,2007,Scottish
20,20,Jason Thomson,D,"5'11""",11  07,26-08-87,Edinburgh,None,Heart of Midlothian,2007,Scottish
21,21,Eggert Jónsson,M,,,18-08-88,Rekyjavik,Þór Akureyri,Heart of Midlothian,2007,Scottish
22,22,Calum Elliot,F,"6'00""",12  06,30-03-87,Edinburgh,None,Heart of Midlothian,2007,Scottish
23,23,Michael Stewart,M,"5'11""",11 11,26-02-81,Edinburgh,Hibernian,Heart of Midlothian,2007,Scottish
25,25,Christos Karipidis,D,"6'01""",12  08,02-12-82,Thessaloniki,PAOK,Heart of Midlothian,2007,Scottish
26,26,Marius aliūkas,M,"6'02""",12 04,10-11-83,Kurėnai,FBK Kaunas,Heart of Midlothian,2007,Scottish
27,27,Mauricio Pinilla,F,"6'02""",12 04,04-02-84,Santiago,Sporting  CP,Heart of Midlothian,2007,Scottish
28,28,Kęstutis Ivakevičius,M,"6'00""",11 11,17-04-85,Klaipėdoje,FBK  Kaunas,Heart of Midlothian,2007,Scottish
29,29,Audrius Ksanavičius,M,,,28-01-77,,FBK  Kaunas,Heart of Midlothian,2007,Scottish
31,31,Anthony Basso,G,"6'03""",13 01,04-07-79,Besançon,Auxerre,Heart of Midlothian,2007,Scottish
36,36,Alan Lithgow,D,,,12-03-88,Bellshill,East Kilbride Burgh,Heart of Midlothian,2007,Scottish
38,38,Sean Mackle,M,"5'09""",10  07,10-04-88,Belfast,None,Heart of Midlothian,2007,Scottish
39,39,Fernando Screpis,M,"6'01""",12 04,10-04-79,Capital Federal,FBK Kaunas,Heart of Midlothian,2007,Scottish
40,40,Alistair Devine,M,,,11-04-88,,None,Heart of Midlothian,2007,Scottish
41,41,Matthew Park,M,,,22-04-88,Melbourne,Frankston Pines,Heart of Midlothian,2007,Scottish
42,42,Scott Robinson,F,,,11-03-92,Edinburgh,None,Heart of Midlothian,2007,Scottish
43,43,Jamie Mole,F,"5'10""",11  13,01-06-88,Newcastle upon Tyne,None,Heart of Midlothian,2007,Scottish
44,44,Rubén Palazuelos,D,"6'01""",11 11,11-04-83,Santander,Nàstic,Heart of Midlothian,2007,Scottish
45,45,David Templeton,F,,,07-01-89,Glasgow,Stenhousemuir,Heart of Midlothian,2007,Scottish
46,46,Ross Hamilton,M,,,10-01-89,,None,Heart of Midlothian,2007,Scottish
47,47,Haraldur Bjornsson,G,,,16-12-87,,Valur,Heart of Midlothian,2007,Scottish
48,48,Branimir Kostadinov,F,"5'11""",10 12,04-03-89,Veliko Tarnovo,LASK Linz,Heart of Midlothian,2007,Scottish
49,49,Shaun Kelly,D,,,09-03-89,,None,Heart of Midlothian,2007,Scottish
50,50,Eddie Mearns,M,,,29-03-89,,Livingston,Heart of Midlothian,2007,Scottish
51,51,Marc McCukser,F,,,29-07-89,Rutherglen,None,Heart of Midlothian,2007,Scottish
52,52,Ryan McGowan,D,,,15-08-89,,Para Hills,Heart of Midlothian,2007,Scottish
53,53,Matej Rapnik,D,,,24-02-90,,Dravograd,Heart of Midlothian,2007,Scottish
54,54,Mark Ridgers,G,"6'01""",,09-08-90,Inverness,Ross Co,Heart of Midlothian,2007,Scottish
55,55,Steven Husband,M,,,29-10-90,,Cowdenbeath,Heart of Midlothian,2007,Scottish
56,56,Paul Mulrooney,M,,,27-01-90,,None,Heart of Midlothian,2007,Scottish
57,57,Mark Cowan,F,,,30-01-90,,None,Heart of Midlothian,2007,Scottish
58,58,Jonathan Brown,D,,,24-04-90,,None,Heart of Midlothian,2007,Scottish
59,59,Rocky Visconte,M,,,22-04-90,,Para Hills,Heart of Midlothian,2007,Scottish
60,60,Gary Glen,F,,,22-03-90,Livingston,None,Heart of Midlothian,2007,Scottish
61,61,Ross McKenzie,F,,,20-03-90,,None,Heart of Midlothian,2007,Scottish
62,62,Dumitru Copil,M,,,04-03-90,,Atletico Arad,Heart of Midlothian,2007,Scottish
63,63,Jonathan Stewart,D,,,12-02-90,,None,Heart of Midlothian,2007,Scottish
64,64,Ryan Wallace,F,,,30-07-90,,None,Heart of Midlothian,2007,Scottish
65,65,Shaun McCallion,M,,,01-01-91,,None,Heart of Midlothian,2007,Scottish
66,66,Conrad Balatoni,D,,,27-01-91,,None,Heart of Midlothian,2007,Scottish
67,67,Danny Thomson,M,,,24-02-91,,None,Heart of Midlothian,2007,Scottish
68,68,Craig Thomson,D,,,17-04-91,,None,Heart of Midlothian,2007,Scottish
69,69,David Love,F,,,11-05-91,,None,Heart of Midlothian,2007,Scottish
70,70,Jonathan Wood,M,,,25-09-91,,None,Heart of Midlothian,2007,Scottish
71,71,Elias Wagner,M,,,27-11-90,,Hibernian,Heart of Midlothian,2007,Scottish
2,2,Kevin McCann,D,"5'10""",11 02,11-09-87,Glasgow,None,Hibernian,2007,Scottish
3,3,Abderraouf Zarabi,D,"5'11""",11 13,26-03-79,Alger,Gueugnon,Hibernian,2007,Scottish
4,4,Chris Hogg,D,"6'00""",12 07,21-03-85,Middlesbrough,Ipswich T,Hibernian,2007,Scottish
5,5,Rob Jones,D,"6'07""",12  02,03-11-79,Stockton-on-Tees,Grimsby T,Hibernian,2007,Scottish
6,6,Brian Kerr,M,"5'08""",11 00,12-10-81,Motherwell,Motherwell,Hibernian,2007,Scottish
7,7,Merouane Zemmama,M,"5'08""",10 06,07-10-83,Rabat,Raja Casablanca,Hibernian,2007,Scottish
8,8,Clayton  Donaldson,F,6'01'',11  07,07-02-84,Bradford,York C,Hibernian,2007,Scottish
9,9,Steven Fletcher,M,"6'01""",12  00,26-03-87,Shrewsbury,None,Hibernian,2007,Scottish
10,10,Abdessalam  Benjelloun,F,"6'02""",12  10,28-01-85,Fès,MAS Fès,Hibernian,2007,Scottish
11,11,Alan  O'Brien,M,"5'10""",11  03,20-02-85,Dublin,Newcastle U,Hibernian,2007,Scottish
12,12,Filipe Morais,M,"5'09""",11 07,21-11-85,Lisbon,Millwall,Hibernian,2007,Scottish
14,14,Guillaume Beuzelin,M,"6'00""",11 13,14-04-79,Le  Havre,Le  Havre,Hibernian,2007,Scottish
15,15,Patrick Noubissie,D,"5'11""",11 05,25-06-83,Bois-Colombes,Swindon T,Hibernian,2007,Scottish
16,16,Lewis Stevenson,D,"5'07""",10  08,05-01-88,Kirkcaldy,None,Hibernian,2007,Scottish
17,17,Sean  Lynch,M,"5'10""",10  10,31-01-87,Dechmont,None,Hibernian,2007,Scottish
19,19,Thierry Gathuessi,D,"5'10""",11 11,17-04-82,Bafoussam,Sète,Hibernian,2007,Scottish
20,20,John Rankin,M,"5'08""",12 08,27-06-83,Bellshill,Inverness CT,Hibernian,2007,Scottish
21,21,Andrew  McNeil,G,"5'11""",13  03,19-01-87,Edinburgh,Southampton,Hibernian,2007,Scottish
22,22,Dean Shiels,F,"5'11""",09  10,01-02-85,Maghaerafelt,Arsenal,Hibernian,2007,Scottish
23,23,Ross Chisholm,M,"5'09""",10 04,14-01-88,Irvine,None,Hibernian,2007,Scottish
24,24,Colin Nish,F,"6'03""",11  08,07-03-81,Edinburgh,Kilmarnock,Hibernian,2007,Scottish
25,25,Darren McCormack,D,"6'00""",11 08,29-09-88,Edinburgh,None,Hibernian,2007,Scottish
26,26,Ian Murray,M,"5'10""",11 05,20-03-81,Edinburgh,Norwich C,Hibernian,2007,Scottish
28,28,Ross Campbell,F,"5'10""",09  03,03-07-87,Galashiels,None,Hibernian,2007,Scottish
29,29,Damon Gray,F,"5'09""",11 09,11-07-88,South Shields,Newcastle U,Hibernian,2007,Scottish
33,33,Paul Hanlon,D,,,20-01-90,,None,Hibernian,2007,Scottish
34,34,Martin Canning,D,"6'03""",12 07,03-12-81,Stirling,Gretna,Hibernian,2007,Scottish
41,41,Dávid Gróf,G,"6'03""",,17-04-89,,,Hibernian,2007,Scottish
42,50,Yves  Makabu Ma-Kalambay,G,"6'04""",13  00,31-01-86,Brussels,Chelsea,Hibernian,2007,Scottish
1,1,Michael Fraser,G,"6'03""",12  07,08-10-83,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
2,2,Ross Tokely,D,"6'03""",13 06,08-03-79,Aberdeen,Huntly,Inverness Caledonian Thistle,2007,Scottish
