,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Manuel  Almunia,ESP,G,1.91,86,16-05-77,Pamplona,Celta  Vigo,Arsenal,2010,English
2,2,Abou Diaby,FRA,M,1.88,75,11-05-86,Paris,Auxerre,Arsenal,2010,English
3,3,Bacary  Sagna,FRA,D,1.76,72,14-02-83,Sens,Auxerre,Arsenal,2010,English
4,4,Cesc Fàbregas,ESP,M,1.77,69,04-05-87,Arenys  de Mar,Barcelona,Arsenal,2010,English
5,5,Thomas Vermaelen,BEL,D,1.82,75,14-11-85,Kapellen,Ajax,Arsenal,2010,English
6,6,Laurent  Koscielny,FRA,D,1.86,75,10-09-85,Tulle,Lorient,Arsenal,2010,English
7,7,Tomá  Rosický,CZE,M,1.78,67,04-10-80,Prague,Borussia Dortmund,Arsenal,2010,English
8,8,Samir  Nasri,FRA,M,1.77,75,26-06-87,Marseille,Marseille,Arsenal,2010,English
10,10,Robin  van Persie,NED,F,1.83,71,06-08-83,Rotterdam,Feyenoord,Arsenal,2010,English
13,13,Jens  Lehmann,GER,G,1.90,87,10-11-69,Essen,Stuttgart,Arsenal,2010,English
14,14,Theo Walcott,ENG,F,1.75,68,16-03-89,Stanmore,Southampton,Arsenal,2010,English
15,15,Denílson,BRA,M,1.78,68,16-02-88,São Paulo,São Paulo,Arsenal,2010,English
16,16,Aaron Ramsey,WAL,M,1.78,76,26-12-90,Caerphilly,Cardiff C,Arsenal,2010,English
17,17,Alexandre  Song,CMR,M,1.84,76,09-09-87,Douala,Bastia,Arsenal,2010,English
18,18,Sébastien Squillaci,FRA,D,1.84,76,11-08-80,Toulon,Sevilla,Arsenal,2010,English
19,19,Jack Wilshere,ENG,M,1.70,65,01-01-92,Stevenage,None,Arsenal,2010,English
20,20,Johan  Djourou,SUI,D,1.91,83,18-01-87,Abidjan,Etoile-Carouge,Arsenal,2010,English
21,21,Łukasz Fabiański,POL,G,1.90,84,18-04-85,Kostrzyn nad Odrą,Legia Warszawa,Arsenal,2010,English
22,22,Gaël  Clichy,FRA,D,1.81,72,26-07-85,Toulouse,Cannes,Arsenal,2010,English
23,23,Andrey Arshavin,RUS,M,1.72,71,29-05-81,St.  Petersburg,Zenit St. Petersburg,Arsenal,2010,English
27,27,Emmanuel Eboué,CIV,D,1.78,72,04-06-83,Abidjan,Beveren,Arsenal,2010,English
28,28,Kieran Gibbs,ENG,D,1.80,70,26-09-89,Lambeth,None,Arsenal,2010,English
29,29,Marouane Chamakh,MAR,F,1.85,70,10-01-84,Tonnens,Bordeaux,Arsenal,2010,English
34,34,Chuks Aneke,ENG,M,1.91,83,03-07-93,Newham,None,Arsenal,2010,English
35,35,Emmanuel Frimpong,ENG,M,1.83,83,10-01-92,Accra,None,Arsenal,2010,English
37,37,Daniel Boateng,ENG,D,1.83,78,02-09-92,Enfield,None,Arsenal,2010,English
38,38,Thomas Cruise,ENG,D,1.85,80,09-03-91,Islington,None,Arsenal,2010,English
39,39,Roarie Deacon,ENG,F,1.70,67,12-10-91,London,None,Arsenal,2010,English
41,44,Conor Henderson,IRL,M,1.85,76,08-09-91,Sidcup,None,Arsenal,2010,English
42,48,Ignasi Miquel,ESP,D,1.93,85,28-09-92,Barcelona,Cornellà,Arsenal,2010,English
43,49,Rhys Murphy,IRL,F,1.86,76,06-11-90,Shoreham-by-Sea,None,Arsenal,2010,English
44,51,Oğuzhan Özyakup,NED,M,1.78,71,23-09-92,Zaandam,AZ Alkmaar,Arsenal,2010,English
45,52,Nicklas  Bendtner,DEN,F,1.92,83,16-01-88,Copenhagen,FC  København,Arsenal,2010,English
46,53,Wojciech Szczęsny,POL,G,1.95,84,18-04-90,Warsaw,Legia Warszawa,Arsenal,2010,English
47,55,James Shea,ENG,G,1.80,76,16-06-91,Islington,None,Arsenal,2010,English
48,58,Nico Yennaris,ENG,D,1.70,65,23-05-93,Leytonstone,None,Arsenal,2010,English
