,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
25,25,Piscu,ESP,D,1.84,77,25-02-87,As Pontes de García Rodríguez,Montreal Impact,Aarhus,2015,Danish
27,27,Michael Zacho,DEN,M,1.86,74,11-11-96,Aarhus,None,Aarhus,2015,Danish
28,28,Dzhamaldin Khodzhaniyazov,RUS,D,1.80,70,18-07-96,Baýramaly,Zenit St Petersburg,Aarhus,2015,Danish
31,31,Thomas Hagelskjær,DEN,G,1.88,80,04-02-95,,None,Aarhus,2015,Danish
32,32,Emil Christensen,DEN,D,1.90,83,10-07-97,,Vejle,Aarhus,2015,Danish
1,1,Frederik Rønnow,DEN,G,1.88,76,04-08-92,,Horsens,Brøndby,2015,Danish
2,2,Jesper Juelsgaard,DEN,D,1.82,78,26-01-89,Spjald,Évian TG,Brøndby,2015,Danish
5,5,Martin Albrechtsen,DEN,D,1.88,78,31-03-80,Copenhagen,FC Midtjylland,Brøndby,2015,Danish
6,6,Martin Ørnskov Nielsen,DEN,M,1.84,75,10-10-85,Silkeborg,Viking,Brøndby,2015,Danish
7,7,Thomas Kahlenberg,DEN,M,1.83,72,20-03-83,Hvidovre,Wolfsburg,Brøndby,2015,Danish
8,8,Rodolph Austin,JAM,M,1.80,78,01-06-85,Clarendon,Leeds U,Brøndby,2015,Danish
9,9,Teemu Pukki,FIN,F,1.76,66,29-03-90,Kotka,Celtic,Brøndby,2015,Danish
10,10,Magnus Eriksson,SWE,F,1.79,82,08-04-90,Solna,Guizhou Renhe,Brøndby,2015,Danish
11,11,Johan Elmander,SWE,F,1.88,79,27-05-81,Alingsas,Galatasaray,Brøndby,2015,Danish
12,12,Frederik Holst,DEN,D,1.77,70,24-09-94,Copenhagen,BK Union,Brøndby,2015,Danish
13,13,Johan Larsson,SWE,D,1.81,75,05-05-90,Kinna,IF Elfsborg,Brøndby,2015,Danish
15,15,David Boysen,DEN,F,1.77,63,30-04-91,Herlev,Lyngby,Brøndby,2015,Danish
16,16,Mads Toppel,DEN,G,1.92,87,30-01-82,Odense,Odense,Brøndby,2015,Danish
17,17,Riza Durmisi,DEN,D,1.68,67,08-01-94,Copenhagen,None,Brøndby,2015,Danish
18,18,Lebogang Phiri,RSA,M,1.76,72,09-11-94,Johannesburg,Bidvest Wits,Brøndby,2015,Danish
19,19,Christian Nørgaard,DEN,M,1.86,75,10-03-94,Copenhagen,Hamburg,Brøndby,2015,Danish
20,20,Kamil Wilczek,POL,F,1.86,78,14-01-88,Wodzisław Śląski,Carpi,Brøndby,2015,Danish
21,21,Andrew Hjulsager,DEN,M,1.77,71,15-01-95,,None,Brøndby,2015,Danish
22,22,Daniel Agger,DEN,D,1.87,75,12-12-84,Hvidovre,Liverpool,Brøndby,2015,Danish
23,23,Patrick da Silva,DEN,D,1.72,75,23-10-94,Kalundborg,Raklev,Brøndby,2015,Danish
25,25,Christian Jakobsen,DEN,M,1.89,85,27-03-93,,Roskilde,Brøndby,2015,Danish
27,27,Svenn Crone,DEN,D,1.83,75,20-05-95,,None,Brøndby,2015,Danish
28,28,Malthe Johansen,DEN,D,1.88,80,01-02-96,,None,Brøndby,2015,Danish
30,30,Andreas Hansen,DEN,G,1.88,74,03-03-94,,None,Brøndby,2015,Danish
32,32,Rezan Corlu,DEN,M,1.70,70,07-08-97,Glostrup,None,Brøndby,2015,Danish
34,34,Daniel Stückler,DEN,F,1.84,68,13-04-97,,None,Brøndby,2015,Danish
35,35,Nicklas Halse,DEN,M,1.79,74,03-05-97,,Hvidovre,Brøndby,2015,Danish
38,38,Mads Juel Andersen,DEN,D,1.90,82,27-12-97,,None,Brøndby,2015,Danish
3,3,Daniel Stenderup,DEN,D,1.86,71,31-05-89,Copenhagen,Brøndby,Esbjerg,2015,Danish
4,4,Victor Pálsson,ISL,M,1.85,75,30-04-91,Reykjavik,Helsingborgs IF,Esbjerg,2015,Danish
5,5,Bjørn Paulsen,DEN,D,1.90,81,02-07-91,Augustenborg,SønderjyskE,Esbjerg,2015,Danish
6,6,Magnus Lekven,NOR,M,1.77,75,13-01-88,Porsgrunn,Odd,Esbjerg,2015,Danish
7,7,Jesper Jørgensen,DEN,M,1.84,72,09-05-84,Varde,Zulte-Waregem,Esbjerg,2015,Danish
8,8,Jeppe Andersen,DEN,M,1.78,75,06-12-92,,Vejle Kolding,Esbjerg,2015,Danish
9,9,Mick van Buren,NED,F,1.84,73,24-08-92,Ridderkerk,Excelsior,Esbjerg,2015,Danish
10,10,Emil Lyng,DEN,M,1.87,88,03-08-89,Kolding,Lausanne-Soirt,Esbjerg,2015,Danish
11,11,Lasse Rise,DEN,F,1.78,70,09-06-86,,Randers,Esbjerg,2015,Danish
12,12,Søren Andreasen,DEN,F,,,13-03-96,,None,Esbjerg,2015,Danish
14,14,Jesper Lauridsen,DEN,D,1.80,76,27-03-91,,FC Midtjylland,Esbjerg,2015,Danish
15,15,Ryan Johnson Laursen,DEN,D,1.85,76,14-04-92,Los Angeles,Lyngby,Esbjerg,2015,Danish
16,16,Jeppe Højbjerg,DEN,G,1.88,78,30-04-95,,Sønderris,Esbjerg,2015,Danish
17,17,Casper Nielsen,DEN,M,1.82,71,29-04-94,Esbjerg,None,Esbjerg,2015,Danish
18,18,Leon Jessen,DEN,D,1.82,74,11-06-86,Brande,Kaiserslautern,Esbjerg,2015,Danish
19,19,Ronnie Schwartz,DEN,F,1.83,74,29-08-89,Ulsted,Guingamp,Esbjerg,2015,Danish
21,21,Jerry Lucena,DEN,M,1.76,68,11-08-80,Esbjerg,Aarhus,Esbjerg,2015,Danish
22,22,Mohammed Fellah,NOR,M,1.67,70,24-05-89,Oslo,Vålerenga,Esbjerg,2015,Danish
23,23,Andreas Nordvik,NOR,D,1.84,84,18-03-87,Trondheim,Sarpsborg 08,Esbjerg,2015,Danish
24,24,Marco Lund,DEN,D,1.83,84,30-06-96,Ansager,None,Esbjerg,2015,Danish
25,25,Jeppe Brinch,DEN,D,1.82,67,30-04-95,,None,Esbjerg,2015,Danish
26,26,Mathias Kristensen,DEN,M,1.72,60,21-03-97,,None,Esbjerg,2015,Danish
27,27,Robin Söder,SWE,F,1.76,67,01-04-91,Ellös,IFK Göteborg,Esbjerg,2015,Danish
29,29,Mark Brink,DEN,M,1.82,62,15-03-98,,None,Esbjerg,2015,Danish
30,30,Martin Dúbravka,SVK,G,1.90,83,15-01-89,ilina,MK ilina,Esbjerg,2015,Danish
32,32,Nikolaj Hagelskjaer,DEN,D,1.86,75,06-05-90,,Fredericia,Esbjerg,2015,Danish
33,33,Kevin Mensah,DEN,M,1.74,66,15-05-91,Viborg,Viborg,Esbjerg,2015,Danish
35,35,Jonas Jensen,DEN,G,1.88,86,25-10-85,Skive,Skive,Esbjerg,2015,Danish
1,1,Jesper Rask,DEN,G,1.96,89,18-07-88,Hørning,Aarhus,Hobro,2015,Danish
2,2,Anders Egholm,DEN,D,1.89,87,15-05-83,Haslev,Randers,Hobro,2015,Danish
3,3,Jesper Bøge,DEN,D,1.80,70,22-02-90,Fyn,Fyn,Hobro,2015,Danish
4,4,Jacob Tjørnelund,DEN,D,1.82,75,31-12-91,Haderslev,SønderjyskE,Hobro,2015,Danish
5,5,Rasmus Lynge Christensen,DEN,M,1.76,66,12-08-91,,FC Midtjylland,Hobro,2015,Danish
7,7,Hans Henrik Andreasen,DEN,M,1.83,72,10-01-79,Janderup,Esbjerg,Hobro,2015,Danish
8,8,Tidiane Sané,SEN,M,1.78,79,10-07-85,Thiès,Elazığspor,Hobro,2015,Danish
10,10,Mayron George,CRC,F,1.90,80,23-10-93,Puerto Limón,Limón,Hobro,2015,Danish
11,11,Mads Jessen,DEN,M,1.83,78,14-10-89,,Vendsyssel,Hobro,2015,Danish
12,12,Jonas Damborg,DEN,M,1.83,74,17-04-86,Randers,Randers Freja,Hobro,2015,Danish
13,13,Mads Justesen,DEN,D,1.96,89,31-12-82,,Viborg,Hobro,2015,Danish
14,14,Thomas Hansen,DEN,D,1.89,78,18-01-83,,Brønshøj,Hobro,2015,Danish
15,15,Tanaka Chinyahara,ZIM,M,1.68,68,12-10-95,,Bidvest Wits,Hobro,2015,Danish
16,16,Alexander Nybo,DEN,G,1.89,83,12-04-95,,Randers,Hobro,2015,Danish
17,17,Rune Hastrup,DEN,D,1.75,70,16-10-91,Randers,Randers Freja,Hobro,2015,Danish
18,18,Michael Christensen,DEN,D,1.84,75,06-02-83,,Start,Hobro,2015,Danish
19,19,Anders Holvad,DEN,F,1.87,74,24-06-90,,Brabrand,Hobro,2015,Danish
20,20,Mathias Bersang Sørensen,DEN,M,1.80,76,24-11-91,,Randers Freja,Hobro,2015,Danish
21,21,Wilfried Domoraud,FRA,M,1.83,87,18-08-88,Maisons-Alfort,Arles-Avignon,Hobro,2015,Danish
22,22,Park Jung-Bin,KOR,M,1.77,73,22-02-94,Busan,Karlsruhe,Hobro,2015,Danish
23,23,Babajide Ogunbiyi,NGA,D,1.96,93,30-10-86,Rochester,Viborg,Hobro,2015,Danish
25,25,Kasper Povlsen,DEN,M,1.82,74,26-09-89,,Aarhus,Hobro,2015,Danish
26,26,Martin Mikkelsen,DEN,M,1.82,77,29-04-86,,Fredericia,Hobro,2015,Danish
27,27,Gökcan Kaya,DEN,M,1.74,58,07-08-95,,Randers,Hobro,2015,Danish
41,80,Quincy Antipas,ZIM,F,1.68,67,20-04-84,Harare,Brøndby,Hobro,2015,Danish
1,1,Stephan Andersen,DEN,G,1.90,80,26-11-81,Copenhagen,Betis,FC København,2015,Danish
2,2,Tom Høgli,NOR,M,1.75,75,14-02-84,Evenskjer,Club Brugge,FC København,2015,Danish
3,3,Ludwig Augustinsson,SWE,D,1.81,75,21-04-94,Stockholm,IFK Göteborg,FC København,2015,Danish
4,4,Per Nilsson,SWE,D,1.90,87,15-09-82,Härnösand,Nürnberg,FC København,2015,Danish
5,5,Erik Johansson,SWE,D,1.91,84,30-12-88,Falkenberg,KAA Gent,FC København,2015,Danish
6,6,William Kvist,DEN,M,1.84,80,24-02-85,Odder,Wigan Ath,FC København,2015,Danish
7,7,Benjamin Verbič,SVN,M,1.79,70,27-11-93,Celje,Celje,FC København,2015,Danish
8,8,Thomas Delaney,DEN,M,1.82,71,03-09-91,Frederiksberg,Kjøbenhavns BK,FC København,2015,Danish
9,9,Bashkim Kadrii,DEN,F,1.76,71,09-07-91,Copenhagen,Odense,FC København,2015,Danish
10,10,Nicolai Jørgensen,DEN,F,1.90,83,15-01-91,Fredericia,Bayer Leverkusen,FC København,2015,Danish
11,11,Andreas Cornelius,DEN,F,1.92,89,16-03-93,Copenhagen,Cardiff C,FC København,2015,Danish
13,13,Kris Stadsgaard,DEN,D,1.85,78,01-08-85,Copenhagen,Málaga,FC København,2015,Danish
15,15,Mikael Antonsson,SWE,D,1.89,80,31-05-81,Karlskrona,Bologna,FC København,2015,Danish
17,17,Kasper Kusk,DEN,M,1.80,67,10-11-91,Aalborg,FC Twente,FC København,2015,Danish
19,19,Federico Santander,PAR,F,1.81,79,04-06-91,San Lorenzo,Guaraní [PAR],FC København,2015,Danish
20,20,Christoffer Remmer,DEN,D,1.77,73,16-01-93,Hvidovre,None,FC København,2015,Danish
22,22,Peter Ankersen,DEN,D,1.80,73,22-09-90,Esbjerg,Red Bull Salzburg,FC København,2015,Danish
24,24,Youssef Toutouh,DEN,F,1.89,77,06-10-92,Copenhagen,Hvidovre,FC København,2015,Danish
25,25,Mathias Zanka Jørgensen,DEN,D,1.91,79,23-04-90,Copenhagen,PSV Eindhoven,FC København,2015,Danish
28,28,Thomas Kaminski,BEL,G,1.88,70,23-10-92,Dendermonde,Anderlecht,FC København,2015,Danish
30,30,Joel Felix,DEN,D,1.85,70,13-01-98,,None,FC København,2015,Danish
31,31,Robin Olsen,SWE,G,1.98,86,08-01-90,Malmö,PAOK,FC København,2015,Danish
32,32,Danny Amankwaa,DEN,F,1.76,70,30-01-94,Oagaer,None,FC København,2015,Danish
34,34,Marcus Mathisen,DEN,D,1.85,75,27-02-96,Albertslund,None,FC København,2015,Danish
35,35,Aboubakar Keita,CIV,M,1.88,70,05-11-97,Abidjan,None,FC København,2015,Danish
37,37,Julian Kristoffersen,NOR,F,1.95,77,10-01-97,,Ørn-Horten,FC København,2015,Danish
38,38,Frederik Bay,DEN,D,1.80,70,06-08-97,,None,FC København,2015,Danish
41,41,Kim Christensen,DEN,G,1.85,81,16-07-79,Fredericia,IFK Göteborg,FC København,2015,Danish
2,2,Kian Hansen,DEN,D,1.84,74,03-03-89,Grindsted,Nantes,FC Midtjylland,2015,Danish
3,3,Tim Sparv,FIN,M,1.94,86,20-02-87,Vaasa,Greuther Fürth,FC Midtjylland,2015,Danish
4,4,Nikolay Bodurov,BUL,D,1.80,78,30-05-86,Blagoevgrad,Fulham,FC Midtjylland,2015,Danish
6,6,Jim Larsen,DEN,D,1.90,90,06-11-85,Korsør,Club Brugge,FC Midtjylland,2015,Danish
7,7,Jakob Poulsen,DEN,M,1.82,72,07-07-83,Varde,Monaco,FC Midtjylland,2015,Danish
8,8,Petter Andersson,SWE,M,1.80,78,20-02-85,Ljusvattnet,FC Groningen,FC Midtjylland,2015,Danish
10,10,Martin Puić,AUT,F,1.82,75,24-10-87,Vienna,Esbjerg,FC Midtjylland,2015,Danish
11,11,Marco Ureña,CRC,F,1.79,70,05-03-90,San José [CRC],Kuban Krasnodar,FC Midtjylland,2015,Danish
14,14,Václav Kadlec,CZE,F,1.79,67,20-05-92,Prague,Eintracht Frankfurt,FC Midtjylland,2015,Danish
15,15,Böðvar Böðvarsson,ISL,D,1.86,80,09-04-95,,FH,FC Midtjylland,2015,Danish
16,16,Johan Dahlin,SWE,G,1.90,90,08-09-86,Trollhättan,Gençlerbirliği,FC Midtjylland,2015,Danish
17,17,Kristoffer Olsson,SWE,M,1.78,70,30-06-95,Vrinnevi,Arsenal,FC Midtjylland,2015,Danish
20,20,Daniel O'Shaughnessy,FIN,D,1.86,76,14-09-94,Riihimäki,Brentford,FC Midtjylland,2015,Danish
21,21,Kaan Kairinen,FIN,M,1.78,70,22-12-98,,Inter Turku,FC Midtjylland,2015,Danish
22,22,Mikkel Duelund,DEN,M,1.80,70,29-06-97,Aarhus,None,FC Midtjylland,2015,Danish
24,24,Mads Døhr Thychosen,DEN,M,1.78,65,27-06-97,Vejle,Vejle,FC Midtjylland,2015,Danish
25,25,Patryk Wolański,POL,G,1.88,81,15-08-91,Tuchów,Widzew Łódź,FC Midtjylland,2015,Danish
26,26,Patrick Banggaard,DEN,D,1.96,85,04-04-94,Copenhagen,Vejle Kolding,FC Midtjylland,2015,Danish
27,27,Pione Sisto,DEN,M,1.71,65,04-02-95,Kampala,Tjørring IF,FC Midtjylland,2015,Danish
28,28,André Rømer,DEN,D,1.86,78,18-07-93,,Køge,FC Midtjylland,2015,Danish
30,30,Andreas Raahauge,DEN,G,1.88,75,29-06-97,,Horsens,FC Midtjylland,2015,Danish
31,31,Mikkel Andersen,DEN,G,1.95,80,17-12-88,Herlev,Reading,FC Midtjylland,2015,Danish
32,32,Kristian Bak Nielsen,DEN,D,1.82,80,20-10-82,Herning,SC Heerenveen,FC Midtjylland,2015,Danish
33,33,Paul Onuachu,NGA,F,2.01,84,28-05-94,Owerri,FC Ebedei,FC Midtjylland,2015,Danish
36,36,Rilwan Hassan,NGA,M,1.72,64,09-02-91,Lagos,FC Ebedei,FC Midtjylland,2015,Danish
37,37,Jakub Thomsen,DEN,F,,,23-11-97,,None,FC Midtjylland,2015,Danish
41,41,Alexander Munksgaard,DEN,D,1.81,71,13-12-97,,None,FC Midtjylland,2015,Danish
42,43,Rasmus Nissen,DEN,M,1.82,75,11-07-97,,None,FC Midtjylland,2015,Danish
43,45,Awer Mabil,AUS,M,1.79,65,15-09-95,Kakuma,Adelaide U,FC Midtjylland,2015,Danish
44,70,Filip Novák,CZE,D,1.84,79,26-06-90,Přerov,Jablonec,FC Midtjylland,2015,Danish
45,77,Daniel Royer,AUT,M,1.77,73,22-05-90,Schladming,Austria Vienna,FC Midtjylland,2015,Danish
1,1,David Jensen,DEN,G,1.95,92,25-03-92,Hillerød,Hillerød,FC Nordsjælland,2015,Danish
3,3,Pascal Gregor,DEN,D,1.85,74,18-02-94,,None,FC Nordsjælland,2015,Danish
4,4,Andreas Maxsø,DEN,D,1.85,79,18-03-94,Hvidovre,None,FC Nordsjælland,2015,Danish
5,5,Ramon,BRA,D,1.82,81,22-08-90,Ipiaú,AS Trenčín,FC Nordsjælland,2015,Danish
6,6,Lasse Petry,DEN,M,1.72,69,19-09-92,Smørumnedre,None,FC Nordsjælland,2015,Danish
7,7,Stanislav Lobotka,SVK,M,1.70,64,25-11-94,Trenčín,AS Trenčín,FC Nordsjælland,2015,Danish
8,8,Patrick Mtiliga,DEN,D,1.72,73,28-01-81,Copenhagen,Málaga,FC Nordsjælland,2015,Danish
9,9,Tobias Mikkelsen,DEN,M,1.78,73,18-09-86,Helsingør,Rosenborg,FC Nordsjælland,2015,Danish
10,10,Martin  Vingård,DEN,M,1.80,70,20-03-85,Fangel,FC København,FC Nordsjælland,2015,Danish
12,12,Joshua John,NED,F,1.75,63,01-10-88,Alkmaar,FC Twente,FC Nordsjælland,2015,Danish
14,14,Emil Damgaard,DEN,D,,,20-08-98,,None,FC Nordsjælland,2015,Danish
15,15,David Moberg Karlsson,SWE,M,1.79,76,20-03-94,Mariestad,Sunderland,FC Nordsjælland,2015,Danish
16,16,Rúnar Rúnarsson,ISL,G,1.85,73,18-02-95,,KR Reykjavík,FC Nordsjælland,2015,Danish
17,17,Andreas Skovgaard,DEN,D,,,27-03-97,,None,FC Nordsjælland,2015,Danish
18,18,Emiliano Marcondes,DEN,M,1.83,75,09-03-95,Hvidovre,None,FC Nordsjælland,2015,Danish
19,19,Marcus Ingvartsen,DEN,F,1.82,76,30-11-95,,None,FC Nordsjælland,2015,Danish
20,20,Nicklas Mouritsen,DEN,D,1.84,81,15-03-95,Copenhagen,None,FC Nordsjælland,2015,Danish
21,21,Johannes Ritter,DEN,F,1.79,71,15-02-95,,None,FC Nordsjælland,2015,Danish
22,22,Mads Pedersen,DEN,D,1.78,74,01-09-96,,None,FC Nordsjælland,2015,Danish
23,23,Mathias Jensen,DEN,M,,,01-01-96,,None,FC Nordsjælland,2015,Danish
24,24,Christian Køhler,DEN,M,1.77,68,10-04-96,,None,FC Nordsjælland,2015,Danish
25,25,Adnan Mohammed,DEN,F,1.77,72,02-07-96,Copenhagen,None,FC Nordsjælland,2015,Danish
27,27,Souheib Dhaflaoui,TUN,F,1.68,67,20-05-96,,B93,FC Nordsjælland,2015,Danish
28,28,Peter Vindahl Jensen,DEN,G,,,16-02-98,,None,FC Nordsjælland,2015,Danish
29,29,Emre Mor,TUR,M,1.68,60,24-07-97,Brønshøj,Lyngby,FC Nordsjælland,2015,Danish
30,30,Jonathan Vervoort,BEL,D,1.84,80,13-08-93,Brussels,Charleroi,FC Nordsjælland,2015,Danish
31,31,Godsway Donyoh,GHA,F,1.80,71,14-10-94,Accra,Manchester C,FC Nordsjælland,2015,Danish
32,32,Viktor Tranberg,DEN,D,1.90,75,26-02-97,,None,FC Nordsjælland,2015,Danish
33,33,Collins Tanor,GHA,M,1.75,65,04-01-98,,Right to Dream,FC Nordsjælland,2015,Danish
34,34,Dominic Oduro,GHA,M,1.66,65,21-01-95,Accra,Manchester C,FC Nordsjælland,2015,Danish
1,1,Michael Tørnæs,DEN,G,1.87,79,08-01-86,Herlev,Sandefjord,Odense,2015,Danish
3,3,Frederik Tingager,DEN,D,1.98,74,22-02-93,,Holbæk B&I,Odense,2015,Danish
4,4,Hallgrímur Jónasson,ISL,D,1.84,79,04-05-86,Húsavík,SønderjyskE,Odense,2015,Danish
5,5,Lasse Nielsen,DEN,D,1.88,77,03-03-87,,FC Vestsjælland,Odense,2015,Danish
6,6,Mohammed Diarra,GUI,M,1.82,71,20-06-92,Conakry,Paris St-Germain,Odense,2015,Danish
7,7,Jóan Edmundsson,FRO,M,1.74,70,26-07-91,Toftir,Vejle,Odense,2015,Danish
8,8,Mohammed El Makrini,NED,M,1.70,74,06-07-87,Wijk Bij Duurstede,SC Cambuur,Odense,2015,Danish
9,9,Rasmus Falk,DEN,F,1.77,65,15-01-92,,Middelfart,Odense,2015,Danish
10,10,Rasmus Festersen,DEN,F,1.78,76,26-08-86,Viborg,FC Vestsjælland,Odense,2015,Danish
11,11,Lucas Jensen,DEN,M,1.85,75,08-10-94,Holstebro,Viborg,Odense,2015,Danish
13,13,Sten Grytebust,NOR,G,1.87,86,25-10-89,Ålesund,Aalesund,Odense,2015,Danish
14,14,Jens Thomasen,DEN,M,1.81,73,25-06-96,,None,Odense,2015,Danish
15,15,Izunna Uzochukwu,NGA,M,1.71,70,11-04-90,,Amkar Perm,Odense,2015,Danish
16,16,Michael Falkesgaard,DEN,G,1.91,78,09-04-91,Kastrup,Brøndby,Odense,2015,Danish
18,18,Azer Busuladzić,BIH,M,1.85,75,12-11-91,Kolding,Vejle,Odense,2015,Danish
19,19,Mikkel Desler,DEN,M,1.87,77,19-02-95,,None,Odense,2015,Danish
20,20,Jacob Laursen,DEN,D,1.79,76,17-11-94,Arden,Juventus,Odense,2015,Danish
21,21,Mathias Greve,DEN,M,1.86,75,11-02-95,,None,Odense,2015,Danish
22,22,Ari Skúlason,ISL,D,1.75,70,14-05-87,Reykjavik,GIF Sundsvall,Odense,2015,Danish
24,24,Oliver Lund,DEN,M,1.85,75,21-08-90,,FC Vestsjælland,Odense,2015,Danish
25,25,Maksym Koval,UKR,G,1.84,70,09-12-92,Zaporizhya,Dynamo Kyiv,Odense,2015,Danish
26,26,Yao Dieudonne,CIV,M,1.78,72,14-02-97,,None,Odense,2015,Danish
28,28,Anders Jacobsen,DEN,F,1.81,77,27-10-89,,Aalborg,Odense,2015,Danish
29,29,Anders Thomsen,DEN,M,1.85,74,29-07-95,,None,Odense,2015,Danish
1,1,Karl-Johan Johnsson,SWE,G,1.87,83,28-01-90,Ränneslöv,NEC Nijmegen,Randers,2015,Danish
3,3,Christian Keller,DEN,M,1.81,80,17-08-80,Brorup,Kasımpaşa,Randers,2015,Danish
4,4,Johnny Thomsen,DEN,D,1.80,73,26-02-82,Fredericia,FC København,Randers,2015,Danish
5,5,Mads Agesen,DEN,D,1.90,85,17-03-83,Thisted,Horsens,Randers,2015,Danish
6,6,Jeppe Tverskov,DEN,M,1.85,84,12-03-93,Copenhagen,Lyngby,Randers,2015,Danish
8,8,Mustafa Amini,AUS,M,1.73,75,20-04-93,Sydney,Borussia Dortmund,Randers,2015,Danish
