,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Nicolai Larsen,DEN,G,1.90,83,09-03-91,,Lyngby,Aalborg,2015,Danish
2,2,Patrick Kristensen,DEN,D,1.73,68,28-04-87,Silkeborg,None,Aalborg,2015,Danish
3,3,Jakob Ahlmann,DEN,D,1.79,70,18-01-91,Aalborg,FC Midtjylland,Aalborg,2015,Danish
4,4,Jakob Blåbjerg,DEN,D,1.80,75,11-01-95,Aalborg,None,Aalborg,2015,Danish
5,5,Kenneth Emil Petersen,DEN,D,1.87,83,15-01-85,Copenhagen,Horsens,Aalborg,2015,Danish
7,7,Thomas Enevoldsen,DEN,M,1.81,74,27-06-87,Aalborg,Mechelen,Aalborg,2015,Danish
8,8,Rasmus Würtz,DEN,M,1.79,68,18-09-83,Skive,FC København,Aalborg,2015,Danish
9,9,Thomas Augustinussen,DEN,F,1.92,84,20-03-81,Svendborg,Red Bull Salzburg,Aalborg,2015,Danish
10,10,Rasmus Jönsson,SWE,F,1.92,70,27-01-90,Helsingborg,Wolfsburg,Aalborg,2015,Danish
15,15,Gilli Rólantsson,FRO,D,1.76,64,08-11-92,Tvøroyri,B36 Tórshavn,Aalborg,2015,Danish
16,16,Mathias Thrane,DEN,M,1.91,86,04-09-93,,Hellerup,Aalborg,2015,Danish
17,17,Christian Bassogog,CMR,F,1.78,58,18-10-95,Douala,Wilmington Hammerheads,Aalborg,2015,Danish
19,19,Marco Ramkilde,DEN,F,,,09-05-98,,None,Aalborg,2015,Danish
21,21,Kasper Risgård,DEN,M,1.85,75,04-01-83,Aars,Silkeborg,Aalborg,2015,Danish
22,22,Carsten Christensen,DEN,G,1.89,86,28-08-86,Vejen,Fredericia,Aalborg,2015,Danish
23,23,Nikolaj Thomsen,DEN,M,1.80,75,08-05-93,Skagen,None,Aalborg,2015,Danish
24,24,Morten Rokkedal,DEN,D,,,10-10-97,,None,Aalborg,2015,Danish
25,25,Frederik Børsting,DEN,M,1.83,74,13-02-95,,None,Aalborg,2015,Danish
26,26,Robert Kakeeto,UGA,M,1.75,65,19-05-95,,None,Aalborg,2015,Danish
27,27,Oliver Abildgaard,DEN,M,1.75,66,10-06-96,Hasseris,None,Aalborg,2015,Danish
30,30,Andreas Bruhn,DEN,M,1.78,70,17-02-94,Støvring,None,Aalborg,2015,Danish
32,32,Kasper Pedersen,DEN,D,1.85,75,21-04-93,Aabybro,None,Aalborg,2015,Danish
33,33,Lukas Spalvis,LTU,F,1.87,78,27-07-94,Vilnius,Freiburg,Aalborg,2015,Danish
37,37,Nicolaj Jørgensen,DEN,G,1.85,81,30-01-98,,None,Aalborg,2015,Danish
41,79,Jannik Pohl,DEN,F,1.83,77,06-04-96,Hjørring,None,Aalborg,2015,Danish
1,1,Steffen Rasmussen,DEN,G,1.80,85,30-09-82,Stenvad,Grenå IF,Aarhus,2015,Danish
2,2,Dino Mikanović,CRO,D,1.74,72,05-07-94,Nova Gradika,Hajduk Split,Aarhus,2015,Danish
3,3,Niklas Backman,SWE,D,1.86,80,13-11-88,Västerås,Dalian Yifang,Aarhus,2015,Danish
4,4,Daniel Pedersen,DEN,M,1.85,72,27-07-92,Silkeborg,Silkeborg,Aarhus,2015,Danish
5,5,Alexander Juel Andersen,DEN,D,1.88,76,29-01-91,Viborg,Horsens,Aarhus,2015,Danish
6,6,Daniel Christensen,DEN,D,1.72,69,19-09-88,,SønderjyskE,Aarhus,2015,Danish
7,7,Stephan Petersen,DEN,M,1.87,79,15-11-85,Frederiksberg,FC Nordsjælland,Aarhus,2015,Danish
8,8,Aleksandar Cavrić,SRB,M,1.84,78,18-05-94,Vukovar,KRC Genk,Aarhus,2015,Danish
9,9,Danny Olsen,DEN,M,1.86,78,11-06-85,Hvidovre,FC Midtjylland,Aarhus,2015,Danish
10,10,Kim Aabech,DEN,F,1.90,85,31-05-83,Copenhagen,FC Nordsjælland,Aarhus,2015,Danish
11,11,Jesper Lange,DEN,F,1.78,69,11-01-86,Marstal,Esbjerg,Aarhus,2015,Danish
13,13,Morten D Rasmussen,DEN,F,1.85,77,31-01-85,Copenhagen,FC Midtjylland,Aarhus,2015,Danish
14,14,Jens Stage,DEN,M,1.87,81,08-11-96,Aarhus,Brabrand,Aarhus,2015,Danish
15,15,Emil Nielsen,DEN,F,1.75,73,08-11-93,Holbæk,Rosenborg,Aarhus,2015,Danish
16,16,Jens Jønsson,DEN,D,1.82,78,10-01-93,Aarhus,None,Aarhus,2015,Danish
17,17,Oskar Buur,DEN,D,1.78,65,31-03-98,Skanderborg,None,Aarhus,2015,Danish
18,18,Josip Elez,CRO,D,1.89,75,25-04-94,Split,Lazio,Aarhus,2015,Danish
19,19,Benjamin Hvidt,DEN,M,1.89,75,12-03-00,,None,Aarhus,2015,Danish
20,20,Teddy Bjarnason,ISL,M,1.83,75,04-03-87,Reykjavík,Randers,Aarhus,2015,Danish
21,21,Mate Vatsadze,GEO,F,1.80,76,17-12-88,Tbilisi,Dila Gori,Aarhus,2015,Danish
23,23,Lukas Fernandes,DEN,G,1.86,82,01-03-93,Copenhagen,Lyngby,Aarhus,2015,Danish
