,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Diego Alves,BRA,G,1.88,83,24-06-85,Rio de Janeiro,Atlético Mineiro,Almería,2010,Spanish
2,2,Michael Jakobsen,DEN,D,1.85,81,02-01-86,Copenhagen,Aalborg,Almería,2010,Spanish
3,3,Marcelo Silva,URU,D,1.85,85,21-03-89,Soriano,Danubio,Almería,2010,Spanish
4,4,Hernán  Pellerano,ARG,D,1.83,72,04-06-84,Capital Federal,Vélez Sarsfield,Almería,2010,Spanish
5,5,Kalu Uche,NGA,F,1.79,71,15-11-82,Aba,Wisła Kraków,Almería,2010,Spanish
7,7,Sofiane Feghouli,FRA,M,1.78,71,26-12-89,Levallois-Perret,Valencia,Almería,2010,Spanish
8,8,Albert Crusat,ESP,M,1.64,65,13-05-82,Barcelona,Rayo  Vallecano,Almería,2010,Spanish
10,10,José Ortíz,ESP,F,1.72,68,04-08-77,Almería,Almería CF,Almería,2010,Spanish
11,11,Pablo  Piatti,ARG,F,1.63,63,31-03-89,La  Carlota,Estudiantes (LP),Almería,2010,Spanish
13,13,Esteban,ESP,G,1.77,70,27-06-75,Avilés,Celta Vigo,Almería,2010,Spanish
14,14,Antonio Luna,ESP,D,1.77,68,17-03-91,Son Servera,Sevilla,Almería,2010,Spanish
15,15,Miguel  Angel Corona,ESP,M,1.75,79,12-02-81,Talavera,Zaragoza,Almería,2010,Spanish
16,16,Michel,BRA,D,1.76,72,15-02-90,Rio de Janeiro,Flamengo,Almería,2010,Spanish
17,17,Juan Manuel  Ortiz,ESP,M,1.79,70,01-03-82,Alicante,Atlético  Madrid,Almería,2010,Spanish
18,18,Santiago Acasiete,PER,D,1.82,78,22-11-77,Callao,Cienciano,Almería,2010,Spanish
19,19,Modeste M'Bami,CMR,M,1.72,67,09-10-82,Yaoundé,Marseille,Almería,2010,Spanish
20,20,Leonardo  Ulloa,ARG,F,1.85,75,26-07-86,Río Negro,Castellón,Almería,2010,Spanish
