,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
21,21,Carlos  García,ESP,D,1.84,82,29-04-84,Barcelona,Espanyol B,Almería,2010,Spanish
22,22,Fabián  Vargas,COL,M,1.78,71,17-04-80,Bogotá,Boca Juniors,Almería,2010,Spanish
23,23,Henok Goitom,SWE,F,1.89,74,16-09-84,Solna,Murcia,Almería,2010,Spanish
24,24,Juanito,ESP,M,1.86,78,17-02-80,Málaga,Málaga,Almería,2010,Spanish
25,25,Hernán  Bernardello,ARG,M,1.74,75,03-08-86,Rosario,Newell's Old Boys,Almería,2010,Spanish
27,27,Diego García,ESP,G,1.90,79,13-01-90,Oviedo,Almería B,Almería,2010,Spanish
29,29,José Ramón,ESP,F,1.80,69,31-12-91,Ciudad Real,Almería B,Almería,2010,Spanish
31,31,Álvaro,ESP,G,1.77,75,16-08-88,Almería,Almería B,Almería,2010,Spanish
40,40,Lillo,ESP,D,1.76,76,27-03-89,Alicante,Valencia B,Almería,2010,Spanish
41,42,Cristóbal,ESP,M,1.70,62,05-02-92,Málaga,Almería B,Almería,2010,Spanish
42,43,Jonathan Zongo,BFA,F,1.83,72,02-12-92,Ouagadougou,Almería B,Almería,2010,Spanish
1,1,Gorka Iraizoz,ESP,G,1.91,81,06-03-81,Pamplona,Espanyol,Athletic Bilbao,2010,Spanish
2,2,Gaizka Toquero,ESP,M,1.82,72,09-08-84,Vitoria,Sestao River,Athletic Bilbao,2010,Spanish
3,3,Koikili,ESP,D,1.68,67,23-12-80,Otxandio,Sestao River,Athletic Bilbao,2010,Spanish
4,4,Ustaritz,ESP,D,1.83,75,16-02-83,Abadiño,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
5,5,Fernando  Amorebieta,ESP,D,1.92,85,21-03-85,Iurreta,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
6,6,Mikel San José,ESP,D,1.83,78,30-05-89,Pamplona,Liverpool,Athletic Bilbao,2010,Spanish
7,7,David  López,ESP,M,1.81,77,10-09-82,Logroño,Osasuna,Athletic Bilbao,2010,Spanish
8,8,Ander Iturraspe,ESP,M,1.87,73,08-03-89,Abadiño,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
9,9,Fernando  Llorente,ESP,F,1.95,94,26-02-85,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
10,10,Óscar de Marcos,ESP,M,1.80,73,14-04-89,Vitoria,Alavés,Athletic Bilbao,2010,Spanish
11,11,Igor Gabilondo,ESP,M,1.85,78,10-02-79,Donostia,Real  Sociedad,Athletic Bilbao,2010,Spanish
13,13,Raúl,ESP,G,1.96,88,13-03-88,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
14,14,Markel Susaeta,ESP,M,1.79,68,14-12-87,Eibar,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
15,15,Andoni  Iraola,ESP,D,1.82,74,22-06-82,Usúrbil,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
16,16,Pablo Orbaiz,ESP,M,1.79,75,06-02-79,Iruñea,Osasuna,Athletic Bilbao,2010,Spanish
18,18,Carlos  Gurpegi,ESP,M,1.81,77,19-08-80,Pamplona,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
19,19,Mikel Balenziaga,ESP,D,1.79,74,29-02-88,Zumárraga,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
20,20,Aitor Ocio,ESP,D,1.87,79,28-11-76,Vitoria,Sevilla,Athletic Bilbao,2010,Spanish
22,22,Xabier  Castillo,ESP,D,1.82,71,29-03-86,Durango,Real  Sociedad,Athletic Bilbao,2010,Spanish
23,23,Iñigo Díaz de  Cerio,ESP,F,1.77,69,15-05-84,San  Sebastián,Real Sociedad,Athletic Bilbao,2010,Spanish
24,24,Javi  Martínez,ESP,M,1.90,81,02-09-88,Lizarra,Osasuna B,Athletic Bilbao,2010,Spanish
26,26,Igor Martínez,ESP,M,1.70,65,19-07-89,Vitoria,Alavés,Athletic Bilbao,2010,Spanish
27,27,Iker Muniain,ESP,F,1.68,62,19-12-92,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
28,28,Ibai Gómez,ESP,F,1.79,73,11-11-89,Bilbao,Sestao River,Athletic Bilbao,2010,Spanish
29,29,Jon Aurtenetxe,ESP,D,1.82,78,03-01-92,Bizkaia,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
30,30,Aitor Fernández,ESP,G,1.82,70,03-05-91,Arrasate,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
31,31,Jonás Ramalho,ESP,D,1.80,64,10-06-93,Barakaldo,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
32,32,Borja Ekiza,ESP,D,1.80,73,06-03-88,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
33,33,Urko Vera,ESP,F,1.90,85,14-05-87,Barakaldo,Lemona,Athletic Bilbao,2010,Spanish
34,34,Iñigo Ruiz de Galarreta,ESP,M,1.74,66,06-08-93,San Sebastián,Athletic Bilbao B,Athletic Bilbao,2010,Spanish
35,35,Galder Cerrajería,ESP,M,1.85,76,05-04-89,Barakaldo,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
36,36,Iker Guarrotxena,ESP,M,1.77,67,06-12-92,Bilbao,Athletic Bilbao B,Athletic Bilbao,2010,Spanish
37,37,Xabi Etxebarria,ESP,D,1.81,82,20-07-87,Igorre,Athletic  Bilbao B,Athletic Bilbao,2010,Spanish
2,2,Juan Valera,ESP,D,1.84,70,21-12-84,La Copa de Bullas,Murcia,Atlético Madrid,2010,Spanish
3,3,Antonio López,ESP,D,1.73,65,13-09-81,Benidorm,Osasuna,Atlético Madrid,2010,Spanish
4,4,Mario  Suárez,ESP,M,1.85,77,24-02-87,Madrid,Mallorca,Atlético Madrid,2010,Spanish
5,5,Tiago,POR,M,1.83,75,02-05-81,Viana do Castelo,Juventus,Atlético Madrid,2010,Spanish
7,7,Diego  Forlán,URU,F,1.80,75,19-05-79,Montevideo,Villarreal,Atlético Madrid,2010,Spanish
8,8,Raúl  García,ESP,M,1.83,80,11-07-86,Pamplona,Osasuna,Atlético Madrid,2010,Spanish
9,9,Elias,BRA,M,1.73,64,16-05-85,São Paulo,Corinthians,Atlético Madrid,2010,Spanish
10,10,Sergio  Agüero,ARG,F,1.72,74,02-06-88,Capital Federal,Independiente,Atlético Madrid,2010,Spanish
11,11,Fran  Mérida,ESP,M,1.75,70,04-03-90,Barcelona,Arsenal,Atlético Madrid,2010,Spanish
12,12,Paulo Assunção,BRA,M,1.75,67,25-01-80,Varzea Grande,FC Porto,Atlético Madrid,2010,Spanish
13,13,David De Gea,ESP,G,1.92,82,07-11-90,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
14,14,Filipe  Luis,BRA,D,1.82,70,09-08-85,Jaraguá  do Sul,Deportivo La Coruña,Atlético Madrid,2010,Spanish
15,15,Diego Godín,URU,D,1.85,73,16-02-86,Rosario,Villarreal,Atlético Madrid,2010,Spanish
17,17,Tomá  Ujfalui,CZE,D,1.85,76,24-03-78,Rýmařov,Fiorentina,Atlético Madrid,2010,Spanish
18,18,Álvaro Domínguez,ESP,D,1.89,83,16-05-89,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
19,19,José Antonio Reyes,ESP,M,1.76,76,01-09-83,Utrera,Arsenal,Atlético Madrid,2010,Spanish
20,20,Juanfran,ESP,D,1.80,72,09-01-85,Crevillent,Osasuna,Atlético Madrid,2010,Spanish
21,21,Luis  Amaranto Perea,COL,D,1.80,76,30-01-79,Turbo Antioquia,Boca Juniors,Atlético Madrid,2010,Spanish
22,22,Diego Costa,BRA,F,1.86,78,07-10-88,Lagarto,Valladolid,Atlético Madrid,2010,Spanish
26,26,Abel,ESP,F,1.79,65,28-04-89,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
27,27,Joel Robles,ESP,G,1.95,85,17-06-90,Leganés,Atlético  Madrid B,Atlético Madrid,2010,Spanish
28,28,José Javier Mínguez,ESP,M,1.74,70,31-03-88,Alcázar de San Juan,Atlético  Madrid B,Atlético Madrid,2010,Spanish
29,29,Borja González,ESP,F,1.85,74,25-08-92,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
30,30,Quique Martín,ESP,D,1.69,65,02-04-90,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
31,31,Fernando López,ESP,M,1.80,72,04-04-89,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
32,32,Koke,ESP,M,1.78,73,08-01-92,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
33,33,Carlos Mendoza,ESP,D,,,30-01-92,,Atlético  Madrid C,Atlético Madrid,2010,Spanish
34,34,Míchel,ESP,D,1.85,75,06-02-89,Burgos,Atlético  Madrid B,Atlético Madrid,2010,Spanish
35,35,Manu Trinado,ESP,D,,,21-01-91,,Atlético  Madrid C,Atlético Madrid,2010,Spanish
36,36,Ángel Propin,ESP,D,1.86,76,10-02-90,Madrid,Atlético  Madrid C,Atlético Madrid,2010,Spanish
37,37,Dani Martín,ESP,F,,,02-04-90,Madrid,Atlético  Madrid C,Atlético Madrid,2010,Spanish
38,38,Jorge Arroyo,ESP,D,,,04-03-91,,Atlético  Madrid C,Atlético Madrid,2010,Spanish
39,39,Nacho Heras,ESP,D,,,27-08-91,,Atlético  Madrid C,Atlético Madrid,2010,Spanish
40,40,Miguel Linares,ESP,D,,,05-01-91,,Atlético  Madrid C,Atlético Madrid,2010,Spanish
41,41,Pichu,ESP,D,1.90,84,18-01-90,Córdoba,Atlético  Madrid B,Atlético Madrid,2010,Spanish
42,42,Sergio Cidoncha,ESP,M,1.80,71,27-08-90,El Escorial,Atlético Madrid C,Atlético Madrid,2010,Spanish
43,43,Jorge Pulido,ESP,D,1.81,72,08-04-91,Talavera de la Reina,Atlético Madrid B,Atlético Madrid,2010,Spanish
44,44,Sergio Marcos,ESP,M,1.77,73,03-02-92,Sacedón,Atlético  Madrid B,Atlético Madrid,2010,Spanish
45,45,Andrés,ESP,D,1.79,73,01-07-90,Noreña,Atlético Madrid C,Atlético Madrid,2010,Spanish
46,46,Jesús,ESP,M,,,03-10-91,,Atlético  Madrid C,Atlético Madrid,2010,Spanish
47,47,Adrián Jiménez,ESP,M,1.70,65,02-02-88,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
48,48,Álex Campos,ESP,G,1.80,70,28-06-91,Madrid,Atlético  Madrid C,Atlético Madrid,2010,Spanish
49,49,Alberto Perea,ESP,F,1.80,83,16-05-90,Albacete,Atlético  Madrid B,Atlético Madrid,2010,Spanish
50,50,Iago Herrerín,ESP,G,1.86,90,25-01-88,Bilbao,Athletic  Bilbao B,Atlético Madrid,2010,Spanish
51,51,Alberto Noguera,ESP,M,1.77,72,24-09-89,Madrid,Atlético  Madrid B,Atlético Madrid,2010,Spanish
1,1,Víctor Valdés,ESP,G,1.83,78,14-01-82,L'Hospitalet de Llobregat,Barcelona  B,Barcelona,2010,Spanish
2,2,Daniel Alves,BRA,D,1.73,64,06-05-83,Juazeiro,Sevilla,Barcelona,2010,Spanish
3,3,Gerard  Piqué,ESP,D,1.92,85,02-02-87,Barcelona,Manchester U,Barcelona,2010,Spanish
5,5,Carles Puyol,ESP,D,1.78,80,13-04-78,La Pobla de Segur,Barcelona  B,Barcelona,2010,Spanish
6,6,Xavi,ESP,M,1.70,68,25-01-80,Terrassa,Barcelona  B,Barcelona,2010,Spanish
7,7,David Villa,ESP,F,1.75,69,03-12-81,Langreo,Valencia,Barcelona,2010,Spanish
8,8,Andrés Iniesta,ESP,M,1.70,65,11-05-84,Fuentealbilla,Barcelona  B,Barcelona,2010,Spanish
9,9,Bojan Krkić,ESP,F,1.70,65,28-08-90,Linyola,Barcelona  B,Barcelona,2010,Spanish
10,10,Lionel  Messi,ARG,M,1.69,67,24-06-87,Santa  Fe,Barcelona  B,Barcelona,2010,Spanish
11,11,Jeffrén Suárez,ESP,F,1.76,73,20-01-88,Ciudad Bolivar,Barcelona B,Barcelona,2010,Spanish
13,13,José  Manuel Pinto,ESP,G,1.85,82,15-11-75,Puerto de Santa Maria,Celta Vigo,Barcelona,2010,Spanish
14,14,Javier Mascherano,ARG,M,1.78,77,08-06-84,Rosario,Liverpool,Barcelona,2010,Spanish
15,15,Seydou  Keita,MLI,M,1.83,77,16-01-80,Bamako,Sevilla,Barcelona,2010,Spanish
16,16,Sergio Busquets,ESP,M,1.89,73,16-07-88,Sabadell,Barcelona  B,Barcelona,2010,Spanish
17,17,Pedro,ESP,F,1.69,64,28-07-87,Santa Cruz de Tenerife,Barcelona B,Barcelona,2010,Spanish
18,18,Gabriel Milito,ARG,D,1.79,80,07-09-80,Bernal,Zaragoza,Barcelona,2010,Spanish
19,19,Maxwell,BRA,D,1.75,73,27-08-81,Vila Velha,Internazionale,Barcelona,2010,Spanish
20,20,Ibrahim Afellay,NED,M,1.81,68,02-04-86,Utrecht,PSV Eindhoven,Barcelona,2010,Spanish
21,21,Adriano,BRA,M,1.72,67,26-10-84,Curitiba,Sevilla,Barcelona,2010,Spanish
22,22,Eric Abidal,FRA,D,1.86,75,11-07-79,Lyon,Lyon,Barcelona,2010,Spanish
26,26,Andreu Fontàs,ESP,M,1.81,72,14-11-89,Banyoles,Barcelona B,Barcelona,2010,Spanish
27,27,Nolito,ESP,F,1.72,65,15-10-86,Sanlúcar de Barrameda,Barcelona B,Barcelona,2010,Spanish
28,28,Sergi Roberto,ESP,M,1.73,70,07-02-92,Reus,Barcelona B,Barcelona,2010,Spanish
29,29,Víctor Vázquez,ESP,F,1.77,72,20-01-87,Barcelona,Barcelona B,Barcelona,2010,Spanish
30,30,Thiago Alcántara,ESP,M,1.65,60,11-04-91,Bari,Barcelona B,Barcelona,2010,Spanish
31,31,Rubén Miño,ESP,G,1.90,87,18-01-89,Cornellà  de Llobregat,Barcelona B,Barcelona,2010,Spanish
32,32,Marc Bartra,ESP,D,1.84,75,15-01-91,San Jaime dels Domenys,Barcelona B,Barcelona,2010,Spanish
33,33,Sergi Gómez,ESP,D,1.81,76,28-07-92,Arenys de Mar,Barcelona B,Barcelona,2010,Spanish
34,34,Jonathan dos Santos,MEX,M,1.80,74,26-04-90,Monterrey,Barcelona B,Barcelona,2010,Spanish
35,35,Marc Muniesa,ESP,D,1.80,77,27-03-92,Lloret de Mar,Barcelona B,Barcelona,2010,Spanish
37,37,Oriol Romeu,ESP,M,1.82,79,24-09-91,Ulldecona,Barcelona  B,Barcelona,2010,Spanish
38,38,Oier Olazábal,ESP,G,1.89,82,14-09-89,Irún,Real Unión,Barcelona,2010,Spanish
40,40,Martín Montoya,ESP,D,1.74,74,14-04-91,Gavà,Barcelona  B,Barcelona,2010,Spanish
41,41,Gerard Deulofeu,ESP,F,1.79,60,13-03-94,Barcelona,Barcelona  B,Barcelona,2010,Spanish
1,1,Daniel  Aranzubia,ESP,G,1.84,80,18-09-79,Logroño,Athletic  Bilbao,Deportivo La Coruña,2010,Spanish
2,2,Manuel Pablo,ESP,D,1.76,80,25-01-76,Arucas,Las Palmas,Deportivo La Coruña,2010,Spanish
3,3,Claudio Morel Rodríguez,PAR,D,1.75,76,02-02-78,Asunción,Boca Juniors,Deportivo La Coruña,2010,Spanish
4,4,Rubén Pérez,ESP,M,1.78,72,26-04-89,Seville,Atlético  Madrid B,Deportivo La Coruña,2010,Spanish
5,5,Zé Castro,POR,D,1.83,76,13-01-83,Coimbra,Atlético Madrid,Deportivo La Coruña,2010,Spanish
6,6,Juca,BRA,M,1.79,75,19-11-79,Passo  Fundo,Partizan Belgrade,Deportivo La Coruña,2010,Spanish
7,7,Alberto Lopo,ESP,D,1.86,81,05-05-80,Barcelona,Espanyol,Deportivo La Coruña,2010,Spanish
8,8,Lassad Nouioui,TUN,F,1.89,78,08-03-85,Marseille,Deportivo B,Deportivo La Coruña,2010,Spanish
9,9,Míchel,ESP,F,1.81,69,29-07-88,Valencia,Valencia B,Deportivo La Coruña,2010,Spanish
10,10,Adrián López,ESP,F,1.80,71,08-01-88,San Martín de  Teverga,Deportivo B,Deportivo La Coruña,2010,Spanish
11,11,Riki,ESP,F,1.87,84,11-08-80,Aranjuez,Getafe,Deportivo La Coruña,2010,Spanish
12,12,Saúl,ESP,M,1.76,78,09-04-85,Oviedo,Elche,Deportivo La Coruña,2010,Spanish
13,13,Manu,ESP,G,1.82,77,09-03-86,Gijón,Deportivo B,Deportivo La Coruña,2010,Spanish
14,14,Pablo Álvarez,ESP,M,1.74,67,14-05-80,Oviedo,Sporting Gijón,Deportivo La Coruña,2010,Spanish
15,15,Laure,ESP,D,1.66,68,22-03-85,Madrid,Deportivo B,Deportivo La Coruña,2010,Spanish
16,16,Antonio Tomás,ESP,M,1.76,75,19-01-85,Torrelavega,Racing Santander B,Deportivo La Coruña,2010,Spanish
17,17,Xisco,ESP,F,1.86,84,27-06-86,Palma de  Mallorca,Newcastle U,Deportivo La Coruña,2010,Spanish
18,18,Andrés Guardado,MEX,M,1.69,60,28-09-86,Guadalajara,Atlas,Deportivo La Coruña,2010,Spanish
19,19,Diego Colotto,ARG,D,1.84,81,03-10-81,Rio Cuarto,Atlas,Deportivo La Coruña,2010,Spanish
20,20,Yves Desmarets,FRA,M,1.78,72,19-07-79,Paris,Vitória Guimarães,Deportivo La Coruña,2010,Spanish
21,21,Juan Carlos  Valerón,ESP,M,1.80,72,17-06-75,Las Palmas,Atlético Madrid,Deportivo La Coruña,2010,Spanish
22,22,Juan  Rodríguez,ESP,M,1.85,80,01-04-82,Málaga,Málaga,Deportivo La Coruña,2010,Spanish
23,23,Aythami,ESP,D,1.85,80,02-04-86,Maspalomas,Las Palmas,Deportivo La Coruña,2010,Spanish
24,24,José Sand,ARG,F,1.82,72,17-07-80,Bella Vista,Al-Ain,Deportivo La Coruña,2010,Spanish
25,25,Javito,ESP,F,1.74,69,04-11-83,Moraleja,Aris,Deportivo La Coruña,2010,Spanish
26,26,Felipe,ESP,G,1.86,86,10-01-88,Madrid,Real Madrid B,Deportivo La Coruña,2010,Spanish
27,27,David Rochela,ESP,D,1.80,77,19-02-90,As Pontes de García Rodríguez,Deportivo B,Deportivo La Coruña,2010,Spanish
28,28,Juan Domínguez,ESP,M,1.81,71,08-01-90,Pontedeume,Deportivo B,Deportivo La Coruña,2010,Spanish
29,29,David Añón,ESP,F,1.72,73,03-04-89,La Coruña,Deportivo B,Deportivo La Coruña,2010,Spanish
30,30,Stopira,CPV,D,1.80,74,20-05-88,Praia,Deportivo B,Deportivo La Coruña,2010,Spanish
31,31,Dani Rodríguez,ESP,M,1.77,71,06-06-88,Betanzos,Deportivo B,Deportivo La Coruña,2010,Spanish
32,32,Raúl García,ESP,D,1.75,72,30-04-89,La Coruña,Deportivo B,Deportivo La Coruña,2010,Spanish
33,33,Diego Seoane,ESP,D,1.80,75,26-04-88,Ourense,Deportivo B,Deportivo La Coruña,2010,Spanish
34,34,Dioni,ESP,F,1.84,82,21-12-89,Málaga,Deportivo B,Deportivo La Coruña,2010,Spanish
35,35,Diego Rivas,ESP,G,1.81,75,27-05-87,Narón,Deportivo B,Deportivo La Coruña,2010,Spanish
37,37,Iago Beceiro,ESP,F,1.86,79,15-03-93,La Coruña,Deportivo B,Deportivo La Coruña,2010,Spanish
1,1,Idriss  Carlos Kameni,CMR,G,1.86,86,18-02-84,Douala,Le Havre,Espanyol,2010,Spanish
2,2,Chica,ESP,D,1.76,78,17-05-85,Barcelona,Espanyol  B,Espanyol,2010,Spanish
3,3,David  García,ESP,D,1.78,75,16-01-81,Manresa,Espanyol  B,Espanyol,2010,Spanish
4,4,Javi Márquez,ESP,M,1.74,71,11-05-86,Barcelona,Espanyol  B,Espanyol,2010,Spanish
5,5,Jordi Amat,ESP,D,1.84,80,21-03-92,Barcelona,Espanyol  B,Espanyol,2010,Spanish
7,7,Raúl Baena,ESP,M,1.79,73,02-03-89,Torrox,Espanyol B,Espanyol,2010,Spanish
8,8,José Callejón,ESP,F,1.79,73,11-02-87,Motril,Real Madrid B,Espanyol,2010,Spanish
9,9,Iván de la  Peña,ESP,M,1.71,71,06-05-76,Santander,Barcelona,Espanyol,2010,Spanish
10,10,Luis  García,ESP,F,1.80,68,06-02-81,Oviedo,Mallorca,Espanyol,2010,Spanish
11,11,Joan  Verdú,ESP,M,1.76,72,05-05-83,Barcelona,Deportivo La Coruña,Espanyol,2010,Spanish
14,14,Ernesto Galán,ESP,M,1.81,79,17-06-86,Madrid,Espanyol B,Espanyol,2010,Spanish
15,15,Felipe Mattioni,BRA,D,1.77,72,15-10-88,Natural de Ijuí,Maga,Espanyol,2010,Spanish
16,16,Javi López,ESP,M,1.79,76,21-01-86,Osuna,Betis B,Espanyol,2010,Spanish
17,17,Pablo Daniel Osvaldo,ITA,F,1.85,78,12-01-86,Buenos Aires,Bologna,Espanyol,2010,Spanish
18,18,Juan  Forlín,ARG,D,1.80,72,10-01-88,Reconquista,Boca Juniors,Espanyol,2010,Spanish
19,19,Sergio  García,ESP,F,1.75,72,09-06-83,Barcelona,Betis,Espanyol,2010,Spanish
20,20,Álvaro Vázquez,ESP,F,1.82,75,27-04-91,Barcelona,Espanyol  B,Espanyol,2010,Spanish
22,22,Aldo Duscher,ARG,M,1.74,72,22-03-79,Esquel,Sevilla,Espanyol,2010,Spanish
23,23,Jesús  Dátolo,ARG,M,1.77,67,19-05-84,Cañuelas,Napoli,Espanyol,2010,Spanish
24,24,Iván Alonso,URU,F,1.80,78,10-04-79,Montevideo,Murcia,Espanyol,2010,Spanish
25,25,Cristian  Álvarez,ARG,G,1.86,88,13-11-85,General Lagos,Rosario Central,Espanyol,2010,Spanish
26,26,Dinu Moldovan,ROU,G,1.88,72,03-05-90,Alba Iulia,Espanyol  B,Espanyol,2010,Spanish
29,29,Manu Molina,ESP,M,1.75,63,20-11-91,Huelva,Espanyol  B,Espanyol,2010,Spanish
31,31,Pau Senent,ESP,M,1.83,,03-05-92,Alicante,Espanyol  B,Espanyol,2010,Spanish
32,32,Raúl Rodríguez,ESP,D,1.83,70,22-09-87,Vilassar de Mar,Espanyol  B,Espanyol,2010,Spanish
33,33,David López,ESP,M,1.85,80,09-10-89,Barcelona,Espanyol  B,Espanyol,2010,Spanish
34,34,Víctor Álvarez,ESP,D,1.78,69,14-03-93,Barcelona,Espanyol  B,Espanyol,2010,Spanish
35,35,Rui Fonte,POR,F,1.81,73,23-03-90,Lisbon,Sporting CP,Espanyol,2010,Spanish
36,36,Dani Nieto,ESP,F,1.73,60,04-05-91,Palma Nova,Espanyol  B,Espanyol,2010,Spanish
37,37,Eric López,ESP,M,1.78,76,01-04-93,Barcelona,Espanyol  B,Espanyol,2010,Spanish
38,38,Albert Canal,ESP,D,1.81,76,09-12-90,Barcelona,Espanyol  B,Espanyol,2010,Spanish
39,39,Thievy Bifouma,FRA,F,1.80,74,13-05-92,Saint-Denis,Espanyol Juvenil A,Espanyol,2010,Spanish
40,40,Isaías,ESP,M,1.73,71,09-02-87,Sabadell,Espanyol  B,Espanyol,2010,Spanish
41,41,Sergi Darder,ESP,M,1.80,67,22-12-93,Artà,Espanyol  B,Espanyol,2010,Spanish
42,42,Guillem Savall,ESP,D,1.80,68,26-06-89,Barcelona,Espanyol  B,Espanyol,2010,Spanish
43,43,Albert Blázquez,ESP,D,1.77,67,21-01-92,Girona,Espanyol  B,Espanyol,2010,Spanish
1,1,Óscar  Ustari,ARG,G,1.84,82,03-07-86,América,Independiente,Getafe,2010,Spanish
2,2,Cata Díaz,ARG,D,1.82,74,13-03-79,San Fernando del Valle,Boca Juniors,Getafe,2010,Spanish
3,3,Mané,ESP,D,1.75,72,22-12-81,Algeciras,Almería,Getafe,2010,Spanish
4,4,İbrahim  Kaş,TUR,D,1.83,79,20-09-86,Karabük,Beşiktaş,Getafe,2010,Spanish
5,5,Pedro  Mario,ESP,D,1.78,75,02-02-82,Tenerife,Recreativo Huelva,Getafe,2010,Spanish
6,6,Borja  Fernández,ESP,M,1.88,83,14-01-81,Orense,Valladolid,Getafe,2010,Spanish
7,7,Miku,VEN,M,1.85,80,19-08-85,Caracas,Valencia,Getafe,2010,Spanish
8,8,Jaime  Gavilán,ESP,M,1.78,71,12-05-85,Valencia,Valencia,Getafe,2010,Spanish
9,9,Adrián Colunga,ESP,F,1.72,70,17-11-84,Oviedo,Recreativo Huelva,Getafe,2010,Spanish
10,10,Juan Albín,URU,M,1.79,77,17-07-86,Salto,Nacional [URU],Getafe,2010,Spanish
11,11,Daniel Parejo,ESP,M,1.80,75,16-04-89,Madrid,Real Madrid,Getafe,2010,Spanish
13,13,Jordi  Codina,ESP,G,1.84,79,27-04-82,Barcelona,Real Madrid,Getafe,2010,Spanish
14,14,Manu del Moral,ESP,F,1.86,77,25-02-84,Jaén,Atlético  Madrid B,Getafe,2010,Spanish
15,15,Rafa,ESP,D,1.83,72,09-04-85,Peñafiel,Valladolid,Getafe,2010,Spanish
16,16,Pedro Ríos,ESP,M,1.77,72,12-12-81,Jerez de la  Frontera,Xerez,Getafe,2010,Spanish
17,17,Víctor Sánchez,ESP,D,1.74,73,08-09-87,Terrassa,Barcelona  B,Getafe,2010,Spanish
18,18,Derek Boateng,GHA,M,1.85,78,02-05-83,Accra,Köln,Getafe,2010,Spanish
19,19,Javier Arizmendi,ESP,F,1.89,76,03-03-84,Madrid,Zaragoza,Getafe,2010,Spanish
20,20,Pablo Pintos,URU,D,1.82,78,01-07-87,Montevideo,Lazio,Getafe,2010,Spanish
21,21,Pedro  Mosquera,ESP,M,1.83,77,21-04-88,La Coruña,Real Madrid B,Getafe,2010,Spanish
