,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Ole Christian Rørvik,NOR,G,1.93,83,21-02-89,Ålesund,Skarbøvik,Aalesund,2011,Norwegian
2,2,Amund Skiri,NOR,D,1.78,76,25-02-78,Oslo,Vålerenga,Aalesund,2011,Norwegian
3,3,Edvard Skagestad,NOR,D,1.86,85,06-07-88,Oslo,Follo,Aalesund,2011,Norwegian
4,4,Jonatan  Tollås,NOR,D,1.88,80,01-07-90,Ålesund,None,Aalesund,2011,Norwegian
5,5,Ville Jalasto,FIN,D,1.83,85,19-04-86,Espoo,FC Honka,Aalesund,2011,Norwegian
6,6,Magnus Sylling Olsen,NOR,M,1.80,77,02-07-83,Kongsberg,Kongsvinger,Aalesund,2011,Norwegian
7,7,Jason Morrison,JAM,M,1.83,72,07-06-84,Falmouth [JAM],Strømsgodset,Aalesund,2011,Norwegian
8,8,Fredrik Carlsen,NOR,M,1.75,65,01-12-89,Oslo,Vålerenga,Aalesund,2011,Norwegian
9,9,Sander Post,EST,F,1.99,99,10-09-84,Viljandi,Flora Tallinn,Aalesund,2011,Norwegian
10,10,Peter Orry Larsen,NOR,M,1.82,74,17-01-90,Nordfjordeid,Skavøypoll,Aalesund,2011,Norwegian
11,11,Pablo Herrera Barrantes,CRC,M,1.67,66,14-02-87,Alajuela,LD Alajuelense,Aalesund,2011,Norwegian
13,13,Sten Grytebust,NOR,G,1.87,86,25-10-89,Ålesund,None,Aalesund,2011,Norwegian
15,15,Daniel Arnefjord,SWE,D,1.86,80,21-03-79,Stockholm,AIK,Aalesund,2011,Norwegian
16,16,Enar  Jääger,EST,D,1.76,73,18-11-84,Valga,Ascoli,Aalesund,2011,Norwegian
17,17,Demar Phillips,JAM,M,1.68,59,23-09-83,Kingston,Stoke C,Aalesund,2011,Norwegian
18,18,Christian Myklebust,NOR,F,1.84,75,11-03-92,Ålesund,None,Aalesund,2011,Norwegian
19,19,Kjell Rune Sellin,NOR,F,1.79,76,01-06-89,Namsos,Rosenborg,Aalesund,2011,Norwegian
20,20,Didrik Fløtre,NOR,F,1.87,84,31-12-91,Ålesund,None,Aalesund,2011,Norwegian
21,21,Robert Sandnes,NOR,D,1.77,72,29-12-91,Ålesund,Hessa,Aalesund,2011,Norwegian
22,22,Jo Nymo Matland,NOR,D,1.81,79,21-04-87,Tromsø,Sarpsborg 08,Aalesund,2011,Norwegian
