,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Sten Grytebust,NOR,G,1.87,86,25-10-89,Ålesund,None,Aalesund,2009,Norweigan
2,2,Amund Skiri,NOR,D,1.78,76,25-02-78,Oslo,Vålerenga,Aalesund,2009,Norweigan
4,4,Jonatan  Tollås,NOR,D,1.88,80,01-07-90,Ålesund,None,Aalesund,2009,Norweigan
5,5,Ville Jalasto,FIN,D,1.83,85,19-04-86,Espoo,FC Honka,Aalesund,2009,Norweigan
6,6,Øyvind Gram,NOR,M,1.80,70,11-10-85,Lørenskog,Molde,Aalesund,2009,Norweigan
7,7,Trond Fredriksen,NOR,M,1.82,75,21-05-77,Ålesund,Guard,Aalesund,2009,Norweigan
8,8,Tor Hogne Aarøy,NOR,F,2.04,95,20-03-77,Ålesund,Rosenborg,Aalesund,2009,Norweigan
9,9,Glenn  Roberts,NOR,F,1.77,82,26-06-88,Oslo,Vålerenga,Aalesund,2009,Norweigan
10,10,Johan Arneng,SWE,M,1.75,75,15-06-79,Uddevalle,Djurgårdens IF,Aalesund,2009,Norweigan
11,11,Pablo Herrera Barrantes,CRC,M,1.67,66,14-02-87,Alajuela,LD Alajuelense,Aalesund,2009,Norweigan
12,12,Andreas Lie,NOR,G,1.86,82,31-08-87,Ålesund,Herd,Aalesund,2009,Norweigan
13,13,Anders Lindegaard,DEN,G,1.93,80,13-04-84,Odense,Odense,Aalesund,2009,Norweigan
14,14,Jonathan Parr,NOR,M,1.82,75,21-10-88,Oslo,Lyn,Aalesund,2009,Norweigan
15,15,Daniel Arnefjord,SWE,D,1.86,80,21-03-79,Stockholm,AIK,Aalesund,2009,Norweigan
17,17,Demar Phillips,JAM,M,1.68,59,23-09-83,Kingston,Stoke C,Aalesund,2009,Norweigan
18,18,Khari Stephenson,JAM,M,1.85,85,18-01-81,Kingston,AIK,Aalesund,2009,Norweigan
19,19,Peter Orry Larsen,NOR,M,1.82,74,17-01-90,Nordfjordeid,Skavøypoll,Aalesund,2009,Norweigan
21,21,Alexander Mathisen,NOR,M,1.85,75,24-11-86,Oslo,Vålerenga,Aalesund,2009,Norweigan
22,22,Fredrik Carlsen,NOR,M,1.75,65,01-12-89,Oslo,Vålerenga,Aalesund,2009,Norweigan
24,24,Adin  Brown,USA,G,1.96,100,27-05-78,Pleasant  Hills,New England Revolution,Aalesund,2009,Norweigan
25,25,Diego Silva,BRA,F,1.81,78,24-01-85,Foz du Iguaçu,Londrina,Aalesund,2009,Norweigan
26,26,Sverre Økland,NOR,M,1.76,72,19-06-93,Ålesund,None,Aalesund,2009,Norweigan
30,30,Didrik Fløtre,NOR,F,1.87,84,31-12-91,Ålesund,None,Aalesund,2009,Norweigan
31,31,Reiniery Mayorquín,HON,M,1.77,73,13-07-89,San Pedro Sula,Marathón,Aalesund,2009,Norweigan
33,33,Peter Kopteff,FIN,M,1.80,81,10-04-79,Helsinki,FC Utrecht,Aalesund,2009,Norweigan
1,1,Pavel Londak,EST,G,1.91,81,14-05-80,Tallinn,Flora Tallinn,Bodø/Glimt,2009,Norweigan
3,3,Per Verner Vågan Rønning,NOR,D,1.93,85,09-01-83,Levanger,AIK,Bodø/Glimt,2009,Norweigan
4,4,Johan Lædre Bjørdal,NOR,D,1.85,80,05-05-86,Egersund,Viking,Bodø/Glimt,2009,Norweigan
5,5,Willis Forko,LBR,D,1.77,76,12-11-83,Monrovia,Vancouver Whitecaps,Bodø/Glimt,2009,Norweigan
6,6,Stian Theting,NOR,M,1.85,82,21-10-76,Sandnessjøen,Skeid,Bodø/Glimt,2009,Norweigan
7,7,Runar Berg,NOR,M,1.80,72,07-10-70,Bodø,Venezia,Bodø/Glimt,2009,Norweigan
9,9,Thiago Martins,BRA,F,1.83,84,04-09-76,São Paulo,Colorado Rapids,Bodø/Glimt,2009,Norweigan
